date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,28,23,0.0,9.2,5,1,26,10:40 AM,No moonset,05:45 AM,08:11 PM,21,26,26,24,12,57,85,0.2,1007,24,5,62,9
2019-12-31 03:00:00,28,23,0.0,9.2,5,1,26,10:40 AM,No moonset,05:45 AM,08:11 PM,22,26,26,24,3,100,85,0.3,1005,24,2,335,3
2019-12-31 06:00:00,28,23,0.0,9.2,5,1,26,10:40 AM,No moonset,05:45 AM,08:11 PM,21,26,26,24,13,87,87,0.0,1006,24,10,229,10
2019-12-31 09:00:00,28,23,0.0,9.2,5,5,26,10:40 AM,No moonset,05:45 AM,08:11 PM,20,25,25,23,19,100,82,0.0,1008,23,10,202,15
2019-12-31 12:00:00,28,23,0.0,9.2,5,5,26,10:40 AM,No moonset,05:45 AM,08:11 PM,20,26,26,24,20,100,80,0.0,1008,24,10,185,17
2019-12-31 15:00:00,28,23,0.0,9.2,5,6,26,10:40 AM,No moonset,05:45 AM,08:11 PM,19,29,29,28,19,96,60,0.1,1009,28,10,157,16
2019-12-31 18:00:00,28,23,0.0,9.2,5,6,26,10:40 AM,No moonset,05:45 AM,08:11 PM,19,27,27,26,21,97,66,0.2,1009,26,10,156,17
2019-12-31 21:00:00,28,23,0.0,9.2,5,1,26,10:40 AM,No moonset,05:45 AM,08:11 PM,18,26,26,24,19,73,67,0.2,1011,24,9,134,15
2020-01-01 00:00:00,28,21,0.0,10.2,5,1,37,11:36 AM,12:02 AM,05:45 AM,08:11 PM,19,26,26,24,17,79,74,0.0,1011,24,10,130,14
2020-01-01 03:00:00,28,21,0.0,10.2,5,1,37,11:36 AM,12:02 AM,05:45 AM,08:11 PM,17,25,25,22,16,30,74,0.0,1012,22,10,142,13
2020-01-01 06:00:00,28,21,0.0,10.2,5,1,37,11:36 AM,12:02 AM,05:45 AM,08:11 PM,16,21,21,21,17,91,77,0.0,1012,21,10,143,13
2020-01-01 09:00:00,28,21,0.0,10.2,5,5,37,11:36 AM,12:02 AM,05:45 AM,08:11 PM,16,25,25,22,14,95,66,0.0,1014,22,10,139,13
