date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,37,19,0.0,13.4,8,1,26,10:15 AM,11:54 PM,05:51 AM,08:21 PM,-1,26,26,25,13,0,22,0.0,1008,25,10,345,6
2019-12-31 03:00:00,37,19,0.0,13.4,8,1,26,10:15 AM,11:54 PM,05:51 AM,08:21 PM,-1,19,19,19,10,4,25,0.0,1006,19,10,353,5
2019-12-31 06:00:00,37,19,0.0,13.4,8,1,26,10:15 AM,11:54 PM,05:51 AM,08:21 PM,2,23,23,23,16,4,24,0.0,1007,23,10,333,12
2019-12-31 09:00:00,37,19,0.0,13.4,8,8,26,10:15 AM,11:54 PM,05:51 AM,08:21 PM,2,29,29,31,32,10,17,0.0,1006,31,10,316,27
2019-12-31 12:00:00,37,19,0.0,13.4,8,9,26,10:15 AM,11:54 PM,05:51 AM,08:21 PM,2,34,34,36,39,15,12,0.0,1005,36,10,312,34
2019-12-31 15:00:00,37,19,0.0,13.4,8,9,26,10:15 AM,11:54 PM,05:51 AM,08:21 PM,4,34,34,36,31,21,14,0.0,1005,36,10,317,27
2019-12-31 18:00:00,37,19,0.0,13.4,8,8,26,10:15 AM,11:54 PM,05:51 AM,08:21 PM,9,35,35,34,17,67,30,0.1,1008,34,10,140,13
2019-12-31 21:00:00,37,19,0.0,13.4,8,1,26,10:15 AM,11:54 PM,05:51 AM,08:21 PM,12,33,33,30,12,86,73,1.4,1012,30,9,107,8
2020-01-01 00:00:00,35,11,0.0,14.5,6,1,37,11:12 AM,No moonset,05:51 AM,08:21 PM,11,17,18,17,13,81,93,0.8,1013,17,9,111,9
2020-01-01 03:00:00,35,11,0.0,14.5,6,1,37,11:12 AM,No moonset,05:51 AM,08:21 PM,10,11,11,11,10,82,94,0.2,1013,11,9,99,6
2020-01-01 06:00:00,35,11,0.0,14.5,6,1,37,11:12 AM,No moonset,05:51 AM,08:21 PM,10,14,14,14,6,35,77,0.1,1013,14,10,102,5
2020-01-01 09:00:00,35,11,0.0,14.5,6,6,37,11:12 AM,No moonset,05:51 AM,08:21 PM,9,23,23,24,7,4,43,0.0,1013,24,10,251,6
2020-01-01 12:00:00,35,11,0.0,14.5,6,8,37,11:12 AM,No moonset,05:51 AM,08:21 PM,2,31,31,32,20,0,17,0.0,1012,32,10,315,17
2020-01-01 15:00:00,35,11,0.0,14.5,6,8,37,11:12 AM,No moonset,05:51 AM,08:21 PM,-7,33,33,35,24,0,7,0.0,1011,35,10,297,21
2020-01-01 18:00:00,35,11,0.0,14.5,6,8,37,11:12 AM,No moonset,05:51 AM,08:21 PM,3,35,35,33,28,0,34,0.0,1014,33,10,150,19
2020-01-01 21:00:00,35,11,0.0,14.5,6,1,37,11:12 AM,No moonset,05:51 AM,08:21 PM,9,34,34,30,22,6,76,0.0,1017,30,10,106,12
2020-01-02 00:00:00,36,9,0.0,14.5,7,1,44,12:07 PM,12:23 AM,05:52 AM,08:21 PM,9,15,17,15,16,14,92,0.0,1018,16,10,139,8
2020-01-02 03:00:00,36,9,0.0,14.5,7,1,44,12:07 PM,12:23 AM,05:52 AM,08:21 PM,7,8,9,8,13,5,86,0.0,1018,9,10,144,6
2020-01-02 06:00:00,36,9,0.0,14.5,7,1,44,12:07 PM,12:23 AM,05:52 AM,08:21 PM,4,14,14,14,8,0,54,0.0,1019,14,10,134,5
2020-01-02 09:00:00,36,9,0.0,14.5,7,7,44,12:07 PM,12:23 AM,05:52 AM,08:21 PM,5,24,24,25,6,0,29,0.0,1017,25,10,72,5
2020-01-02 12:00:00,36,9,0.0,14.5,7,8,44,12:07 PM,12:23 AM,05:52 AM,08:21 PM,3,31,31,33,7,0,16,0.0,1015,33,10,243,6
2020-01-02 15:00:00,36,9,0.0,14.5,7,9,44,12:07 PM,12:23 AM,05:52 AM,08:21 PM,-2,34,34,35,12,0,9,0.0,1013,35,10,330,11
2020-01-02 18:00:00,36,9,0.0,14.5,7,8,44,12:07 PM,12:23 AM,05:52 AM,08:21 PM,6,35,35,34,20,0,39,0.0,1015,34,10,168,16
2020-01-02 21:00:00,36,9,0.0,14.5,7,1,44,12:07 PM,12:23 AM,05:52 AM,08:21 PM,11,35,35,31,20,5,78,0.0,1017,31,10,111,12
2020-01-03 00:00:00,37,11,0.0,14.5,8,1,51,01:02 PM,12:50 AM,05:53 AM,08:21 PM,10,17,19,17,17,18,91,0.0,1017,18,10,131,8
2020-01-03 03:00:00,37,11,0.0,14.5,8,1,51,01:02 PM,12:50 AM,05:53 AM,08:21 PM,11,12,13,12,12,49,87,0.0,1016,13,10,156,7
2020-01-03 06:00:00,37,11,0.0,14.5,8,1,51,01:02 PM,12:50 AM,05:53 AM,08:21 PM,13,17,17,17,5,42,75,0.0,1016,17,10,137,4
2020-01-03 09:00:00,37,11,0.0,14.5,8,7,51,01:02 PM,12:50 AM,05:53 AM,08:21 PM,14,26,26,27,7,11,48,0.0,1015,27,10,258,6
2020-01-03 12:00:00,37,11,0.0,14.5,8,8,51,01:02 PM,12:50 AM,05:53 AM,08:21 PM,8,33,33,34,16,0,22,0.0,1012,34,10,315,14
2020-01-03 15:00:00,37,11,0.0,14.5,8,9,51,01:02 PM,12:50 AM,05:53 AM,08:21 PM,4,35,35,37,18,0,14,0.0,1009,37,10,295,16
2020-01-03 18:00:00,37,11,0.0,14.5,8,9,51,01:02 PM,12:50 AM,05:53 AM,08:21 PM,6,37,37,35,13,0,19,0.0,1010,35,10,138,8
2020-01-03 21:00:00,37,11,0.0,14.5,8,1,51,01:02 PM,12:50 AM,05:53 AM,08:21 PM,14,36,36,32,11,10,69,0.0,1011,32,10,109,6
2020-01-04 00:00:00,42,17,0.0,14.5,9,1,59,01:57 PM,01:17 AM,05:54 AM,08:21 PM,17,24,24,22,11,27,94,0.0,1011,22,5,131,6
2020-01-04 03:00:00,42,17,0.0,14.5,9,1,59,01:57 PM,01:17 AM,05:54 AM,08:21 PM,16,17,17,17,5,27,95,0.0,1009,17,2,112,3
2020-01-04 06:00:00,42,17,0.0,14.5,9,1,59,01:57 PM,01:17 AM,05:54 AM,08:21 PM,16,22,23,22,6,8,70,0.0,1010,22,7,245,5
2020-01-04 09:00:00,42,17,0.0,14.5,9,8,59,01:57 PM,01:17 AM,05:54 AM,08:21 PM,12,32,32,32,26,2,34,0.0,1009,32,10,308,22
2020-01-04 12:00:00,42,17,0.0,14.5,9,9,59,01:57 PM,01:17 AM,05:54 AM,08:21 PM,8,39,39,39,34,2,15,0.0,1006,39,10,303,30
2020-01-04 15:00:00,42,17,0.0,14.5,9,10,59,01:57 PM,01:17 AM,05:54 AM,08:21 PM,4,42,42,41,34,8,10,0.0,1004,41,10,302,30
2020-01-04 18:00:00,42,17,0.0,14.5,9,9,59,01:57 PM,01:17 AM,05:54 AM,08:21 PM,6,42,42,40,23,17,18,0.0,1007,40,10,280,17
2020-01-04 21:00:00,42,17,0.0,14.5,9,1,59,01:57 PM,01:17 AM,05:54 AM,08:21 PM,11,39,39,37,21,16,47,0.0,1011,37,10,158,12
