date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,8,0,0.0,8.7,3,1,26,12:04 PM,10:35 PM,08:45 AM,05:10 PM,-9,-1,0,-1,8,46,51,0.0,1032,0,10,142,4
2019-12-31 03:00:00,8,0,0.0,8.7,3,1,26,12:04 PM,10:35 PM,08:45 AM,05:10 PM,-7,0,1,0,6,36,56,0.0,1031,1,10,132,3
2019-12-31 06:00:00,8,0,0.0,8.7,3,1,26,12:04 PM,10:35 PM,08:45 AM,05:10 PM,-6,1,1,1,8,16,59,0.0,1030,1,10,172,4
2019-12-31 09:00:00,8,0,0.0,8.7,3,2,26,12:04 PM,10:35 PM,08:45 AM,05:10 PM,-4,1,4,1,25,3,54,0.0,1029,4,10,243,14
2019-12-31 12:00:00,8,0,0.0,8.7,3,3,26,12:04 PM,10:35 PM,08:45 AM,05:10 PM,-4,3,7,3,33,3,46,0.0,1029,7,10,284,21
2019-12-31 15:00:00,8,0,0.0,8.7,3,3,26,12:04 PM,10:35 PM,08:45 AM,05:10 PM,-3,3,6,3,33,20,53,0.0,1029,6,10,297,21
2019-12-31 18:00:00,8,0,0.0,8.7,3,2,26,12:04 PM,10:35 PM,08:45 AM,05:10 PM,-1,0,5,0,34,9,66,0.0,1031,5,10,306,22
2019-12-31 21:00:00,8,0,0.0,8.7,3,1,26,12:04 PM,10:35 PM,08:45 AM,05:10 PM,-1,-2,3,-2,32,5,73,0.0,1033,3,10,307,20
2020-01-01 00:00:00,6,1,0.0,8.7,2,1,37,12:26 PM,11:40 PM,08:45 AM,05:11 PM,-2,-2,2,-2,26,37,77,0.0,1034,2,10,301,16
2020-01-01 03:00:00,6,1,0.0,8.7,2,1,37,12:26 PM,11:40 PM,08:45 AM,05:11 PM,-2,-3,2,-3,25,53,80,0.0,1035,2,10,294,16
2020-01-01 06:00:00,6,1,0.0,8.7,2,1,37,12:26 PM,11:40 PM,08:45 AM,05:11 PM,-2,-3,1,-3,26,24,79,0.0,1035,1,10,292,16
2020-01-01 09:00:00,6,1,0.0,8.7,2,2,37,12:26 PM,11:40 PM,08:45 AM,05:11 PM,-2,-1,2,-1,21,3,73,0.0,1036,2,10,303,14
2020-01-01 12:00:00,6,1,0.0,8.7,2,2,37,12:26 PM,11:40 PM,08:45 AM,05:11 PM,-2,2,4,2,14,2,64,0.0,1035,4,10,314,11
2020-01-01 15:00:00,6,1,0.0,8.7,2,3,37,12:26 PM,11:40 PM,08:45 AM,05:11 PM,-0,4,6,4,8,2,67,0.0,1035,6,10,324,7
2020-01-01 18:00:00,6,1,0.0,8.7,2,2,37,12:26 PM,11:40 PM,08:45 AM,05:11 PM,0,4,5,4,5,2,72,0.0,1036,5,10,284,4
2020-01-01 21:00:00,6,1,0.0,8.7,2,1,37,12:26 PM,11:40 PM,08:45 AM,05:11 PM,0,2,4,2,3,1,73,0.0,1036,2,10,252,3
2020-01-02 00:00:00,6,1,0.0,8.7,2,1,44,12:45 PM,No moonset,08:45 AM,05:12 PM,0,3,4,3,2,0,74,0.0,1035,3,10,141,2
2020-01-02 03:00:00,6,1,0.0,8.7,2,1,44,12:45 PM,No moonset,08:45 AM,05:12 PM,-1,4,4,4,3,0,74,0.0,1034,4,10,133,3
2020-01-02 06:00:00,6,1,0.0,8.7,2,1,44,12:45 PM,No moonset,08:45 AM,05:12 PM,-2,3,3,3,4,0,74,0.0,1033,3,10,129,3
2020-01-02 09:00:00,6,1,0.0,8.7,2,2,44,12:45 PM,No moonset,08:45 AM,05:12 PM,-3,3,3,3,4,0,65,0.0,1033,3,10,96,3
2020-01-02 12:00:00,6,1,0.0,8.7,2,3,44,12:45 PM,No moonset,08:45 AM,05:12 PM,-3,4,5,4,5,0,57,0.0,1031,5,10,123,5
2020-01-02 15:00:00,6,1,0.0,8.7,2,3,44,12:45 PM,No moonset,08:45 AM,05:12 PM,-1,5,6,5,5,0,63,0.0,1030,6,10,130,4
2020-01-02 18:00:00,6,1,0.0,8.7,2,2,44,12:45 PM,No moonset,08:45 AM,05:12 PM,1,4,5,4,5,0,75,0.0,1030,5,10,126,5
2020-01-02 21:00:00,6,1,0.0,8.7,2,1,44,12:45 PM,No moonset,08:45 AM,05:12 PM,-1,1,2,1,6,2,84,0.0,1030,2,10,129,5
2020-01-03 00:00:00,3,-3,0.0,8.7,2,1,51,01:05 PM,12:42 AM,08:45 AM,05:13 PM,-1,-0,1,-0,6,3,87,0.0,1030,1,10,138,4
2020-01-03 03:00:00,3,-3,0.0,8.7,2,1,51,01:05 PM,12:42 AM,08:45 AM,05:13 PM,-2,0,0,0,5,3,86,0.0,1030,0,10,150,3
2020-01-03 06:00:00,3,-3,0.0,8.7,2,1,51,01:05 PM,12:42 AM,08:45 AM,05:13 PM,-2,1,1,1,3,1,84,0.0,1030,1,10,174,3
2020-01-03 09:00:00,3,-3,0.0,8.7,2,2,51,01:05 PM,12:42 AM,08:45 AM,05:13 PM,-2,1,2,1,5,0,76,0.0,1029,2,10,167,5
2020-01-03 12:00:00,3,-3,0.0,8.7,2,2,51,01:05 PM,12:42 AM,08:45 AM,05:13 PM,-3,1,3,1,8,6,67,0.0,1027,3,10,152,6
2020-01-03 15:00:00,3,-3,0.0,8.7,2,2,51,01:05 PM,12:42 AM,08:45 AM,05:13 PM,-2,1,3,1,9,11,70,0.0,1025,3,10,151,5
2020-01-03 18:00:00,3,-3,0.0,8.7,2,2,51,01:05 PM,12:42 AM,08:45 AM,05:13 PM,-2,-0,2,-0,11,36,73,0.0,1025,0,10,203,6
2020-01-03 21:00:00,3,-3,0.0,8.7,2,1,51,01:05 PM,12:42 AM,08:45 AM,05:13 PM,-2,-2,1,-2,25,61,64,0.0,1026,-2,10,267,12
2020-01-04 00:00:00,6,1,0.0,6.9,2,1,59,01:24 PM,01:46 AM,08:45 AM,05:14 PM,0,1,5,1,43,52,66,0.0,1026,4,10,282,24
2020-01-04 03:00:00,6,1,0.0,6.9,2,1,59,01:24 PM,01:46 AM,08:45 AM,05:14 PM,2,3,7,3,42,63,72,0.0,1024,7,10,278,24
2020-01-04 06:00:00,6,1,0.0,6.9,2,1,59,01:24 PM,01:46 AM,08:45 AM,05:14 PM,3,3,6,3,31,91,79,0.0,1024,6,10,281,18
2020-01-04 09:00:00,6,1,0.0,6.9,2,2,59,01:24 PM,01:46 AM,08:45 AM,05:14 PM,3,3,6,3,22,85,81,0.2,1025,6,5,309,14
2020-01-04 12:00:00,6,1,0.0,6.9,2,2,59,01:24 PM,01:46 AM,08:45 AM,05:14 PM,0,2,6,2,26,57,67,0.1,1025,6,7,312,19
2020-01-04 15:00:00,6,1,0.0,6.9,2,3,59,01:24 PM,01:46 AM,08:45 AM,05:14 PM,-2,2,6,2,30,56,57,0.0,1024,6,10,296,21
2020-01-04 18:00:00,6,1,0.0,6.9,2,3,59,01:24 PM,01:46 AM,08:45 AM,05:14 PM,-1,0,5,0,40,71,63,0.0,1024,5,10,282,28
2020-01-04 21:00:00,6,1,0.0,6.9,2,1,59,01:24 PM,01:46 AM,08:45 AM,05:14 PM,-0,0,4,0,45,92,68,0.1,1024,2,10,283,32
2020-01-05 00:00:00,4,1,0.0,8.7,1,1,66,01:45 PM,02:51 AM,08:45 AM,05:15 PM,-0,-0,4,-0,40,85,71,0.7,1026,3,9,309,28
2020-01-05 03:00:00,4,1,0.0,8.7,1,1,66,01:45 PM,02:51 AM,08:45 AM,05:15 PM,-3,-3,3,-3,43,28,65,0.3,1027,3,10,322,30
2020-01-05 06:00:00,4,1,0.0,8.7,1,1,66,01:45 PM,02:51 AM,08:45 AM,05:15 PM,-4,-4,2,-4,44,2,64,0.0,1030,2,10,322,30
2020-01-05 09:00:00,4,1,0.0,8.7,1,2,66,01:45 PM,02:51 AM,08:45 AM,05:15 PM,-5,-3,2,-3,40,1,61,0.0,1032,2,10,324,29
2020-01-05 12:00:00,4,1,0.0,8.7,1,2,66,01:45 PM,02:51 AM,08:45 AM,05:15 PM,-5,-1,4,-1,33,0,51,0.0,1033,4,10,328,26
2020-01-05 15:00:00,4,1,0.0,8.7,1,2,66,01:45 PM,02:51 AM,08:45 AM,05:15 PM,-5,-1,3,-1,25,4,53,0.0,1034,3,10,326,18
2020-01-05 18:00:00,4,1,0.0,8.7,1,2,66,01:45 PM,02:51 AM,08:45 AM,05:15 PM,-4,-2,2,-2,22,8,64,0.0,1035,2,10,319,14
2020-01-05 21:00:00,4,1,0.0,8.7,1,1,66,01:45 PM,02:51 AM,08:45 AM,05:15 PM,-3,-2,1,-2,14,7,72,0.0,1036,1,10,311,10
2020-01-06 00:00:00,3,-0,0.0,8.7,2,1,73,02:09 PM,03:57 AM,08:45 AM,05:16 PM,-4,-2,0,-2,12,13,75,0.0,1037,0,10,305,8
2020-01-06 03:00:00,3,-0,0.0,8.7,2,1,73,02:09 PM,03:57 AM,08:45 AM,05:16 PM,-3,-1,1,-1,7,7,77,0.0,1036,1,10,300,5
2020-01-06 06:00:00,3,-0,0.0,8.7,2,1,73,02:09 PM,03:57 AM,08:45 AM,05:16 PM,-3,0,0,0,3,15,79,0.0,1035,0,10,256,2
