date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,6,-0,0.0,5.8,2,1,26,12:59 PM,11:21 PM,09:45 AM,05:46 PM,-3,-1,3,-1,31,0,64,0.0,1031,3,10,226,16
2019-12-31 03:00:00,6,-0,0.0,5.8,2,1,26,12:59 PM,11:21 PM,09:45 AM,05:46 PM,-3,0,4,0,24,0,64,0.0,1030,4,10,224,14
2019-12-31 06:00:00,6,-0,0.0,5.8,2,1,26,12:59 PM,11:21 PM,09:45 AM,05:46 PM,-3,1,3,1,15,67,67,0.0,1031,3,10,221,8
2019-12-31 09:00:00,6,-0,0.0,5.8,2,1,26,12:59 PM,11:21 PM,09:45 AM,05:46 PM,-2,2,3,2,7,68,71,0.0,1033,3,10,160,4
2019-12-31 12:00:00,6,-0,0.0,5.8,2,3,26,12:59 PM,11:21 PM,09:45 AM,05:46 PM,-0,4,5,4,7,49,68,0.0,1033,5,10,116,5
2019-12-31 15:00:00,6,-0,0.0,5.8,2,3,26,12:59 PM,11:21 PM,09:45 AM,05:46 PM,1,4,6,4,13,38,74,0.0,1033,6,10,85,9
2019-12-31 18:00:00,6,-0,0.0,5.8,2,2,26,12:59 PM,11:21 PM,09:45 AM,05:46 PM,2,2,4,2,21,20,86,0.0,1034,4,10,86,12
2019-12-31 21:00:00,6,-0,0.0,5.8,2,1,26,12:59 PM,11:21 PM,09:45 AM,05:46 PM,3,0,3,0,20,9,91,0.0,1034,1,10,103,11
2020-01-01 00:00:00,8,3,0.0,5.8,3,1,37,01:18 PM,No moonset,09:45 AM,05:47 PM,3,2,4,2,14,4,91,0.0,1033,3,10,108,9
2020-01-01 03:00:00,8,3,0.0,5.8,3,1,37,01:18 PM,No moonset,09:45 AM,05:47 PM,3,1,4,1,15,5,92,0.0,1033,4,10,131,9
2020-01-01 06:00:00,8,3,0.0,5.8,3,1,37,01:18 PM,No moonset,09:45 AM,05:47 PM,2,2,4,2,13,2,91,0.0,1032,4,10,154,8
2020-01-01 09:00:00,8,3,0.0,5.8,3,2,37,01:18 PM,No moonset,09:45 AM,05:47 PM,3,3,4,3,8,1,89,0.0,1032,4,10,161,6
2020-01-01 12:00:00,8,3,0.0,5.8,3,3,37,01:18 PM,No moonset,09:45 AM,05:47 PM,3,5,7,5,9,1,79,0.0,1032,7,10,166,8
2020-01-01 15:00:00,8,3,0.0,5.8,3,3,37,01:18 PM,No moonset,09:45 AM,05:47 PM,5,7,8,7,9,0,78,0.0,1031,8,10,182,8
2020-01-01 18:00:00,8,3,0.0,5.8,3,3,37,01:18 PM,No moonset,09:45 AM,05:47 PM,3,3,5,3,14,16,84,0.0,1030,5,10,186,9
2020-01-01 21:00:00,8,3,0.0,5.8,3,1,37,01:18 PM,No moonset,09:45 AM,05:47 PM,1,0,3,0,18,16,86,0.0,1030,3,10,186,10
