date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,27,19,0.0,9.4,5,1,26,10:16 AM,11:02 PM,05:43 AM,06:46 PM,18,21,21,21,9,89,85,4.0,1011,21,7,63,5
2019-12-31 03:00:00,27,19,0.0,9.4,5,1,26,10:16 AM,11:02 PM,05:43 AM,06:46 PM,17,20,20,20,12,28,85,0.0,1010,20,10,71,6
2019-12-31 06:00:00,27,19,0.0,9.4,5,1,26,10:16 AM,11:02 PM,05:43 AM,06:46 PM,17,19,19,19,11,86,87,1.2,1011,19,9,54,6
2019-12-31 09:00:00,27,19,0.0,9.4,5,6,26,10:16 AM,11:02 PM,05:43 AM,06:46 PM,18,26,26,24,13,16,71,0.0,1012,24,10,53,11
2019-12-31 12:00:00,27,19,0.0,9.4,5,6,26,10:16 AM,11:02 PM,05:43 AM,06:46 PM,19,28,28,26,12,84,63,0.7,1010,26,9,56,10
2019-12-31 15:00:00,27,19,0.0,9.4,5,6,26,10:16 AM,11:02 PM,05:43 AM,06:46 PM,20,29,29,27,6,80,63,1.9,1008,27,9,25,4
2019-12-31 18:00:00,27,19,0.0,9.4,5,6,26,10:16 AM,11:02 PM,05:43 AM,06:46 PM,20,28,28,26,1,82,73,3.2,1007,26,7,213,0
2019-12-31 21:00:00,27,19,0.0,9.4,5,1,26,10:16 AM,11:02 PM,05:43 AM,06:46 PM,18,25,25,22,3,83,79,4.3,1010,22,7,280,1
2020-01-01 00:00:00,27,20,0.0,9.4,5,1,37,11:04 AM,11:38 PM,05:44 AM,06:46 PM,18,21,21,21,9,89,83,1.6,1011,21,9,303,5
2020-01-01 03:00:00,27,20,0.0,9.4,5,1,37,11:04 AM,11:38 PM,05:44 AM,06:46 PM,17,20,20,20,8,74,85,2.7,1010,20,7,313,4
2020-01-01 06:00:00,27,20,0.0,9.4,5,1,37,11:04 AM,11:38 PM,05:44 AM,06:46 PM,17,20,20,20,10,73,85,0.4,1011,20,9,286,6
2020-01-01 09:00:00,27,20,0.0,9.4,5,5,37,11:04 AM,11:38 PM,05:44 AM,06:46 PM,19,26,26,24,16,77,73,1.9,1012,24,9,303,11
2020-01-01 12:00:00,27,20,0.0,9.4,5,6,37,11:04 AM,11:38 PM,05:44 AM,06:46 PM,19,28,28,26,17,72,67,1.9,1010,26,9,287,11
2020-01-01 15:00:00,27,20,0.0,9.4,5,7,37,11:04 AM,11:38 PM,05:44 AM,06:46 PM,20,29,29,27,10,25,69,0.0,1008,27,10,295,9
2020-01-01 18:00:00,27,20,0.0,9.4,5,5,37,11:04 AM,11:38 PM,05:44 AM,06:46 PM,20,26,26,24,10,70,80,6.1,1007,24,7,284,5
2020-01-01 21:00:00,27,20,0.0,9.4,5,1,37,11:04 AM,11:38 PM,05:44 AM,06:46 PM,19,22,24,22,8,80,82,0.6,1009,22,9,311,4
2020-01-02 00:00:00,26,19,0.0,12.0,5,1,44,11:50 AM,No moonset,05:44 AM,06:47 PM,18,20,20,20,22,69,88,3.2,1011,20,7,304,13
2020-01-02 03:00:00,26,19,0.0,12.0,5,1,44,11:50 AM,No moonset,05:44 AM,06:47 PM,18,20,20,20,20,78,90,0.1,1010,20,10,297,12
2020-01-02 06:00:00,26,19,0.0,12.0,5,1,44,11:50 AM,No moonset,05:44 AM,06:47 PM,18,19,19,19,16,75,90,2.1,1011,19,10,301,9
2020-01-02 09:00:00,26,19,0.0,12.0,5,6,44,11:50 AM,No moonset,05:44 AM,06:47 PM,19,25,25,23,19,37,80,0.0,1013,23,10,298,16
2020-01-02 12:00:00,26,19,0.0,12.0,5,6,44,11:50 AM,No moonset,05:44 AM,06:47 PM,20,27,27,25,21,58,73,1.4,1010,25,10,294,15
2020-01-02 15:00:00,26,19,0.0,12.0,5,6,44,11:50 AM,No moonset,05:44 AM,06:47 PM,20,28,28,26,15,33,71,0.0,1009,26,9,293,13
2020-01-02 18:00:00,26,19,0.0,12.0,5,5,44,11:50 AM,No moonset,05:44 AM,06:47 PM,20,25,25,23,18,82,83,4.1,1008,23,7,290,10
2020-01-02 21:00:00,26,19,0.0,12.0,5,1,44,11:50 AM,No moonset,05:44 AM,06:47 PM,19,21,24,21,12,42,87,0.0,1011,21,10,284,7
2020-01-03 00:00:00,26,19,0.0,8.1,5,1,51,12:36 PM,12:13 AM,05:45 AM,06:47 PM,17,19,19,19,21,58,88,0.1,1012,19,10,327,13
2020-01-03 03:00:00,26,19,0.0,8.1,5,1,51,12:36 PM,12:13 AM,05:45 AM,06:47 PM,17,19,19,19,20,87,93,0.0,1011,19,10,322,14
2020-01-03 06:00:00,26,19,0.0,8.1,5,1,51,12:36 PM,12:13 AM,05:45 AM,06:47 PM,18,19,19,19,21,94,93,0.3,1012,19,10,314,14
2020-01-03 09:00:00,26,19,0.0,8.1,5,5,51,12:36 PM,12:13 AM,05:45 AM,06:47 PM,19,22,24,22,18,71,83,0.3,1014,22,10,313,15
2020-01-03 12:00:00,26,19,0.0,8.1,5,6,51,12:36 PM,12:13 AM,05:45 AM,06:47 PM,20,27,27,25,19,100,71,0.1,1011,25,10,310,16
2020-01-03 15:00:00,26,19,0.0,8.1,5,6,51,12:36 PM,12:13 AM,05:45 AM,06:47 PM,20,28,28,26,17,80,70,0.4,1008,26,9,314,15
2020-01-03 18:00:00,26,19,0.0,8.1,5,5,51,12:36 PM,12:13 AM,05:45 AM,06:47 PM,20,25,25,23,27,75,85,5.1,1007,23,7,320,14
2020-01-03 21:00:00,26,19,0.0,8.1,5,1,51,12:36 PM,12:13 AM,05:45 AM,06:47 PM,19,21,21,21,30,86,86,9.5,1010,21,3,319,14
2020-01-04 00:00:00,22,19,0.0,8.1,5,1,59,01:24 PM,12:48 AM,05:46 AM,06:47 PM,18,20,20,20,22,63,89,1.7,1012,20,10,309,12
2020-01-04 03:00:00,22,19,0.0,8.1,5,1,59,01:24 PM,12:48 AM,05:46 AM,06:47 PM,18,19,19,19,24,54,92,0.0,1010,19,10,320,16
2020-01-04 06:00:00,22,19,0.0,8.1,5,1,59,01:24 PM,12:48 AM,05:46 AM,06:47 PM,18,19,19,19,25,100,94,0.0,1011,19,10,321,17
2020-01-04 09:00:00,22,19,0.0,8.1,5,5,59,01:24 PM,12:48 AM,05:46 AM,06:47 PM,18,20,20,20,24,92,89,0.0,1013,20,10,316,19
2020-01-04 12:00:00,22,19,0.0,8.1,5,5,59,01:24 PM,12:48 AM,05:46 AM,06:47 PM,19,25,25,22,31,80,83,1.3,1011,22,10,321,22
2020-01-04 15:00:00,22,19,0.0,8.1,5,5,59,01:24 PM,12:48 AM,05:46 AM,06:47 PM,19,21,21,21,24,89,88,0.0,1010,21,10,325,20
2020-01-04 18:00:00,22,19,0.0,8.1,5,5,59,01:24 PM,12:48 AM,05:46 AM,06:47 PM,19,21,21,21,26,83,88,0.2,1009,21,10,331,20
2020-01-04 21:00:00,22,19,0.0,8.1,5,1,59,01:24 PM,12:48 AM,05:46 AM,06:47 PM,18,20,20,20,27,96,90,0.0,1011,20,10,336,19
2020-01-05 00:00:00,22,19,0.0,8.1,5,1,66,02:13 PM,01:26 AM,05:46 AM,06:48 PM,18,19,19,19,18,100,93,0.3,1012,19,10,311,13
2020-01-05 03:00:00,22,19,0.0,8.1,5,1,66,02:13 PM,01:26 AM,05:46 AM,06:48 PM,18,19,19,19,21,100,92,0.0,1010,19,10,313,14
2020-01-05 06:00:00,22,19,0.0,8.1,5,1,66,02:13 PM,01:26 AM,05:46 AM,06:48 PM,18,19,19,19,21,94,94,0.2,1011,19,10,310,14
2020-01-05 09:00:00,22,19,0.0,8.1,5,4,66,02:13 PM,01:26 AM,05:46 AM,06:48 PM,18,19,19,19,21,100,93,0.0,1013,19,10,310,15
2020-01-05 12:00:00,22,19,0.0,8.1,5,5,66,02:13 PM,01:26 AM,05:46 AM,06:48 PM,19,21,21,21,21,94,88,0.7,1011,21,10,312,18
2020-01-05 15:00:00,22,19,0.0,8.1,5,5,66,02:13 PM,01:26 AM,05:46 AM,06:48 PM,19,22,25,22,22,70,83,0.0,1008,22,10,306,19
2020-01-05 18:00:00,22,19,0.0,8.1,5,5,66,02:13 PM,01:26 AM,05:46 AM,06:48 PM,19,22,24,22,15,85,84,0.1,1009,22,10,315,12
2020-01-05 21:00:00,22,19,0.0,8.1,5,1,66,02:13 PM,01:26 AM,05:46 AM,06:48 PM,18,19,19,19,15,50,94,0.0,1011,19,10,332,9
2020-01-06 00:00:00,25,19,0.0,8.1,5,1,73,03:04 PM,02:05 AM,05:47 AM,06:48 PM,18,19,19,19,22,98,94,0.0,1013,19,10,325,15
2020-01-06 03:00:00,25,19,0.0,8.1,5,1,73,03:04 PM,02:05 AM,05:47 AM,06:48 PM,17,19,19,19,20,98,93,0.0,1011,19,10,316,14
2020-01-06 06:00:00,25,19,0.0,8.1,5,1,73,03:04 PM,02:05 AM,05:47 AM,06:48 PM,18,19,19,19,17,100,93,0.0,1012,19,10,313,12
2020-01-06 09:00:00,25,19,0.0,8.1,5,5,73,03:04 PM,02:05 AM,05:47 AM,06:48 PM,19,21,21,21,17,100,86,0.0,1014,21,10,322,15
2020-01-06 12:00:00,25,19,0.0,8.1,5,5,73,03:04 PM,02:05 AM,05:47 AM,06:48 PM,19,26,26,24,25,85,74,0.4,1012,24,9,314,21
2020-01-06 15:00:00,25,19,0.0,8.1,5,6,73,03:04 PM,02:05 AM,05:47 AM,06:48 PM,20,27,27,25,23,74,72,0.0,1009,25,10,319,20
2020-01-06 18:00:00,25,19,0.0,8.1,5,5,73,03:04 PM,02:05 AM,05:47 AM,06:48 PM,19,25,25,22,22,70,83,0.2,1010,22,9,324,17
2020-01-06 21:00:00,25,19,0.0,8.1,5,1,73,03:04 PM,02:05 AM,05:47 AM,06:48 PM,18,20,20,20,30,98,90,0.0,1013,20,10,315,21
2020-01-07 00:00:00,25,19,0.0,9.4,5,1,80,03:59 PM,02:47 AM,05:47 AM,06:48 PM,18,19,19,19,33,71,93,7.7,1014,19,3,309,16
2020-01-07 03:00:00,25,19,0.0,9.4,5,1,80,03:59 PM,02:47 AM,05:47 AM,06:48 PM,18,19,19,19,27,87,95,7.1,1013,19,7,309,13
2020-01-07 06:00:00,25,19,0.0,9.4,5,1,80,03:59 PM,02:47 AM,05:47 AM,06:48 PM,18,19,19,19,10,100,93,0.0,1014,19,10,281,7
2020-01-07 09:00:00,25,19,0.0,9.4,5,5,80,03:59 PM,02:47 AM,05:47 AM,06:48 PM,19,21,24,21,6,79,88,0.0,1016,21,10,344,5
2020-01-07 12:00:00,25,19,0.0,9.4,5,5,80,03:59 PM,02:47 AM,05:47 AM,06:48 PM,20,26,26,24,14,73,78,0.4,1014,24,9,347,12
2020-01-07 15:00:00,25,19,0.0,9.4,5,6,80,03:59 PM,02:47 AM,05:47 AM,06:48 PM,20,27,27,25,19,59,72,2.2,1011,25,10,327,12
2020-01-07 18:00:00,25,19,0.0,9.4,5,5,80,03:59 PM,02:47 AM,05:47 AM,06:48 PM,20,26,26,24,12,89,82,0.3,1010,24,9,300,9
2020-01-07 21:00:00,25,19,0.0,9.4,5,1,80,03:59 PM,02:47 AM,05:47 AM,06:48 PM,20,21,24,21,10,81,91,0.3,1013,21,9,305,6
2020-01-08 00:00:00,26,20,0.0,10.7,5,1,88,04:56 PM,03:35 AM,05:48 AM,06:49 PM,19,20,20,20,11,64,93,4.7,1014,20,7,311,6
2020-01-08 03:00:00,26,20,0.0,10.7,5,1,88,04:56 PM,03:35 AM,05:48 AM,06:49 PM,19,20,20,20,10,77,91,8.3,1013,20,3,284,5
2020-01-08 06:00:00,26,20,0.0,10.7,5,1,88,04:56 PM,03:35 AM,05:48 AM,06:49 PM,18,20,20,20,4,83,91,0.2,1014,20,9,319,2
2020-01-08 09:00:00,26,20,0.0,10.7,5,6,88,04:56 PM,03:35 AM,05:48 AM,06:49 PM,20,25,25,23,6,25,80,0.0,1015,23,10,339,6
2020-01-08 12:00:00,26,20,0.0,10.7,5,5,88,04:56 PM,03:35 AM,05:48 AM,06:49 PM,21,27,27,25,14,80,78,2.6,1013,25,7,327,9
2020-01-08 15:00:00,26,20,0.0,10.7,5,7,88,04:56 PM,03:35 AM,05:48 AM,06:49 PM,21,28,28,26,9,41,71,0.0,1011,26,10,318,8
2020-01-08 18:00:00,26,20,0.0,10.7,5,5,88,04:56 PM,03:35 AM,05:48 AM,06:49 PM,21,26,26,24,9,87,82,3.5,1010,24,7,330,5
2020-01-08 21:00:00,26,20,0.0,10.7,5,1,88,04:56 PM,03:35 AM,05:48 AM,06:49 PM,19,22,24,22,7,71,87,3.1,1013,22,7,341,4
2020-01-09 00:00:00,28,20,0.0,9.4,6,1,95,05:55 PM,04:27 AM,05:49 AM,06:49 PM,19,21,21,21,7,70,87,0.5,1013,21,9,331,4
2020-01-09 03:00:00,28,20,0.0,9.4,6,1,95,05:55 PM,04:27 AM,05:49 AM,06:49 PM,18,20,20,20,8,71,88,0.4,1013,20,9,294,4
2020-01-09 06:00:00,28,20,0.0,9.4,6,1,95,05:55 PM,04:27 AM,05:49 AM,06:49 PM,18,20,20,20,2,25,88,0.0,1014,20,10,295,1
2020-01-09 09:00:00,28,20,0.0,9.4,6,6,95,05:55 PM,04:27 AM,05:49 AM,06:49 PM,20,27,27,25,5,77,72,0.1,1015,25,10,313,4
2020-01-09 12:00:00,28,20,0.0,9.4,6,6,95,05:55 PM,04:27 AM,05:49 AM,06:49 PM,20,30,30,28,7,80,61,1.2,1013,28,10,341,5
2020-01-09 15:00:00,28,20,0.0,9.4,6,6,95,05:55 PM,04:27 AM,05:49 AM,06:49 PM,21,29,29,27,12,89,69,3.4,1011,27,7,316,7
2020-01-09 18:00:00,28,20,0.0,9.4,6,6,95,05:55 PM,04:27 AM,05:49 AM,06:49 PM,21,28,28,26,6,72,76,1.6,1010,26,9,295,4
2020-01-09 21:00:00,28,20,0.0,9.4,6,1,95,05:55 PM,04:27 AM,05:49 AM,06:49 PM,19,25,25,23,5,85,82,0.5,1012,23,9,240,3
2020-01-10 00:00:00,29,20,0.0,10.7,6,1,100,06:54 PM,05:25 AM,05:49 AM,06:49 PM,19,21,21,21,13,71,89,0.1,1014,21,10,222,8
2020-01-10 03:00:00,29,20,0.0,10.7,6,1,100,06:54 PM,05:25 AM,05:49 AM,06:49 PM,19,20,20,20,8,21,90,0.0,1012,20,10,190,5
2020-01-10 06:00:00,29,20,0.0,10.7,6,1,100,06:54 PM,05:25 AM,05:49 AM,06:49 PM,18,20,20,20,8,27,91,0.0,1013,20,10,157,5
2020-01-10 09:00:00,29,20,0.0,10.7,6,6,100,06:54 PM,05:25 AM,05:49 AM,06:49 PM,20,26,26,25,8,14,75,0.0,1014,25,10,106,7
2020-01-10 12:00:00,29,20,0.0,10.7,6,6,100,06:54 PM,05:25 AM,05:49 AM,06:49 PM,19,29,29,28,12,84,61,0.5,1013,28,9,60,10
2020-01-10 15:00:00,29,20,0.0,10.7,6,6,100,06:54 PM,05:25 AM,05:49 AM,06:49 PM,20,31,31,29,8,85,61,0.6,1010,29,9,49,6
2020-01-10 18:00:00,29,20,0.0,10.7,6,6,100,06:54 PM,05:25 AM,05:49 AM,06:49 PM,21,28,28,26,10,81,74,1.5,1009,26,10,53,7
2020-01-10 21:00:00,29,20,0.0,10.7,6,1,100,06:54 PM,05:25 AM,05:49 AM,06:49 PM,19,25,25,22,12,78,83,0.9,1012,22,9,62,7
2020-01-11 00:00:00,28,20,0.0,13.0,6,1,100,07:51 PM,06:26 AM,05:50 AM,06:49 PM,19,25,25,22,6,15,81,0.0,1012,22,10,49,4
2020-01-11 03:00:00,28,20,0.0,13.0,6,1,100,07:51 PM,06:26 AM,05:50 AM,06:49 PM,18,21,21,21,10,20,84,0.0,1012,21,10,48,5
2020-01-11 06:00:00,28,20,0.0,13.0,6,1,100,07:51 PM,06:26 AM,05:50 AM,06:49 PM,18,20,20,20,13,9,88,0.0,1013,20,10,35,7
2020-01-11 09:00:00,28,20,0.0,13.0,6,6,100,07:51 PM,06:26 AM,05:50 AM,06:49 PM,18,26,26,24,14,8,69,0.0,1015,24,10,25,13
2020-01-11 12:00:00,28,20,0.0,13.0,6,7,100,07:51 PM,06:26 AM,05:50 AM,06:49 PM,17,28,28,27,14,14,54,0.0,1013,27,10,37,12
2020-01-11 15:00:00,28,20,0.0,13.0,6,7,100,07:51 PM,06:26 AM,05:50 AM,06:49 PM,17,28,28,28,15,9,52,0.0,1010,28,10,53,13
2020-01-11 18:00:00,28,20,0.0,13.0,6,7,100,07:51 PM,06:26 AM,05:50 AM,06:49 PM,18,27,27,25,13,10,67,0.0,1010,25,10,45,10
2020-01-11 21:00:00,28,20,0.0,13.0,6,1,100,07:51 PM,06:26 AM,05:50 AM,06:49 PM,17,22,25,22,12,6,75,0.0,1013,22,10,16,7
2020-01-12 00:00:00,29,19,0.0,13.0,7,1,83,08:45 PM,07:29 AM,05:50 AM,06:49 PM,16,21,21,21,13,8,74,0.0,1014,21,10,81,7
2020-01-12 03:00:00,29,19,0.0,13.0,7,1,83,08:45 PM,07:29 AM,05:50 AM,06:49 PM,15,20,20,20,7,14,74,0.0,1013,20,10,76,4
2020-01-12 06:00:00,29,19,0.0,13.0,7,1,83,08:45 PM,07:29 AM,05:50 AM,06:49 PM,16,19,19,19,6,12,82,0.0,1014,19,10,30,3
2020-01-12 09:00:00,29,19,0.0,13.0,7,6,83,08:45 PM,07:29 AM,05:50 AM,06:49 PM,17,26,26,25,11,14,61,0.0,1015,25,10,10,10
2020-01-12 12:00:00,29,19,0.0,13.0,7,7,83,08:45 PM,07:29 AM,05:50 AM,06:49 PM,17,29,29,28,12,17,52,0.0,1014,28,10,357,10
