date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,20,11,0.0,8.7,5,1,26,10:35 AM,09:58 PM,06:51 AM,05:05 PM,3,10,12,10,19,38,54,0.0,1022,12,10,236,12
2019-12-31 03:00:00,20,11,0.0,8.7,5,1,26,10:35 AM,09:58 PM,06:51 AM,05:05 PM,4,10,11,10,15,49,59,0.0,1021,11,10,234,10
2019-12-31 06:00:00,20,11,0.0,8.7,5,4,26,10:35 AM,09:58 PM,06:51 AM,05:05 PM,5,10,12,10,15,32,62,0.0,1022,12,10,205,10
2019-12-31 09:00:00,20,11,0.0,8.7,5,4,26,10:35 AM,09:58 PM,06:51 AM,05:05 PM,6,13,14,13,10,4,57,0.0,1023,14,10,213,9
2019-12-31 12:00:00,20,11,0.0,8.7,5,5,26,10:35 AM,09:58 PM,06:51 AM,05:05 PM,5,17,17,17,9,6,45,0.0,1023,17,10,261,8
2019-12-31 15:00:00,20,11,0.0,8.7,5,5,26,10:35 AM,09:58 PM,06:51 AM,05:05 PM,5,19,19,19,14,4,39,0.0,1021,19,10,312,11
2019-12-31 18:00:00,20,11,0.0,8.7,5,5,26,10:35 AM,09:58 PM,06:51 AM,05:05 PM,4,16,16,16,22,27,44,0.0,1021,16,10,318,14
2019-12-31 21:00:00,20,11,0.0,8.7,5,1,26,10:35 AM,09:58 PM,06:51 AM,05:05 PM,6,13,14,13,24,46,58,0.0,1022,14,10,341,14
2020-01-01 00:00:00,18,13,0.0,5.5,5,1,37,11:07 AM,10:51 PM,06:51 AM,05:06 PM,8,13,13,13,13,15,68,0.0,1021,13,10,348,9
2020-01-01 03:00:00,18,13,0.0,5.5,5,1,37,11:07 AM,10:51 PM,06:51 AM,05:06 PM,10,14,15,14,9,2,74,0.0,1020,15,10,335,8
2020-01-01 06:00:00,18,13,0.0,5.5,5,4,37,11:07 AM,10:51 PM,06:51 AM,05:06 PM,10,13,13,13,9,5,78,0.0,1020,13,10,332,8
2020-01-01 09:00:00,18,13,0.0,5.5,5,3,37,11:07 AM,10:51 PM,06:51 AM,05:06 PM,8,14,14,14,8,40,69,0.0,1020,14,10,325,7
2020-01-01 12:00:00,18,13,0.0,5.5,5,4,37,11:07 AM,10:51 PM,06:51 AM,05:06 PM,6,16,16,16,9,100,53,0.0,1019,16,10,317,8
2020-01-01 15:00:00,18,13,0.0,5.5,5,5,37,11:07 AM,10:51 PM,06:51 AM,05:06 PM,4,18,18,18,11,71,41,0.0,1017,18,10,311,9
2020-01-01 18:00:00,18,13,0.0,5.5,5,5,37,11:07 AM,10:51 PM,06:51 AM,05:06 PM,4,16,17,16,17,20,44,0.0,1017,17,10,317,12
2020-01-01 21:00:00,18,13,0.0,5.5,5,1,37,11:07 AM,10:51 PM,06:51 AM,05:06 PM,6,13,14,13,20,37,57,0.0,1017,14,10,342,13
2020-01-02 00:00:00,16,11,0.0,7.1,4,1,44,11:37 AM,11:44 PM,06:51 AM,05:07 PM,6,13,13,13,15,28,62,0.0,1017,13,10,345,10
2020-01-02 03:00:00,16,11,0.0,7.1,4,1,44,11:37 AM,11:44 PM,06:51 AM,05:07 PM,6,12,13,12,13,7,62,0.0,1016,13,10,317,9
