date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,1,-2,16.0,3.3,1,1,26,12:13 PM,11:05 PM,08:42 AM,05:29 PM,-2,-7,-2,-7,27,100,97,4.0,1008,-2,2,101,19
2019-12-31 03:00:00,1,-2,16.0,3.3,1,1,26,12:13 PM,11:05 PM,08:42 AM,05:29 PM,-2,-7,-2,-7,27,100,97,4.3,1006,-2,2,99,19
2019-12-31 06:00:00,1,-2,16.0,3.3,1,1,26,12:13 PM,11:05 PM,08:42 AM,05:29 PM,-2,-7,-2,-7,27,100,97,1.7,1005,-2,2,100,19
2019-12-31 09:00:00,1,-2,16.0,3.3,1,1,26,12:13 PM,11:05 PM,08:42 AM,05:29 PM,-1,-6,-1,-6,21,100,98,2.4,1003,-1,2,102,14
2019-12-31 12:00:00,1,-2,16.0,3.3,1,1,26,12:13 PM,11:05 PM,08:42 AM,05:29 PM,0,-2,0,-2,10,100,99,1.7,1001,0,2,111,7
2019-12-31 15:00:00,1,-2,16.0,3.3,1,1,26,12:13 PM,11:05 PM,08:42 AM,05:29 PM,1,-2,1,-2,13,100,100,1.4,999,1,2,124,9
2019-12-31 18:00:00,1,-2,16.0,3.3,1,1,26,12:13 PM,11:05 PM,08:42 AM,05:29 PM,0,-4,0,-4,17,100,99,1.2,997,0,2,146,12
2019-12-31 21:00:00,1,-2,16.0,3.3,1,1,26,12:13 PM,11:05 PM,08:42 AM,05:29 PM,-1,-5,-0,-5,22,100,97,2.1,997,-0,2,209,15
2020-01-01 00:00:00,0,-6,0.9,3.3,1,1,37,12:36 PM,No moonset,08:42 AM,05:30 PM,-5,-8,-3,-8,19,69,90,0.4,998,-3,4,222,11
2020-01-01 03:00:00,0,-6,0.9,3.3,1,1,37,12:36 PM,No moonset,08:42 AM,05:30 PM,-5,-8,-4,-8,19,89,95,0.4,997,-4,5,241,11
2020-01-01 06:00:00,0,-6,0.9,3.3,1,1,37,12:36 PM,No moonset,08:42 AM,05:30 PM,-6,-10,-5,-10,24,75,91,0.1,998,-5,10,256,14
2020-01-01 09:00:00,0,-6,0.9,3.3,1,1,37,12:36 PM,No moonset,08:42 AM,05:30 PM,-5,-9,-4,-9,22,73,93,0.1,1000,-4,10,263,13
2020-01-01 12:00:00,0,-6,0.9,3.3,1,1,37,12:36 PM,No moonset,08:42 AM,05:30 PM,-2,-6,-1,-6,22,93,91,0.0,1001,-1,8,271,17
2020-01-01 15:00:00,0,-6,0.9,3.3,1,1,37,12:36 PM,No moonset,08:42 AM,05:30 PM,-2,-5,-0,-5,21,93,89,0.1,1001,-0,7,272,15
2020-01-01 18:00:00,0,-6,0.9,3.3,1,1,37,12:36 PM,No moonset,08:42 AM,05:30 PM,-3,-6,-2,-6,20,86,90,0.0,1003,-2,10,262,11
2020-01-01 21:00:00,0,-6,0.9,3.3,1,1,37,12:36 PM,No moonset,08:42 AM,05:30 PM,-4,-7,-3,-7,25,90,90,0.1,1005,-4,9,247,14
2020-01-02 00:00:00,1,-5,0.5,3.3,1,1,44,12:58 PM,12:06 AM,08:42 AM,05:31 PM,-4,-7,-3,-7,25,80,92,0.1,1007,-5,8,236,15
2020-01-02 03:00:00,1,-5,0.5,3.3,1,1,44,12:58 PM,12:06 AM,08:42 AM,05:31 PM,-6,-9,-5,-9,20,94,92,0.0,1007,-5,10,226,10
2020-01-02 06:00:00,1,-5,0.5,3.3,1,1,44,12:58 PM,12:06 AM,08:42 AM,05:31 PM,-6,-8,-5,-8,14,88,93,0.0,1007,-5,7,210,7
2020-01-02 09:00:00,1,-5,0.5,3.3,1,1,44,12:58 PM,12:06 AM,08:42 AM,05:31 PM,-3,-5,-2,-5,11,100,97,0.5,1007,-2,2,201,6
2020-01-02 12:00:00,1,-5,0.5,3.3,1,1,44,12:58 PM,12:06 AM,08:42 AM,05:31 PM,1,-2,1,-2,15,100,100,1.3,1006,1,4,200,9
2020-01-02 15:00:00,1,-5,0.5,3.3,1,1,44,12:58 PM,12:06 AM,08:42 AM,05:31 PM,1,-2,1,-2,19,99,98,0.5,1005,1,7,194,10
2020-01-02 18:00:00,1,-5,0.5,3.3,1,1,44,12:58 PM,12:06 AM,08:42 AM,05:31 PM,0,-2,1,-2,23,91,93,0.0,1004,1,5,199,12
2020-01-02 21:00:00,1,-5,0.5,3.3,1,1,44,12:58 PM,12:06 AM,08:42 AM,05:31 PM,-0,-2,2,-2,24,77,90,0.0,1004,0,10,224,13
2020-01-03 00:00:00,3,-1,0.0,3.3,1,1,51,01:19 PM,01:07 AM,08:42 AM,05:32 PM,0,-2,2,-2,22,81,93,0.0,1004,-1,7,228,11
2020-01-03 03:00:00,3,-1,0.0,3.3,1,1,51,01:19 PM,01:07 AM,08:42 AM,05:32 PM,1,-2,1,-2,21,96,96,0.0,1004,1,2,229,11
2020-01-03 06:00:00,3,-1,0.0,3.3,1,1,51,01:19 PM,01:07 AM,08:42 AM,05:32 PM,1,-2,2,-2,21,82,96,0.0,1005,2,2,232,11
2020-01-03 09:00:00,3,-1,0.0,3.3,1,1,51,01:19 PM,01:07 AM,08:42 AM,05:32 PM,1,-2,2,-2,21,64,98,0.0,1005,2,5,234,11
2020-01-03 12:00:00,3,-1,0.0,3.3,1,1,51,01:19 PM,01:07 AM,08:42 AM,05:32 PM,2,-2,2,-2,23,92,100,0.0,1005,2,7,227,12
2020-01-03 15:00:00,3,-1,0.0,3.3,1,1,51,01:19 PM,01:07 AM,08:42 AM,05:32 PM,2,-1,2,-1,19,100,99,0.0,1005,2,0,238,10
2020-01-03 18:00:00,3,-1,0.0,3.3,1,2,51,01:19 PM,01:07 AM,08:42 AM,05:32 PM,1,-1,2,-1,17,84,96,0.0,1006,1,3,251,9
