date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,27,19,0.0,11.6,7,1,26,11:32 AM,12:18 AM,06:35 AM,08:56 PM,4,22,22,22,4,0,32,0.0,1016,22,10,230,2
2019-12-31 03:00:00,27,19,0.0,11.6,7,1,26,11:32 AM,12:18 AM,06:35 AM,08:56 PM,8,25,25,25,1,0,34,0.0,1014,25,10,270,1
2019-12-31 06:00:00,27,19,0.0,11.6,7,1,26,11:32 AM,12:18 AM,06:35 AM,08:56 PM,7,25,25,25,3,0,32,0.0,1014,25,10,320,2
2019-12-31 09:00:00,27,19,0.0,11.6,7,7,26,11:32 AM,12:18 AM,06:35 AM,08:56 PM,4,25,25,26,9,0,24,0.0,1014,26,10,257,8
2019-12-31 12:00:00,27,19,0.0,11.6,7,7,26,11:32 AM,12:18 AM,06:35 AM,08:56 PM,-2,24,24,26,18,0,17,0.0,1013,26,10,257,12
2019-12-31 15:00:00,27,19,0.0,11.6,7,6,26,11:32 AM,12:18 AM,06:35 AM,08:56 PM,-3,24,24,25,28,0,15,0.0,1013,25,10,250,15
2019-12-31 18:00:00,27,19,0.0,11.6,7,6,26,11:32 AM,12:18 AM,06:35 AM,08:56 PM,-1,23,23,23,24,0,21,0.0,1013,23,10,253,13
2019-12-31 21:00:00,27,19,0.0,11.6,7,1,26,11:32 AM,12:18 AM,06:35 AM,08:56 PM,1,21,21,21,9,0,28,0.0,1014,21,10,258,5
2020-01-01 00:00:00,26,17,0.0,11.6,7,1,37,12:26 PM,12:49 AM,06:36 AM,08:56 PM,2,20,20,20,6,0,31,0.0,1015,20,10,251,4
2020-01-01 03:00:00,26,17,0.0,11.6,7,1,37,12:26 PM,12:49 AM,06:36 AM,08:56 PM,6,24,24,23,3,0,33,0.0,1014,23,10,266,3
2020-01-01 06:00:00,26,17,0.0,11.6,7,1,37,12:26 PM,12:49 AM,06:36 AM,08:56 PM,6,24,24,24,4,0,32,0.0,1015,24,10,271,4
2020-01-01 09:00:00,26,17,0.0,11.6,7,7,37,12:26 PM,12:49 AM,06:36 AM,08:56 PM,3,24,24,25,10,1,24,0.0,1016,25,10,266,8
2020-01-01 12:00:00,26,17,0.0,11.6,7,7,37,12:26 PM,12:49 AM,06:36 AM,08:56 PM,0,25,25,26,15,1,18,0.0,1015,26,10,253,13
2020-01-01 15:00:00,26,17,0.0,11.6,7,7,37,12:26 PM,12:49 AM,06:36 AM,08:56 PM,-1,24,24,25,19,0,19,0.0,1014,25,10,245,15
2020-01-01 18:00:00,26,17,0.0,11.6,7,6,37,12:26 PM,12:49 AM,06:36 AM,08:56 PM,-0,22,22,22,18,0,23,0.0,1014,22,10,241,13
2020-01-01 21:00:00,26,17,0.0,11.6,7,1,37,12:26 PM,12:49 AM,06:36 AM,08:56 PM,-0,18,18,18,11,0,29,0.0,1016,18,10,239,6
2020-01-02 00:00:00,29,22,0.0,11.6,7,1,44,01:21 PM,01:18 AM,06:37 AM,08:56 PM,4,19,20,19,5,0,36,0.0,1016,19,10,242,4
2020-01-02 03:00:00,29,22,0.0,11.6,7,1,44,01:21 PM,01:18 AM,06:37 AM,08:56 PM,8,24,24,22,3,0,40,0.0,1015,22,10,259,3
2020-01-02 06:00:00,29,22,0.0,11.6,7,1,44,01:21 PM,01:18 AM,06:37 AM,08:56 PM,8,24,24,23,4,0,39,0.0,1016,23,10,281,3
2020-01-02 09:00:00,29,22,0.0,11.6,7,7,44,01:21 PM,01:18 AM,06:37 AM,08:56 PM,6,25,25,25,9,1,30,0.0,1016,25,10,263,8
2020-01-02 12:00:00,29,22,0.0,11.6,7,7,44,01:21 PM,01:18 AM,06:37 AM,08:56 PM,5,26,26,28,14,2,23,0.0,1016,28,10,257,12
2020-01-02 15:00:00,29,22,0.0,11.6,7,7,44,01:21 PM,01:18 AM,06:37 AM,08:56 PM,5,27,27,29,18,2,23,0.0,1015,29,10,246,15
2020-01-02 18:00:00,29,22,0.0,11.6,7,7,44,01:21 PM,01:18 AM,06:37 AM,08:56 PM,5,25,25,27,15,1,25,0.0,1016,27,10,239,13
2020-01-02 21:00:00,29,22,0.0,11.6,7,1,44,01:21 PM,01:18 AM,06:37 AM,08:56 PM,6,25,25,24,7,0,31,0.0,1017,24,10,237,6
2020-01-03 00:00:00,26,19,0.0,11.6,7,1,51,02:14 PM,01:46 AM,06:37 AM,08:56 PM,9,24,24,23,5,0,42,0.0,1017,23,10,246,4
2020-01-03 03:00:00,26,19,0.0,11.6,7,1,51,02:14 PM,01:46 AM,06:37 AM,08:56 PM,10,24,24,22,3,0,46,0.0,1017,22,10,254,3
2020-01-03 06:00:00,26,19,0.0,11.6,7,1,51,02:14 PM,01:46 AM,06:37 AM,08:56 PM,10,24,24,23,4,0,44,0.0,1018,23,10,249,3
2020-01-03 09:00:00,26,19,0.0,11.6,7,6,51,02:14 PM,01:46 AM,06:37 AM,08:56 PM,8,25,25,25,9,0,36,0.0,1018,25,10,262,8
2020-01-03 12:00:00,26,19,0.0,11.6,7,7,51,02:14 PM,01:46 AM,06:37 AM,08:56 PM,7,25,25,26,14,1,29,0.0,1017,26,10,252,12
2020-01-03 15:00:00,26,19,0.0,11.6,7,7,51,02:14 PM,01:46 AM,06:37 AM,08:56 PM,5,25,25,26,18,2,27,0.0,1016,26,10,250,15
2020-01-03 18:00:00,26,19,0.0,11.6,7,6,51,02:14 PM,01:46 AM,06:37 AM,08:56 PM,7,25,25,25,18,2,34,0.0,1016,25,10,243,15
2020-01-03 21:00:00,26,19,0.0,11.6,7,1,51,02:14 PM,01:46 AM,06:37 AM,08:56 PM,11,21,23,21,7,2,48,0.0,1017,21,10,236,6
2020-01-04 00:00:00,29,21,0.0,11.6,7,1,59,03:10 PM,02:14 AM,06:38 AM,08:56 PM,14,20,22,20,4,3,55,0.0,1016,20,10,236,4
2020-01-04 03:00:00,29,21,0.0,11.6,7,1,59,03:10 PM,02:14 AM,06:38 AM,08:56 PM,14,25,25,23,3,2,57,0.0,1015,23,10,278,3
2020-01-04 06:00:00,29,21,0.0,11.6,7,1,59,03:10 PM,02:14 AM,06:38 AM,08:56 PM,14,25,25,24,4,2,54,0.0,1015,24,10,322,3
