date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,0,-6,0.0,8.7,2,1,26,11:01 AM,09:52 PM,07:36 AM,04:59 PM,-22,-9,-5,-9,9,0,25,0.0,1047,-5,10,348,8
2019-12-31 03:00:00,0,-6,0.0,8.7,2,1,26,11:01 AM,09:52 PM,07:36 AM,04:59 PM,-21,-7,-5,-7,6,0,26,0.0,1045,-5,10,342,5
2019-12-31 06:00:00,0,-6,0.0,8.7,2,1,26,11:01 AM,09:52 PM,07:36 AM,04:59 PM,-21,-6,-6,-6,2,0,28,0.0,1043,-6,10,315,2
2019-12-31 09:00:00,0,-6,0.0,8.7,2,2,26,11:01 AM,09:52 PM,07:36 AM,04:59 PM,-22,-6,-6,-6,1,0,26,0.0,1042,-6,10,256,1
2019-12-31 12:00:00,0,-6,0.0,8.7,2,2,26,11:01 AM,09:52 PM,07:36 AM,04:59 PM,-23,-3,-3,-3,2,0,20,0.0,1039,-3,10,178,2
2019-12-31 15:00:00,0,-6,0.0,8.7,2,2,26,11:01 AM,09:52 PM,07:36 AM,04:59 PM,-23,-1,-1,-1,3,0,17,0.0,1035,-1,10,176,2
2019-12-31 18:00:00,0,-6,0.0,8.7,2,2,26,11:01 AM,09:52 PM,07:36 AM,04:59 PM,-22,-1,-0,-1,3,1,18,0.0,1034,-0,10,106,2
2019-12-31 21:00:00,0,-6,0.0,8.7,2,1,26,11:01 AM,09:52 PM,07:36 AM,04:59 PM,-21,-5,-3,-5,6,1,23,0.0,1034,-3,10,40,6
2020-01-01 00:00:00,2,-4,0.0,8.7,2,1,37,11:29 AM,10:50 PM,07:36 AM,04:59 PM,-20,-7,-5,-7,7,2,29,0.0,1034,-5,10,41,6
2020-01-01 03:00:00,2,-4,0.0,8.7,2,1,37,11:29 AM,10:50 PM,07:36 AM,04:59 PM,-19,-5,-4,-5,5,0,30,0.0,1033,-4,10,21,5
2020-01-01 06:00:00,2,-4,0.0,8.7,2,1,37,11:29 AM,10:50 PM,07:36 AM,04:59 PM,-19,-4,-4,-4,4,0,28,0.0,1033,-4,10,22,3
2020-01-01 09:00:00,2,-4,0.0,8.7,2,2,37,11:29 AM,10:50 PM,07:36 AM,04:59 PM,-19,-4,-3,-4,4,0,28,0.0,1033,-3,10,57,3
2020-01-01 12:00:00,2,-4,0.0,8.7,2,2,37,11:29 AM,10:50 PM,07:36 AM,04:59 PM,-19,-1,-1,-1,4,0,24,0.0,1032,-1,10,81,4
2020-01-01 15:00:00,2,-4,0.0,8.7,2,2,37,11:29 AM,10:50 PM,07:36 AM,04:59 PM,-18,2,2,2,3,0,21,0.0,1030,2,10,107,3
2020-01-01 18:00:00,2,-4,0.0,8.7,2,2,37,11:29 AM,10:50 PM,07:36 AM,04:59 PM,-18,1,1,1,3,1,22,0.0,1031,1,10,94,2
2020-01-01 21:00:00,2,-4,0.0,8.7,2,1,37,11:29 AM,10:50 PM,07:36 AM,04:59 PM,-19,-2,-1,-2,3,4,24,0.0,1032,-1,10,72,3
2020-01-02 00:00:00,2,-6,0.0,7.0,2,1,44,11:54 AM,11:48 PM,07:36 AM,05:00 PM,-19,-4,-3,-4,4,13,28,0.0,1032,-3,10,40,4
2020-01-02 03:00:00,2,-6,0.0,7.0,2,1,44,11:54 AM,11:48 PM,07:36 AM,05:00 PM,-18,-4,-4,-4,4,25,33,0.0,1032,-4,10,44,3
2020-01-02 06:00:00,2,-6,0.0,7.0,2,1,44,11:54 AM,11:48 PM,07:36 AM,05:00 PM,-17,-5,-5,-5,3,55,36,0.0,1032,-5,10,35,2
2020-01-02 09:00:00,2,-6,0.0,7.0,2,2,44,11:54 AM,11:48 PM,07:36 AM,05:00 PM,-16,-4,-3,-4,2,68,36,0.0,1033,-3,10,90,2
2020-01-02 12:00:00,2,-6,0.0,7.0,2,2,44,11:54 AM,11:48 PM,07:36 AM,05:00 PM,-15,-0,0,-0,3,7,32,0.0,1033,0,10,175,3
2020-01-02 15:00:00,2,-6,0.0,7.0,2,2,44,11:54 AM,11:48 PM,07:36 AM,05:00 PM,-15,1,1,1,3,19,30,0.0,1031,1,10,170,2
2020-01-02 18:00:00,2,-6,0.0,7.0,2,2,44,11:54 AM,11:48 PM,07:36 AM,05:00 PM,-15,-2,0,-2,5,30,32,0.0,1032,-1,10,225,3
2020-01-02 21:00:00,2,-6,0.0,7.0,2,1,44,11:54 AM,11:48 PM,07:36 AM,05:00 PM,-14,-3,-0,-3,2,13,35,0.0,1032,-3,10,170,1
2020-01-03 00:00:00,6,-1,0.0,8.7,2,1,51,12:19 PM,No moonset,07:37 AM,05:01 PM,-13,-5,-3,-5,4,19,39,0.0,1032,-5,10,38,3
2020-01-03 03:00:00,6,-1,0.0,8.7,2,1,51,12:19 PM,No moonset,07:37 AM,05:01 PM,-12,-1,-1,-1,3,8,43,0.0,1031,-1,10,60,2
2020-01-03 06:00:00,6,-1,0.0,8.7,2,1,51,12:19 PM,No moonset,07:37 AM,05:01 PM,-10,1,1,1,1,0,44,0.0,1031,1,10,94,1
2020-01-03 09:00:00,6,-1,0.0,8.7,2,2,51,12:19 PM,No moonset,07:37 AM,05:01 PM,-11,1,1,1,3,3,43,0.0,1031,1,10,32,3
2020-01-03 12:00:00,6,-1,0.0,8.7,2,2,51,12:19 PM,No moonset,07:37 AM,05:01 PM,-11,3,3,3,4,5,36,0.0,1030,3,10,89,4
2020-01-03 15:00:00,6,-1,0.0,8.7,2,3,51,12:19 PM,No moonset,07:37 AM,05:01 PM,-8,5,6,5,5,0,35,0.0,1028,6,10,246,4
2020-01-03 18:00:00,6,-1,0.0,8.7,2,2,51,12:19 PM,No moonset,07:37 AM,05:01 PM,-8,4,4,4,2,4,40,0.0,1028,4,10,324,1
2020-01-03 21:00:00,6,-1,0.0,8.7,2,1,51,12:19 PM,No moonset,07:37 AM,05:01 PM,-11,1,1,1,3,16,40,0.0,1028,1,10,296,1
2020-01-04 00:00:00,8,-1,0.0,8.7,2,1,59,12:43 PM,12:45 AM,07:37 AM,05:02 PM,-11,0,1,0,4,21,41,0.0,1028,1,10,232,3
2020-01-04 03:00:00,8,-1,0.0,8.7,2,1,59,12:43 PM,12:45 AM,07:37 AM,05:02 PM,-11,-1,0,-1,8,18,43,0.0,1029,0,10,19,5
2020-01-04 06:00:00,8,-1,0.0,8.7,2,1,59,12:43 PM,12:45 AM,07:37 AM,05:02 PM,-11,-1,0,-1,8,13,43,0.0,1029,0,10,13,5
2020-01-04 09:00:00,8,-1,0.0,8.7,2,2,59,12:43 PM,12:45 AM,07:37 AM,05:02 PM,-9,2,3,2,5,0,41,0.0,1030,3,10,12,4
2020-01-04 12:00:00,8,-1,0.0,8.7,2,3,59,12:43 PM,12:45 AM,07:37 AM,05:02 PM,-8,6,6,6,4,0,36,0.0,1030,6,10,35,4
2020-01-04 15:00:00,8,-1,0.0,8.7,2,3,59,12:43 PM,12:45 AM,07:37 AM,05:02 PM,-8,6,6,6,6,2,36,0.0,1029,6,10,38,4
2020-01-04 18:00:00,8,-1,0.0,8.7,2,2,59,12:43 PM,12:45 AM,07:37 AM,05:02 PM,-8,1,2,1,8,10,45,0.0,1030,2,10,15,5
2020-01-04 21:00:00,8,-1,0.0,8.7,2,1,59,12:43 PM,12:45 AM,07:37 AM,05:02 PM,-8,0,1,0,6,42,50,0.0,1031,1,10,41,4
2020-01-05 00:00:00,2,-2,0.2,3.6,1,1,66,01:10 PM,01:44 AM,07:37 AM,05:03 PM,-9,-1,-0,-1,5,92,53,0.0,1032,-0,10,67,3
2020-01-05 03:00:00,2,-2,0.2,3.6,1,1,66,01:10 PM,01:44 AM,07:37 AM,05:03 PM,-8,-2,-0,-2,8,67,55,0.0,1032,-0,10,25,5
2020-01-05 06:00:00,2,-2,0.2,3.6,1,1,66,01:10 PM,01:44 AM,07:37 AM,05:03 PM,-8,-1,-0,-1,5,35,56,0.0,1032,-0,10,24,4
2020-01-05 09:00:00,2,-2,0.2,3.6,1,1,66,01:10 PM,01:44 AM,07:37 AM,05:03 PM,-9,-2,-1,-2,4,100,55,0.0,1032,-1,10,30,3
2020-01-05 12:00:00,2,-2,0.2,3.6,1,2,66,01:10 PM,01:44 AM,07:37 AM,05:03 PM,-8,-0,1,-0,5,85,51,0.0,1032,1,10,37,4
