date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,5,-1,0.0,6.9,2,1,26,12:01 PM,10:41 PM,08:37 AM,05:21 PM,-7,-2,-1,-2,8,9,63,0.0,1034,-1,10,221,5
2019-12-31 03:00:00,5,-1,0.0,6.9,2,1,26,12:01 PM,10:41 PM,08:37 AM,05:21 PM,-6,-3,-1,-3,9,13,68,0.0,1032,-1,10,213,5
2019-12-31 06:00:00,5,-1,0.0,6.9,2,1,26,12:01 PM,10:41 PM,08:37 AM,05:21 PM,-6,-3,-1,-3,8,34,68,0.0,1031,-1,10,214,5
2019-12-31 09:00:00,5,-1,0.0,6.9,2,2,26,12:01 PM,10:41 PM,08:37 AM,05:21 PM,-7,-0,1,-0,6,77,58,0.0,1030,1,10,226,4
2019-12-31 12:00:00,5,-1,0.0,6.9,2,1,26,12:01 PM,10:41 PM,08:37 AM,05:21 PM,-6,3,4,3,6,42,49,0.0,1029,4,10,227,4
2019-12-31 15:00:00,5,-1,0.0,6.9,2,2,26,12:01 PM,10:41 PM,08:37 AM,05:21 PM,-5,4,4,4,4,13,52,0.0,1028,4,10,251,3
2019-12-31 18:00:00,5,-1,0.0,6.9,2,2,26,12:01 PM,10:41 PM,08:37 AM,05:21 PM,-5,3,3,3,5,14,58,0.0,1030,3,10,128,3
2019-12-31 21:00:00,5,-1,0.0,6.9,2,1,26,12:01 PM,10:41 PM,08:37 AM,05:21 PM,-4,2,2,2,4,8,62,0.0,1031,2,10,109,2
2020-01-01 00:00:00,5,-0,0.0,8.7,2,1,37,12:24 PM,11:43 PM,08:37 AM,05:22 PM,-4,2,2,2,4,6,65,0.0,1033,2,10,186,3
2020-01-01 03:00:00,5,-0,0.0,8.7,2,1,37,12:24 PM,11:43 PM,08:37 AM,05:22 PM,-4,1,1,1,5,45,71,0.0,1034,1,10,238,3
2020-01-01 06:00:00,5,-0,0.0,8.7,2,1,37,12:24 PM,11:43 PM,08:37 AM,05:22 PM,-4,-1,0,-1,6,42,77,0.0,1035,0,10,257,3
2020-01-01 09:00:00,5,-0,0.0,8.7,2,2,37,12:24 PM,11:43 PM,08:37 AM,05:22 PM,-2,1,2,1,5,20,75,0.0,1035,2,10,248,4
2020-01-01 12:00:00,5,-0,0.0,8.7,2,2,37,12:24 PM,11:43 PM,08:37 AM,05:22 PM,-1,4,4,4,5,14,69,0.0,1035,4,10,238,4
2020-01-01 15:00:00,5,-0,0.0,8.7,2,3,37,12:24 PM,11:43 PM,08:37 AM,05:22 PM,1,5,5,5,5,5,74,0.0,1035,5,10,243,4
2020-01-01 18:00:00,5,-0,0.0,8.7,2,2,37,12:24 PM,11:43 PM,08:37 AM,05:22 PM,2,5,5,5,4,0,81,0.0,1036,5,10,279,3
2020-01-01 21:00:00,5,-0,0.0,8.7,2,1,37,12:24 PM,11:43 PM,08:37 AM,05:22 PM,1,4,4,4,3,0,84,0.0,1036,4,10,273,3
2020-01-02 00:00:00,7,1,0.0,8.7,2,1,44,12:45 PM,No moonset,08:37 AM,05:23 PM,1,3,3,3,4,0,86,0.0,1036,3,10,256,3
2020-01-02 03:00:00,7,1,0.0,8.7,2,1,44,12:45 PM,No moonset,08:37 AM,05:23 PM,0,1,2,1,5,1,88,0.0,1035,2,10,248,4
2020-01-02 06:00:00,7,1,0.0,8.7,2,1,44,12:45 PM,No moonset,08:37 AM,05:23 PM,-0,0,1,0,6,2,89,0.0,1034,1,10,229,5
2020-01-02 09:00:00,7,1,0.0,8.7,2,2,44,12:45 PM,No moonset,08:37 AM,05:23 PM,-1,2,3,2,6,1,80,0.0,1034,3,10,226,4
2020-01-02 12:00:00,7,1,0.0,8.7,2,3,44,12:45 PM,No moonset,08:37 AM,05:23 PM,-0,5,6,5,5,0,66,0.0,1033,6,10,205,5
