date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,7,1,0.0,5.8,2,1,26,12:38 PM,10:35 PM,09:39 AM,04:46 PM,6,3,7,3,52,100,91,0.2,1015,6,5,277,32
2019-12-31 03:00:00,7,1,0.0,5.8,2,1,26,12:38 PM,10:35 PM,09:39 AM,04:46 PM,4,2,7,2,56,82,80,0.2,1015,7,7,289,35
2019-12-31 06:00:00,7,1,0.0,5.8,2,1,26,12:38 PM,10:35 PM,09:39 AM,04:46 PM,3,1,6,1,65,77,78,0.1,1016,6,10,291,40
2019-12-31 09:00:00,7,1,0.0,5.8,2,2,26,12:38 PM,10:35 PM,09:39 AM,04:46 PM,2,1,6,1,63,26,75,0.0,1019,6,10,304,40
2019-12-31 12:00:00,7,1,0.0,5.8,2,3,26,12:38 PM,10:35 PM,09:39 AM,04:46 PM,2,2,6,2,50,1,71,0.0,1023,6,10,314,32
2019-12-31 15:00:00,7,1,0.0,5.8,2,3,26,12:38 PM,10:35 PM,09:39 AM,04:46 PM,2,2,6,2,37,2,75,0.0,1025,6,10,312,24
2019-12-31 18:00:00,7,1,0.0,5.8,2,3,26,12:38 PM,10:35 PM,09:39 AM,04:46 PM,1,1,5,1,30,3,78,0.0,1027,5,10,291,19
2019-12-31 21:00:00,7,1,0.0,5.8,2,1,26,12:38 PM,10:35 PM,09:39 AM,04:46 PM,1,1,4,1,36,4,77,0.0,1029,2,10,288,23
2020-01-01 00:00:00,6,4,0.0,5.8,2,1,37,12:53 PM,11:46 PM,09:39 AM,04:47 PM,2,0,4,0,41,5,81,0.0,1029,3,10,292,27
2020-01-01 03:00:00,6,4,0.0,5.8,2,1,37,12:53 PM,11:46 PM,09:39 AM,04:47 PM,2,-1,4,-1,42,8,85,0.0,1029,4,10,285,28
2020-01-01 06:00:00,6,4,0.0,5.8,2,1,37,12:53 PM,11:46 PM,09:39 AM,04:47 PM,3,-1,4,-1,45,17,88,0.0,1029,4,10,279,30
2020-01-01 09:00:00,6,4,0.0,5.8,2,2,37,12:53 PM,11:46 PM,09:39 AM,04:47 PM,3,-1,5,-1,44,15,87,0.0,1028,5,10,277,29
2020-01-01 12:00:00,6,4,0.0,5.8,2,3,37,12:53 PM,11:46 PM,09:39 AM,04:47 PM,3,1,5,1,42,10,83,0.0,1028,5,10,274,28
2020-01-01 15:00:00,6,4,0.0,5.8,2,3,37,12:53 PM,11:46 PM,09:39 AM,04:47 PM,3,1,5,1,38,8,84,0.0,1027,5,10,266,25
2020-01-01 18:00:00,6,4,0.0,5.8,2,2,37,12:53 PM,11:46 PM,09:39 AM,04:47 PM,3,0,5,0,37,9,87,0.0,1027,5,10,260,24
2020-01-01 21:00:00,6,4,0.0,5.8,2,1,37,12:53 PM,11:46 PM,09:39 AM,04:47 PM,2,-1,4,-1,37,6,86,0.0,1027,4,10,256,24
2020-01-02 00:00:00,3,-3,0.0,5.8,2,1,44,01:06 PM,No moonset,09:39 AM,04:48 PM,1,-1,4,-1,37,1,84,0.0,1026,4,10,249,24
2020-01-02 03:00:00,3,-3,0.0,5.8,2,1,44,01:06 PM,No moonset,09:39 AM,04:48 PM,1,-2,3,-2,37,19,87,0.0,1024,3,10,255,25
2020-01-02 06:00:00,3,-3,0.0,5.8,2,1,44,01:06 PM,No moonset,09:39 AM,04:48 PM,1,-2,3,-2,33,46,92,0.0,1023,3,10,253,23
2020-01-02 09:00:00,3,-3,0.0,5.8,2,2,44,01:06 PM,No moonset,09:39 AM,04:48 PM,2,-3,3,-3,33,61,94,0.0,1023,3,10,245,24
2020-01-02 12:00:00,3,-3,0.0,5.8,2,1,44,01:06 PM,No moonset,09:39 AM,04:48 PM,2,-2,3,-2,35,49,91,0.0,1022,3,10,238,25
2020-01-02 15:00:00,3,-3,0.0,5.8,2,2,44,01:06 PM,No moonset,09:39 AM,04:48 PM,1,-3,3,-3,36,45,91,0.0,1020,3,10,238,26
2020-01-02 18:00:00,3,-3,0.0,5.8,2,2,44,01:06 PM,No moonset,09:39 AM,04:48 PM,1,-1,3,-1,38,42,90,0.0,1019,1,10,233,28
2020-01-02 21:00:00,3,-3,0.0,5.8,2,1,44,01:06 PM,No moonset,09:39 AM,04:48 PM,2,-2,-0,-2,43,80,90,0.0,1017,-2,10,231,31
2020-01-03 00:00:00,7,5,0.0,1.8,2,1,51,01:18 PM,12:56 AM,09:39 AM,04:50 PM,2,-1,3,-1,48,100,86,0.1,1015,2,10,232,32
2020-01-03 03:00:00,7,5,0.0,1.8,2,1,51,01:18 PM,12:56 AM,09:39 AM,04:50 PM,3,-1,5,-1,52,99,86,0.2,1013,5,10,231,35
2020-01-03 06:00:00,7,5,0.0,1.8,2,1,51,01:18 PM,12:56 AM,09:39 AM,04:50 PM,3,-0,5,-0,59,100,87,0.1,1010,5,10,217,39
2020-01-03 09:00:00,7,5,0.0,1.8,2,2,51,01:18 PM,12:56 AM,09:39 AM,04:50 PM,4,1,6,1,58,100,90,0.3,1008,6,5,223,38
2020-01-03 12:00:00,7,5,0.0,1.8,2,2,51,01:18 PM,12:56 AM,09:39 AM,04:50 PM,6,2,7,2,53,100,93,0.4,1008,7,2,238,33
2020-01-03 15:00:00,7,5,0.0,1.8,2,2,51,01:18 PM,12:56 AM,09:39 AM,04:50 PM,4,2,6,2,39,91,84,0.9,1008,6,7,284,24
