date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,15,12,0.0,6.0,3,1,26,10:36 AM,10:56 PM,06:13 AM,06:21 PM,11,13,13,13,3,69,89,1.4,1014,13,10,127,2
2019-12-31 03:00:00,15,12,0.0,6.0,3,1,26,10:36 AM,10:56 PM,06:13 AM,06:21 PM,11,13,13,13,2,71,90,1.7,1013,13,9,218,1
2019-12-31 06:00:00,15,12,0.0,6.0,3,1,26,10:36 AM,10:56 PM,06:13 AM,06:21 PM,10,12,12,12,3,77,89,3.1,1014,12,8,125,3
2019-12-31 09:00:00,15,12,0.0,6.0,3,3,26,10:36 AM,10:56 PM,06:13 AM,06:21 PM,10,13,13,13,5,66,87,2.6,1015,13,8,249,5
2019-12-31 12:00:00,15,12,0.0,6.0,3,3,26,10:36 AM,10:56 PM,06:13 AM,06:21 PM,11,14,14,14,10,78,79,2.5,1014,14,8,337,8
2019-12-31 15:00:00,15,12,0.0,6.0,3,3,26,10:36 AM,10:56 PM,06:13 AM,06:21 PM,11,14,14,14,10,72,81,2.0,1011,14,9,326,8
2019-12-31 18:00:00,15,12,0.0,6.0,3,3,26,10:36 AM,10:56 PM,06:13 AM,06:21 PM,11,13,13,13,6,69,86,0.5,1012,13,10,312,5
2019-12-31 21:00:00,15,12,0.0,6.0,3,1,26,10:36 AM,10:56 PM,06:13 AM,06:21 PM,11,13,13,13,4,73,88,0.3,1015,13,7,327,3
2020-01-01 00:00:00,18,12,0.0,7.4,3,1,37,11:18 AM,11:38 PM,06:13 AM,06:21 PM,11,12,13,12,3,75,89,4.7,1015,12,8,308,2
2020-01-01 03:00:00,18,12,0.0,7.4,3,1,37,11:18 AM,11:38 PM,06:13 AM,06:21 PM,11,13,12,13,5,87,91,5.6,1014,12,7,312,4
2020-01-01 06:00:00,18,12,0.0,7.4,3,1,37,11:18 AM,11:38 PM,06:13 AM,06:21 PM,10,12,12,12,5,85,87,7.0,1014,12,6,309,4
2020-01-01 09:00:00,18,12,0.0,7.4,3,3,37,11:18 AM,11:38 PM,06:13 AM,06:21 PM,10,13,13,13,3,61,79,2.9,1015,13,5,150,3
2020-01-01 12:00:00,18,12,0.0,7.4,3,4,37,11:18 AM,11:38 PM,06:13 AM,06:21 PM,10,17,17,17,7,32,65,0.2,1013,17,8,242,6
2020-01-01 15:00:00,18,12,0.0,7.4,3,5,37,11:18 AM,11:38 PM,06:13 AM,06:21 PM,11,16,16,16,12,65,70,1.1,1010,16,9,314,9
2020-01-01 18:00:00,18,12,0.0,7.4,3,3,37,11:18 AM,11:38 PM,06:13 AM,06:21 PM,11,14,14,14,11,82,81,2.2,1011,14,8,308,7
2020-01-01 21:00:00,18,12,0.0,7.4,3,1,37,11:18 AM,11:38 PM,06:13 AM,06:21 PM,10,13,13,13,5,85,84,0.9,1014,13,9,134,4
2020-01-02 00:00:00,18,12,0.0,6.0,4,1,44,11:59 AM,No moonset,06:14 AM,06:22 PM,10,12,12,12,3,67,85,0.1,1015,12,10,238,3
2020-01-02 03:00:00,18,12,0.0,6.0,4,1,44,11:59 AM,No moonset,06:14 AM,06:22 PM,10,12,12,12,3,53,86,0.2,1014,12,10,119,2
2020-01-02 06:00:00,18,12,0.0,6.0,4,1,44,11:59 AM,No moonset,06:14 AM,06:22 PM,10,12,12,12,3,68,85,0.2,1014,12,7,50,2
2020-01-02 09:00:00,18,12,0.0,6.0,4,3,44,11:59 AM,No moonset,06:14 AM,06:22 PM,10,14,14,14,3,74,74,0.4,1016,14,8,259,3
2020-01-02 12:00:00,18,12,0.0,6.0,4,4,44,11:59 AM,No moonset,06:14 AM,06:22 PM,10,17,17,17,10,83,64,0.8,1014,17,9,331,8
2020-01-02 15:00:00,18,12,0.0,6.0,4,4,44,11:59 AM,No moonset,06:14 AM,06:22 PM,11,16,16,16,13,81,70,1.1,1011,16,10,312,10
2020-01-02 18:00:00,18,12,0.0,6.0,4,3,44,11:59 AM,No moonset,06:14 AM,06:22 PM,11,14,14,14,10,61,80,1.5,1012,14,10,311,7
2020-01-02 21:00:00,18,12,0.0,6.0,4,1,44,11:59 AM,No moonset,06:14 AM,06:22 PM,11,14,13,14,5,67,87,2.2,1015,13,9,111,4
2020-01-03 00:00:00,18,12,0.0,6.0,4,1,51,12:40 PM,12:18 AM,06:14 AM,06:22 PM,11,13,13,13,5,88,90,4.4,1016,13,8,17,4
2020-01-03 03:00:00,18,12,0.0,6.0,4,1,51,12:40 PM,12:18 AM,06:14 AM,06:22 PM,10,12,12,12,3,77,89,5.4,1015,12,8,65,2
2020-01-03 06:00:00,18,12,0.0,6.0,4,1,51,12:40 PM,12:18 AM,06:14 AM,06:22 PM,10,12,12,12,3,79,86,7.6,1016,12,7,142,2
2020-01-03 09:00:00,18,12,0.0,6.0,4,4,51,12:40 PM,12:18 AM,06:14 AM,06:22 PM,10,16,16,16,6,82,69,3.0,1018,16,9,292,5
2020-01-03 12:00:00,18,12,0.0,6.0,4,4,51,12:40 PM,12:18 AM,06:14 AM,06:22 PM,10,18,18,18,11,79,61,0.6,1016,18,9,333,9
2020-01-03 15:00:00,18,12,0.0,6.0,4,4,51,12:40 PM,12:18 AM,06:14 AM,06:22 PM,11,17,17,17,13,85,66,1.0,1014,17,9,326,10
2020-01-03 18:00:00,18,12,0.0,6.0,4,3,51,12:40 PM,12:18 AM,06:14 AM,06:22 PM,11,15,15,15,10,85,77,1.4,1015,15,9,331,7
2020-01-03 21:00:00,18,12,0.0,6.0,4,1,51,12:40 PM,12:18 AM,06:14 AM,06:22 PM,11,14,14,14,6,87,82,0.7,1017,14,9,134,5
2020-01-04 00:00:00,20,11,0.0,8.8,4,1,59,01:22 PM,01:00 AM,06:15 AM,06:23 PM,10,13,13,13,3,77,83,0.4,1018,13,9,56,3
2020-01-04 03:00:00,20,11,0.0,8.8,4,1,59,01:22 PM,01:00 AM,06:15 AM,06:23 PM,9,12,12,12,3,39,83,0.1,1017,12,10,83,3
2020-01-04 06:00:00,20,11,0.0,8.8,4,1,59,01:22 PM,01:00 AM,06:15 AM,06:23 PM,8,12,12,12,4,19,76,0.0,1018,12,10,115,3
2020-01-04 09:00:00,20,11,0.0,8.8,4,5,59,01:22 PM,01:00 AM,06:15 AM,06:23 PM,6,16,16,16,4,9,53,0.0,1018,16,10,281,4
2020-01-04 12:00:00,20,11,0.0,8.8,4,5,59,01:22 PM,01:00 AM,06:15 AM,06:23 PM,7,19,19,19,11,48,45,0.1,1016,19,10,337,9
2020-01-04 15:00:00,20,11,0.0,8.8,4,4,59,01:22 PM,01:00 AM,06:15 AM,06:23 PM,9,18,18,18,14,83,59,0.7,1014,18,9,314,11
