date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,4,-4,0.0,1.5,2,1,26,01:02 PM,10:33 PM,10:19 AM,04:29 PM,3,2,5,2,45,12,80,0.0,994,3,10,272,27
2019-12-31 03:00:00,4,-4,0.0,1.5,2,1,26,01:02 PM,10:33 PM,10:19 AM,04:29 PM,1,0,5,0,43,25,78,0.0,993,5,10,280,26
2019-12-31 06:00:00,4,-4,0.0,1.5,2,1,26,01:02 PM,10:33 PM,10:19 AM,04:29 PM,1,-0,4,-0,38,59,82,0.0,993,4,10,289,23
2019-12-31 09:00:00,4,-4,0.0,1.5,2,1,26,01:02 PM,10:33 PM,10:19 AM,04:29 PM,1,-1,4,-1,39,76,84,0.0,994,4,10,299,24
2019-12-31 12:00:00,4,-4,0.0,1.5,2,1,26,01:02 PM,10:33 PM,10:19 AM,04:29 PM,1,-2,3,-2,38,100,83,0.1,997,3,7,325,26
2019-12-31 15:00:00,4,-4,0.0,1.5,2,1,26,01:02 PM,10:33 PM,10:19 AM,04:29 PM,-2,-5,1,-5,39,100,78,0.2,1002,1,1,343,28
2019-12-31 18:00:00,4,-4,0.0,1.5,2,1,26,01:02 PM,10:33 PM,10:19 AM,04:29 PM,-4,-6,0,-6,37,91,75,0.1,1007,0,4,339,26
2019-12-31 21:00:00,4,-4,0.0,1.5,2,1,26,01:02 PM,10:33 PM,10:19 AM,04:29 PM,-4,-5,-1,-5,32,50,73,0.1,1011,-2,9,330,21
2020-01-01 00:00:00,3,-2,0.0,5.8,2,1,37,01:12 PM,11:49 PM,10:18 AM,04:30 PM,-4,-4,-0,-4,29,10,72,0.0,1013,-2,10,312,18
2020-01-01 03:00:00,3,-2,0.0,5.8,2,1,37,01:12 PM,11:49 PM,10:18 AM,04:30 PM,-2,-3,2,-3,33,30,77,0.0,1013,2,10,295,19
2020-01-01 06:00:00,3,-2,0.0,5.8,2,1,37,01:12 PM,11:49 PM,10:18 AM,04:30 PM,-1,-2,2,-2,31,45,78,0.0,1012,2,10,273,18
2020-01-01 09:00:00,3,-2,0.0,5.8,2,2,37,01:12 PM,11:49 PM,10:18 AM,04:30 PM,-1,-2,3,-2,32,38,79,0.0,1012,3,10,265,19
2020-01-01 12:00:00,3,-2,0.0,5.8,2,2,37,01:12 PM,11:49 PM,10:18 AM,04:30 PM,0,-1,3,-1,33,41,82,0.0,1011,3,10,259,20
2020-01-01 15:00:00,3,-2,0.0,5.8,2,1,37,01:12 PM,11:49 PM,10:18 AM,04:30 PM,1,-2,3,-2,39,54,83,0.0,1010,3,10,256,24
2020-01-01 18:00:00,3,-2,0.0,5.8,2,2,37,01:12 PM,11:49 PM,10:18 AM,04:30 PM,1,-1,3,-1,38,55,87,0.0,1010,2,10,257,23
2020-01-01 21:00:00,3,-2,0.0,5.8,2,1,37,01:12 PM,11:49 PM,10:18 AM,04:30 PM,1,-1,1,-1,36,27,89,0.0,1009,-1,10,253,22
2020-01-02 00:00:00,5,-2,0.0,3.7,2,1,44,01:20 PM,No moonset,10:18 AM,04:32 PM,1,-2,1,-2,32,34,88,0.0,1009,-0,10,245,19
2020-01-02 03:00:00,5,-2,0.0,3.7,2,1,44,01:20 PM,No moonset,10:18 AM,04:32 PM,2,-1,3,-1,34,37,89,0.0,1007,3,10,247,21
2020-01-02 06:00:00,5,-2,0.0,3.7,2,1,44,01:20 PM,No moonset,10:18 AM,04:32 PM,2,-1,4,-1,38,25,86,0.0,1006,4,10,264,23
2020-01-02 09:00:00,5,-2,0.0,3.7,2,2,44,01:20 PM,No moonset,10:18 AM,04:32 PM,2,-0,4,-0,36,44,89,0.0,1007,4,10,260,22
2020-01-02 12:00:00,5,-2,0.0,3.7,2,1,44,01:20 PM,No moonset,10:18 AM,04:32 PM,3,0,4,0,32,58,91,0.0,1007,4,10,248,20
2020-01-02 15:00:00,5,-2,0.0,3.7,2,2,44,01:20 PM,No moonset,10:18 AM,04:32 PM,3,1,5,1,35,61,86,0.0,1007,5,10,247,21
2020-01-02 18:00:00,5,-2,0.0,3.7,2,2,44,01:20 PM,No moonset,10:18 AM,04:32 PM,2,0,4,0,39,39,84,0.0,1007,3,10,244,23
2020-01-02 21:00:00,5,-2,0.0,3.7,2,1,44,01:20 PM,No moonset,10:18 AM,04:32 PM,2,0,2,0,44,20,83,0.0,1006,0,10,242,26
2020-01-03 00:00:00,6,-0,0.0,1.5,2,1,51,01:28 PM,01:04 AM,10:17 AM,04:33 PM,2,-1,2,-1,44,17,83,0.0,1006,0,10,243,26
2020-01-03 03:00:00,6,-0,0.0,1.5,2,1,51,01:28 PM,01:04 AM,10:17 AM,04:33 PM,2,-1,4,-1,42,33,85,0.0,1005,4,10,239,26
2020-01-03 06:00:00,6,-0,0.0,1.5,2,1,51,01:28 PM,01:04 AM,10:17 AM,04:33 PM,2,-2,4,-2,42,76,87,0.0,1002,4,10,237,27
2020-01-03 09:00:00,6,-0,0.0,1.5,2,1,51,01:28 PM,01:04 AM,10:17 AM,04:33 PM,2,-2,4,-2,46,99,85,0.0,1001,4,10,238,30
2020-01-03 12:00:00,6,-0,0.0,1.5,2,1,51,01:28 PM,01:04 AM,10:17 AM,04:33 PM,1,-2,4,-2,48,100,83,0.0,999,4,10,232,32
2020-01-03 15:00:00,6,-0,0.0,1.5,2,1,51,01:28 PM,01:04 AM,10:17 AM,04:33 PM,2,-1,5,-1,48,100,84,0.9,996,5,10,227,32
2020-01-03 18:00:00,6,-0,0.0,1.5,2,1,51,01:28 PM,01:04 AM,10:17 AM,04:33 PM,3,1,6,1,45,94,86,2.8,994,5,8,242,30
2020-01-03 21:00:00,6,-0,0.0,1.5,2,1,51,01:28 PM,01:04 AM,10:17 AM,04:33 PM,1,2,5,2,36,71,77,2.3,994,2,8,263,23
2020-01-04 00:00:00,3,0,2.5,1.5,1,1,59,01:37 PM,02:19 AM,10:17 AM,04:35 PM,-2,-1,2,-1,35,38,70,0.0,994,1,10,257,20
2020-01-04 03:00:00,3,0,2.5,1.5,1,1,59,01:37 PM,02:19 AM,10:17 AM,04:35 PM,-2,-3,2,-3,39,33,72,0.1,992,2,8,243,23
2020-01-04 06:00:00,3,0,2.5,1.5,1,1,59,01:37 PM,02:19 AM,10:17 AM,04:35 PM,-1,-2,3,-2,40,72,78,0.4,990,3,7,242,24
2020-01-04 09:00:00,3,0,2.5,1.5,1,1,59,01:37 PM,02:19 AM,10:17 AM,04:35 PM,-2,-3,2,-3,35,74,73,0.8,989,2,6,250,21
2020-01-04 12:00:00,3,0,2.5,1.5,1,1,59,01:37 PM,02:19 AM,10:17 AM,04:35 PM,-3,-3,2,-3,35,89,69,0.9,988,2,4,269,23
2020-01-04 15:00:00,3,0,2.5,1.5,1,1,59,01:37 PM,02:19 AM,10:17 AM,04:35 PM,-3,-3,2,-3,37,91,69,0.6,989,2,5,281,24
2020-01-04 18:00:00,3,0,2.5,1.5,1,1,59,01:37 PM,02:19 AM,10:17 AM,04:35 PM,-4,-4,2,-4,37,79,67,0.1,991,2,9,294,24
2020-01-04 21:00:00,3,0,2.5,1.5,1,1,59,01:37 PM,02:19 AM,10:17 AM,04:35 PM,-4,-4,1,-4,37,73,66,0.1,995,1,8,309,24
2020-01-05 00:00:00,-1,-9,0.0,5.8,1,1,66,01:46 PM,03:37 AM,10:16 AM,04:36 PM,-5,-6,0,-6,41,61,67,0.0,1000,0,10,323,27
2020-01-05 03:00:00,-1,-9,0.0,5.8,1,1,66,01:46 PM,03:37 AM,10:16 AM,04:36 PM,-6,-6,0,-6,41,84,65,0.0,1005,0,10,328,28
2020-01-05 06:00:00,-1,-9,0.0,5.8,1,1,66,01:46 PM,03:37 AM,10:16 AM,04:36 PM,-6,-7,-0,-7,38,68,67,0.0,1011,-0,10,333,26
2020-01-05 09:00:00,-1,-9,0.0,5.8,1,2,66,01:46 PM,03:37 AM,10:16 AM,04:36 PM,-6,-7,-1,-7,34,71,69,0.0,1015,-1,10,344,24
2020-01-05 12:00:00,-1,-9,0.0,5.8,1,2,66,01:46 PM,03:37 AM,10:16 AM,04:36 PM,-7,-6,-1,-6,27,11,63,0.0,1019,-1,10,344,19
2020-01-05 15:00:00,-1,-9,0.0,5.8,1,2,66,01:46 PM,03:37 AM,10:16 AM,04:36 PM,-9,-5,-1,-5,15,8,57,0.0,1021,-1,10,316,10
2020-01-05 18:00:00,-1,-9,0.0,5.8,1,1,66,01:46 PM,03:37 AM,10:16 AM,04:36 PM,-9,-5,-2,-5,13,38,58,0.0,1022,-3,10,258,9
2020-01-05 21:00:00,-1,-9,0.0,5.8,1,1,66,01:46 PM,03:37 AM,10:16 AM,04:36 PM,-8,-6,-2,-6,23,100,60,0.0,1020,-6,10,202,16
2020-01-06 00:00:00,3,-3,0.0,1.6,1,1,73,01:58 PM,04:55 AM,10:15 AM,04:38 PM,-4,-8,-4,-8,36,100,74,0.5,1017,-6,7,203,25
2020-01-06 03:00:00,3,-3,0.0,1.6,1,1,73,01:58 PM,04:55 AM,10:15 AM,04:38 PM,1,-5,1,-5,39,100,96,1.6,1014,1,3,213,26
2020-01-06 06:00:00,3,-3,0.0,1.6,1,1,73,01:58 PM,04:55 AM,10:15 AM,04:38 PM,2,-2,3,-2,28,96,96,1.7,1013,3,9,230,18
2020-01-06 09:00:00,3,-3,0.0,1.6,1,1,73,01:58 PM,04:55 AM,10:15 AM,04:38 PM,2,-0,3,-0,19,87,96,1.1,1014,3,7,247,11
2020-01-06 12:00:00,3,-3,0.0,1.6,1,1,73,01:58 PM,04:55 AM,10:15 AM,04:38 PM,2,-1,2,-1,21,78,96,0.0,1014,2,2,235,12
