date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,4,-5,0.0,1.5,2,1,26,01:04 PM,10:29 PM,10:25 AM,04:21 PM,1,2,6,2,40,15,79,0.0,992,3,10,271,24
2019-12-31 03:00:00,4,-5,0.0,1.5,2,1,26,01:04 PM,10:29 PM,10:25 AM,04:21 PM,0,-1,4,-1,33,44,80,0.0,991,4,10,278,20
2019-12-31 06:00:00,4,-5,0.0,1.5,2,1,26,01:04 PM,10:29 PM,10:25 AM,04:21 PM,1,-1,3,-1,32,97,84,0.0,991,3,10,283,20
2019-12-31 09:00:00,4,-5,0.0,1.5,2,1,26,01:04 PM,10:29 PM,10:25 AM,04:21 PM,1,-2,3,-2,33,100,83,0.0,993,3,7,309,23
2019-12-31 12:00:00,4,-5,0.0,1.5,2,1,26,01:04 PM,10:29 PM,10:25 AM,04:21 PM,-2,-4,2,-4,38,100,78,0.1,997,2,0,340,27
2019-12-31 15:00:00,4,-5,0.0,1.5,2,2,26,01:04 PM,10:29 PM,10:25 AM,04:21 PM,-3,-6,1,-6,39,79,76,0.1,1002,1,3,340,27
2019-12-31 18:00:00,4,-5,0.0,1.5,2,2,26,01:04 PM,10:29 PM,10:25 AM,04:21 PM,-5,-7,-1,-7,35,26,74,0.0,1007,-1,10,336,24
2019-12-31 21:00:00,4,-5,0.0,1.5,2,1,26,01:04 PM,10:29 PM,10:25 AM,04:21 PM,-5,-6,-2,-6,25,5,74,0.0,1010,-3,10,319,17
2020-01-01 00:00:00,3,-4,0.0,3.6,2,1,37,01:13 PM,11:47 PM,10:24 AM,04:23 PM,-4,-5,-1,-5,29,12,74,0.0,1012,-3,10,299,18
2020-01-01 03:00:00,3,-4,0.0,3.6,2,1,37,01:13 PM,11:47 PM,10:24 AM,04:23 PM,-3,-4,1,-4,33,20,76,0.0,1012,1,10,288,22
2020-01-01 06:00:00,3,-4,0.0,3.6,2,1,37,01:13 PM,11:47 PM,10:24 AM,04:23 PM,-3,-3,1,-3,29,57,77,0.0,1010,1,10,271,18
2020-01-01 09:00:00,3,-4,0.0,3.6,2,1,37,01:13 PM,11:47 PM,10:24 AM,04:23 PM,-2,-3,2,-3,30,90,76,0.0,1009,2,10,269,19
2020-01-01 12:00:00,3,-4,0.0,3.6,2,1,37,01:13 PM,11:47 PM,10:24 AM,04:23 PM,0,-2,3,-2,30,68,82,0.0,1008,3,10,266,19
2020-01-01 15:00:00,3,-4,0.0,3.6,2,2,37,01:13 PM,11:47 PM,10:24 AM,04:23 PM,1,-2,3,-2,35,55,84,0.0,1008,3,10,257,21
2020-01-01 18:00:00,3,-4,0.0,3.6,2,2,37,01:13 PM,11:47 PM,10:24 AM,04:23 PM,-1,-2,3,-2,37,24,79,0.0,1007,2,10,266,22
2020-01-01 21:00:00,3,-4,0.0,3.6,2,1,37,01:13 PM,11:47 PM,10:24 AM,04:23 PM,0,-2,2,-2,37,23,82,0.0,1007,-2,10,260,22
2020-01-02 00:00:00,4,-3,0.0,5.8,2,1,44,01:20 PM,No moonset,10:24 AM,04:24 PM,0,-4,1,-4,37,41,85,0.0,1006,-2,10,258,22
2020-01-02 03:00:00,4,-3,0.0,5.8,2,1,44,01:20 PM,No moonset,10:24 AM,04:24 PM,0,-2,3,-2,32,17,84,0.0,1005,3,10,265,19
2020-01-02 06:00:00,4,-3,0.0,5.8,2,1,44,01:20 PM,No moonset,10:24 AM,04:24 PM,0,-2,3,-2,33,25,84,0.0,1004,3,10,268,20
