date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,20,12,0.0,4.3,4,1,26,10:20 AM,10:29 PM,06:04 AM,05:47 PM,11,12,12,12,4,75,94,1.3,1013,12,10,77,2
2019-12-31 03:00:00,20,12,0.0,4.3,4,1,26,10:20 AM,10:29 PM,06:04 AM,05:47 PM,11,12,12,12,4,79,95,2.0,1012,12,10,95,2
2019-12-31 06:00:00,20,12,0.0,4.3,4,3,26,10:20 AM,10:29 PM,06:04 AM,05:47 PM,11,12,12,12,5,75,93,3.3,1013,12,8,147,3
2019-12-31 09:00:00,20,12,0.0,4.3,4,3,26,10:20 AM,10:29 PM,06:04 AM,05:47 PM,12,14,14,14,11,80,87,1.8,1014,14,8,240,5
2019-12-31 12:00:00,20,12,0.0,4.3,4,4,26,10:20 AM,10:29 PM,06:04 AM,05:47 PM,16,18,18,18,12,82,88,1.9,1012,18,10,289,7
2019-12-31 15:00:00,20,12,0.0,4.3,4,4,26,10:20 AM,10:29 PM,06:04 AM,05:47 PM,18,20,20,20,9,80,92,2.0,1010,20,10,295,6
2019-12-31 18:00:00,20,12,0.0,4.3,4,4,26,10:20 AM,10:29 PM,06:04 AM,05:47 PM,14,19,21,19,5,71,96,3.0,1010,19,8,107,3
2019-12-31 21:00:00,20,12,0.0,4.3,4,1,26,10:20 AM,10:29 PM,06:04 AM,05:47 PM,14,16,17,16,3,75,96,1.7,1013,16,8,97,1
2020-01-01 00:00:00,23,11,0.0,4.3,4,1,37,11:00 AM,11:13 PM,06:04 AM,05:48 PM,12,15,16,15,5,64,94,0.2,1014,15,10,112,2
2020-01-01 03:00:00,23,11,0.0,4.3,4,1,37,11:00 AM,11:13 PM,06:04 AM,05:48 PM,12,14,14,14,5,56,92,0.2,1013,14,10,115,2
2020-01-01 06:00:00,23,11,0.0,4.3,4,3,37,11:00 AM,11:13 PM,06:04 AM,05:48 PM,10,12,12,12,5,77,90,0.1,1014,12,10,122,3
