date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,8,4,0.0,8.6,3,1,26,01:03 PM,11:33 PM,09:44 AM,06:03 PM,-4,4,5,4,10,18,53,0.0,1032,5,10,200,5
2019-12-31 03:00:00,8,4,0.0,8.6,3,1,26,01:03 PM,11:33 PM,09:44 AM,06:03 PM,-2,7,7,7,5,6,55,0.0,1032,7,10,200,4
2019-12-31 06:00:00,8,4,0.0,8.6,3,1,26,01:03 PM,11:33 PM,09:44 AM,06:03 PM,-2,5,6,5,10,3,59,0.0,1032,6,10,193,6
2019-12-31 09:00:00,8,4,0.0,8.6,3,2,26,01:03 PM,11:33 PM,09:44 AM,06:03 PM,-2,4,5,4,8,4,61,0.0,1032,5,10,169,5
2019-12-31 12:00:00,8,4,0.0,8.6,3,3,26,01:03 PM,11:33 PM,09:44 AM,06:03 PM,-2,6,7,6,7,5,55,0.0,1033,7,10,139,5
2019-12-31 15:00:00,8,4,0.0,8.6,3,3,26,01:03 PM,11:33 PM,09:44 AM,06:03 PM,-1,7,8,7,6,6,56,0.0,1031,8,10,141,5
2019-12-31 18:00:00,8,4,0.0,8.6,3,3,26,01:03 PM,11:33 PM,09:44 AM,06:03 PM,1,6,7,6,8,5,65,0.0,1032,7,10,123,6
2019-12-31 21:00:00,8,4,0.0,8.6,3,1,26,01:03 PM,11:33 PM,09:44 AM,06:03 PM,2,4,6,4,9,2,70,0.0,1032,5,10,117,7
2020-01-01 00:00:00,6,2,0.0,6.9,2,1,37,01:24 PM,No moonset,09:44 AM,06:04 PM,3,6,7,6,7,0,75,0.0,1032,6,10,139,6
2020-01-01 03:00:00,6,2,0.0,6.9,2,1,37,01:24 PM,No moonset,09:44 AM,06:04 PM,2,3,5,3,8,3,82,0.0,1032,5,10,163,6
2020-01-01 06:00:00,6,2,0.0,6.9,2,1,37,01:24 PM,No moonset,09:44 AM,06:04 PM,0,1,3,1,10,9,84,0.0,1031,3,10,141,7
2020-01-01 09:00:00,6,2,0.0,6.9,2,2,37,01:24 PM,No moonset,09:44 AM,06:04 PM,0,0,2,0,13,30,85,0.0,1031,2,10,164,8
2020-01-01 12:00:00,6,2,0.0,6.9,2,2,37,01:24 PM,No moonset,09:44 AM,06:04 PM,3,3,5,3,10,46,87,0.0,1031,5,10,181,8
2020-01-01 15:00:00,6,2,0.0,6.9,2,3,37,01:24 PM,No moonset,09:44 AM,06:04 PM,4,4,6,4,12,54,88,0.0,1030,6,10,148,8
2020-01-01 18:00:00,6,2,0.0,6.9,2,3,37,01:24 PM,No moonset,09:44 AM,06:04 PM,4,4,6,4,13,85,90,0.0,1030,6,10,138,8
2020-01-01 21:00:00,6,2,0.0,6.9,2,1,37,01:24 PM,No moonset,09:44 AM,06:04 PM,5,3,5,3,12,100,94,0.0,1029,3,5,140,7
2020-01-02 00:00:00,9,6,0.0,3.2,2,1,44,01:43 PM,12:37 AM,09:44 AM,06:05 PM,6,4,6,4,10,100,97,0.1,1029,5,1,141,6
2020-01-02 03:00:00,9,6,0.0,3.2,2,1,44,01:43 PM,12:37 AM,09:44 AM,06:05 PM,6,5,6,5,10,100,98,0.1,1028,6,0,143,6
2020-01-02 06:00:00,9,6,0.0,3.2,2,1,44,01:43 PM,12:37 AM,09:44 AM,06:05 PM,6,5,6,5,11,100,98,0.8,1027,6,6,164,7
2020-01-02 09:00:00,9,6,0.0,3.2,2,2,44,01:43 PM,12:37 AM,09:44 AM,06:05 PM,6,5,7,5,13,95,97,0.4,1027,7,4,199,8
2020-01-02 12:00:00,9,6,0.0,3.2,2,2,44,01:43 PM,12:37 AM,09:44 AM,06:05 PM,7,6,8,6,15,89,94,0.2,1026,8,2,206,10
2020-01-02 15:00:00,9,6,0.0,3.2,2,2,44,01:43 PM,12:37 AM,09:44 AM,06:05 PM,7,7,9,7,15,81,85,0.1,1025,9,7,201,10
2020-01-02 18:00:00,9,6,0.0,3.2,2,2,44,01:43 PM,12:37 AM,09:44 AM,06:05 PM,7,7,9,7,19,93,86,0.0,1025,9,10,203,12
