date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,3,-1,0.9,5.2,1,1,26,12:18 PM,11:16 PM,08:43 AM,05:45 PM,2,2,4,2,17,87,88,1.5,1005,4,9,170,11
2019-12-31 03:00:00,3,-1,0.9,5.2,1,1,26,12:18 PM,11:16 PM,08:43 AM,05:45 PM,0,-0,3,-0,23,96,79,1.1,1004,3,9,226,15
2019-12-31 06:00:00,3,-1,0.9,5.2,1,1,26,12:18 PM,11:16 PM,08:43 AM,05:45 PM,-2,-2,2,-2,22,69,74,0.1,1003,2,10,209,13
2019-12-31 09:00:00,3,-1,0.9,5.2,1,2,26,12:18 PM,11:16 PM,08:43 AM,05:45 PM,-2,-2,2,-2,22,42,74,0.0,1002,2,10,207,14
2019-12-31 12:00:00,3,-1,0.9,5.2,1,1,26,12:18 PM,11:16 PM,08:43 AM,05:45 PM,-2,-2,3,-2,26,72,74,0.0,1001,3,10,218,19
2019-12-31 15:00:00,3,-1,0.9,5.2,1,1,26,12:18 PM,11:16 PM,08:43 AM,05:45 PM,-1,-4,2,-4,30,93,83,0.4,1000,2,7,231,23
2019-12-31 18:00:00,3,-1,0.9,5.2,1,1,26,12:18 PM,11:16 PM,08:43 AM,05:45 PM,-3,-6,0,-6,39,86,77,1.0,1000,0,1,251,28
2019-12-31 21:00:00,3,-1,0.9,5.2,1,1,26,12:18 PM,11:16 PM,08:43 AM,05:45 PM,-5,-7,-1,-7,37,77,72,0.7,1002,-1,5,254,27
2020-01-01 00:00:00,1,-9,0.0,5.2,1,1,37,12:42 PM,No moonset,08:43 AM,05:46 PM,-6,-8,-1,-8,42,44,71,0.0,1003,-1,10,259,31
2020-01-01 03:00:00,1,-9,0.0,5.2,1,1,37,12:42 PM,No moonset,08:43 AM,05:46 PM,-6,-9,-2,-9,39,74,72,0.0,1003,-2,10,259,29
2020-01-01 06:00:00,1,-9,0.0,5.2,1,1,37,12:42 PM,No moonset,08:43 AM,05:46 PM,-6,-9,-2,-9,36,83,75,0.0,1004,-2,10,259,28
2020-01-01 09:00:00,1,-9,0.0,5.2,1,1,37,12:42 PM,No moonset,08:43 AM,05:46 PM,-6,-8,-1,-8,36,74,74,0.0,1005,-1,10,260,28
2020-01-01 12:00:00,1,-9,0.0,5.2,1,2,37,12:42 PM,No moonset,08:43 AM,05:46 PM,-6,-7,-0,-7,35,71,64,0.0,1006,-0,10,264,28
2020-01-01 15:00:00,1,-9,0.0,5.2,1,2,37,12:42 PM,No moonset,08:43 AM,05:46 PM,-6,-6,-0,-6,35,44,64,0.0,1007,-0,10,263,27
2020-01-01 18:00:00,1,-9,0.0,5.2,1,1,37,12:42 PM,No moonset,08:43 AM,05:46 PM,-6,-7,-2,-7,32,66,72,0.0,1008,-3,10,262,23
2020-01-01 21:00:00,1,-9,0.0,5.2,1,1,37,12:42 PM,No moonset,08:43 AM,05:46 PM,-4,-7,-3,-7,25,73,78,0.0,1009,-7,10,248,17
2020-01-02 00:00:00,7,1,0.0,8.7,1,1,44,01:05 PM,12:15 AM,08:43 AM,05:47 PM,-3,-8,-3,-8,24,54,80,0.0,1010,-6,10,225,15
2020-01-02 03:00:00,7,1,0.0,8.7,1,1,44,01:05 PM,12:15 AM,08:43 AM,05:47 PM,-3,-3,1,-3,29,82,76,0.0,1009,1,10,223,18
2020-01-02 06:00:00,7,1,0.0,8.7,1,1,44,01:05 PM,12:15 AM,08:43 AM,05:47 PM,-2,-2,2,-2,32,73,75,0.0,1009,2,10,217,19
2020-01-02 09:00:00,7,1,0.0,8.7,1,2,44,01:05 PM,12:15 AM,08:43 AM,05:47 PM,-2,-1,3,-1,32,18,68,0.0,1009,3,10,223,20
2020-01-02 12:00:00,7,1,0.0,8.7,1,3,44,01:05 PM,12:15 AM,08:43 AM,05:47 PM,-2,1,5,1,33,20,59,0.0,1008,5,10,226,22
2020-01-02 15:00:00,7,1,0.0,8.7,1,3,44,01:05 PM,12:15 AM,08:43 AM,05:47 PM,-1,3,7,3,33,30,59,0.0,1007,7,10,227,22
2020-01-02 18:00:00,7,1,0.0,8.7,1,3,44,01:05 PM,12:15 AM,08:43 AM,05:47 PM,0,2,5,2,26,29,70,0.0,1006,5,10,226,14
2020-01-02 21:00:00,7,1,0.0,8.7,1,1,44,01:05 PM,12:15 AM,08:43 AM,05:47 PM,1,1,4,1,31,31,78,0.0,1007,3,10,222,17
2020-01-03 00:00:00,7,5,0.0,3.4,2,1,51,01:28 PM,01:15 AM,08:43 AM,05:48 PM,3,1,5,1,38,41,79,0.0,1007,3,10,231,22
2020-01-03 03:00:00,7,5,0.0,3.4,2,1,51,01:28 PM,01:15 AM,08:43 AM,05:48 PM,3,2,6,2,32,71,84,0.0,1007,6,10,234,18
2020-01-03 06:00:00,7,5,0.0,3.4,2,1,51,01:28 PM,01:15 AM,08:43 AM,05:48 PM,3,2,5,2,26,80,90,0.0,1007,5,10,223,14
2020-01-03 09:00:00,7,5,0.0,3.4,2,2,51,01:28 PM,01:15 AM,08:43 AM,05:48 PM,4,3,5,3,22,98,92,0.0,1007,5,10,223,13
2020-01-03 12:00:00,7,5,0.0,3.4,2,2,51,01:28 PM,01:15 AM,08:43 AM,05:48 PM,5,4,7,4,19,100,89,0.0,1008,7,10,251,13
2020-01-03 15:00:00,7,5,0.0,3.4,2,2,51,01:28 PM,01:15 AM,08:43 AM,05:48 PM,5,5,7,5,14,100,86,0.0,1008,7,10,277,10
2020-01-03 18:00:00,7,5,0.0,3.4,2,2,51,01:28 PM,01:15 AM,08:43 AM,05:48 PM,4,5,6,5,12,98,88,0.0,1009,6,10,295,8
2020-01-03 21:00:00,7,5,0.0,3.4,2,1,51,01:28 PM,01:15 AM,08:43 AM,05:48 PM,4,3,5,3,11,93,89,0.0,1010,5,10,315,8
2020-01-04 00:00:00,1,-5,8.2,3.4,1,1,59,01:51 PM,02:15 AM,08:43 AM,05:49 PM,2,3,4,3,10,93,87,0.0,1010,4,10,228,8
2020-01-04 03:00:00,1,-5,8.2,3.4,1,1,59,01:51 PM,02:15 AM,08:43 AM,05:49 PM,1,0,3,0,15,100,84,0.1,1009,3,7,32,11
2020-01-04 06:00:00,1,-5,8.2,3.4,1,1,59,01:51 PM,02:15 AM,08:43 AM,05:49 PM,0,-1,2,-1,17,100,89,1.0,1007,2,4,28,13
2020-01-04 09:00:00,1,-5,8.2,3.4,1,1,59,01:51 PM,02:15 AM,08:43 AM,05:49 PM,0,-3,1,-3,17,100,98,2.8,1007,1,7,125,13
2020-01-04 12:00:00,1,-5,8.2,3.4,1,1,59,01:51 PM,02:15 AM,08:43 AM,05:49 PM,0,-3,0,-3,16,100,98,3.7,1007,0,2,338,11
2020-01-04 15:00:00,1,-5,8.2,3.4,1,1,59,01:51 PM,02:15 AM,08:43 AM,05:49 PM,-0,-3,1,-3,16,100,96,2.6,1007,1,2,299,12
2020-01-04 18:00:00,1,-5,8.2,3.4,1,1,59,01:51 PM,02:15 AM,08:43 AM,05:49 PM,-1,-3,0,-3,24,100,88,0.3,1007,-0,3,299,17
2020-01-04 21:00:00,1,-5,8.2,3.4,1,1,59,01:51 PM,02:15 AM,08:43 AM,05:49 PM,-3,-3,-0,-3,32,87,78,0.3,1008,-3,5,309,22
2020-01-05 00:00:00,-0,-2,0.9,3.4,1,1,66,02:16 PM,03:17 AM,08:43 AM,05:50 PM,-4,-6,-2,-6,38,74,77,0.3,1009,-4,7,311,26
2020-01-05 03:00:00,-0,-2,0.9,3.4,1,1,66,02:16 PM,03:17 AM,08:43 AM,05:50 PM,-5,-8,-2,-8,39,100,77,0.1,1010,-2,7,304,28
2020-01-05 06:00:00,-0,-2,0.9,3.4,1,1,66,02:16 PM,03:17 AM,08:43 AM,05:50 PM,-6,-9,-2,-9,42,100,76,0.3,1012,-2,0,304,30
2020-01-05 09:00:00,-0,-2,0.9,3.4,1,1,66,02:16 PM,03:17 AM,08:43 AM,05:50 PM,-6,-9,-2,-9,39,100,77,0.2,1015,-2,2,305,28
2020-01-05 12:00:00,-0,-2,0.9,3.4,1,1,66,02:16 PM,03:17 AM,08:43 AM,05:50 PM,-6,-8,-1,-8,32,100,73,0.1,1016,-1,6,300,24
