date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,30,18,0.0,8.6,6,1,26,11:27 AM,11:18 PM,07:21 AM,06:23 PM,17,19,19,19,5,74,91,0.4,1015,19,9,139,3
2019-12-31 03:00:00,30,18,0.0,8.6,6,1,26,11:27 AM,11:18 PM,07:21 AM,06:23 PM,17,18,18,18,6,37,91,0.1,1014,18,10,113,3
2019-12-31 06:00:00,30,18,0.0,8.6,6,1,26,11:27 AM,11:18 PM,07:21 AM,06:23 PM,20,22,23,22,6,19,89,0.0,1015,22,10,95,4
2019-12-31 09:00:00,30,18,0.0,8.6,6,7,26,11:27 AM,11:18 PM,07:21 AM,06:23 PM,22,29,29,26,6,15,77,0.0,1016,26,10,74,6
2019-12-31 12:00:00,30,18,0.0,8.6,6,7,26,11:27 AM,11:18 PM,07:21 AM,06:23 PM,22,32,32,29,7,60,67,0.2,1015,29,9,228,6
2019-12-31 15:00:00,30,18,0.0,8.6,6,6,26,11:27 AM,11:18 PM,07:21 AM,06:23 PM,23,32,32,28,11,86,73,1.4,1013,28,9,285,8
2019-12-31 18:00:00,30,18,0.0,8.6,6,6,26,11:27 AM,11:18 PM,07:21 AM,06:23 PM,19,29,29,26,6,88,84,3.0,1014,26,8,215,4
2019-12-31 21:00:00,30,18,0.0,8.6,6,1,26,11:27 AM,11:18 PM,07:21 AM,06:23 PM,16,26,26,24,7,83,87,2.0,1015,24,8,146,3
2020-01-01 00:00:00,30,16,0.0,10.1,6,1,37,12:03 PM,No moonset,07:22 AM,06:24 PM,15,19,20,19,6,78,87,0.5,1015,19,9,99,3
2020-01-01 03:00:00,30,16,0.0,10.1,6,1,37,12:03 PM,No moonset,07:22 AM,06:24 PM,15,17,17,17,7,34,88,0.2,1014,17,10,93,4
2020-01-01 06:00:00,30,16,0.0,10.1,6,1,37,12:03 PM,No moonset,07:22 AM,06:24 PM,19,21,22,21,6,15,87,0.0,1015,21,10,94,5
2020-01-01 09:00:00,30,16,0.0,10.1,6,7,37,12:03 PM,No moonset,07:22 AM,06:24 PM,21,29,29,26,7,15,75,0.0,1016,26,10,59,6
2020-01-01 12:00:00,30,16,0.0,10.1,6,7,37,12:03 PM,No moonset,07:22 AM,06:24 PM,22,33,33,29,6,12,64,0.0,1015,29,10,238,5
2020-01-01 15:00:00,30,16,0.0,10.1,6,7,37,12:03 PM,No moonset,07:22 AM,06:24 PM,23,33,33,29,7,58,69,0.7,1013,29,9,301,6
2020-01-01 18:00:00,30,16,0.0,10.1,6,6,37,12:03 PM,No moonset,07:22 AM,06:24 PM,18,29,29,26,4,83,80,1.3,1014,26,9,298,3
2020-01-01 21:00:00,30,16,0.0,10.1,6,1,37,12:03 PM,No moonset,07:22 AM,06:24 PM,15,26,26,23,6,79,84,0.7,1016,23,10,158,3
2020-01-02 00:00:00,30,18,0.0,10.1,6,1,44,12:37 PM,12:06 AM,07:22 AM,06:24 PM,16,20,21,20,9,30,86,0.1,1016,20,10,84,4
2020-01-02 03:00:00,30,18,0.0,10.1,6,1,44,12:37 PM,12:06 AM,07:22 AM,06:24 PM,16,18,18,18,12,4,88,0.0,1015,18,10,95,5
2020-01-02 06:00:00,30,18,0.0,10.1,6,1,44,12:37 PM,12:06 AM,07:22 AM,06:24 PM,19,22,23,22,8,3,86,0.0,1015,22,10,93,5
2020-01-02 09:00:00,30,18,0.0,10.1,6,7,44,12:37 PM,12:06 AM,07:22 AM,06:24 PM,22,30,30,27,7,2,73,0.0,1017,27,10,55,6
2020-01-02 12:00:00,30,18,0.0,10.1,6,7,44,12:37 PM,12:06 AM,07:22 AM,06:24 PM,22,33,33,30,7,4,63,0.0,1017,30,10,247,6
2020-01-02 15:00:00,30,18,0.0,10.1,6,7,44,12:37 PM,12:06 AM,07:22 AM,06:24 PM,22,32,32,29,5,56,64,0.1,1015,29,9,325,5
2020-01-02 18:00:00,30,18,0.0,10.1,6,6,44,12:37 PM,12:06 AM,07:22 AM,06:24 PM,17,30,30,27,3,83,75,0.2,1016,27,9,173,2
2020-01-02 21:00:00,30,18,0.0,10.1,6,1,44,12:37 PM,12:06 AM,07:22 AM,06:24 PM,14,28,28,25,5,46,81,0.1,1017,25,10,103,3
2020-01-03 00:00:00,30,15,0.0,10.1,7,1,51,01:12 PM,12:53 AM,07:22 AM,06:25 PM,14,19,20,19,7,23,84,0.0,1017,19,10,92,3
2020-01-03 03:00:00,30,15,0.0,10.1,7,1,51,01:12 PM,12:53 AM,07:22 AM,06:25 PM,14,16,16,16,9,24,89,0.0,1017,16,10,88,4
2020-01-03 06:00:00,30,15,0.0,10.1,7,1,51,01:12 PM,12:53 AM,07:22 AM,06:25 PM,18,20,22,20,9,16,90,0.0,1018,20,10,88,6
2020-01-03 09:00:00,30,15,0.0,10.1,7,7,51,01:12 PM,12:53 AM,07:22 AM,06:25 PM,21,29,29,26,8,5,76,0.0,1019,26,10,65,7
2020-01-03 12:00:00,30,15,0.0,10.1,7,7,51,01:12 PM,12:53 AM,07:22 AM,06:25 PM,22,33,33,29,8,3,64,0.0,1018,29,10,258,6
2020-01-03 15:00:00,30,15,0.0,10.1,7,7,51,01:12 PM,12:53 AM,07:22 AM,06:25 PM,22,33,33,30,6,53,65,0.1,1017,30,10,334,5
2020-01-03 18:00:00,30,15,0.0,10.1,7,6,51,01:12 PM,12:53 AM,07:22 AM,06:25 PM,19,31,31,27,4,73,77,0.1,1018,27,10,192,3
2020-01-03 21:00:00,30,15,0.0,10.1,7,1,51,01:12 PM,12:53 AM,07:22 AM,06:25 PM,17,27,27,23,6,24,82,0.0,1019,23,10,118,3
2020-01-04 00:00:00,30,17,0.0,11.0,7,1,59,01:47 PM,01:41 AM,07:23 AM,06:26 PM,16,21,22,21,9,0,78,0.0,1019,21,10,110,4
2020-01-04 03:00:00,30,17,0.0,11.0,7,1,59,01:47 PM,01:41 AM,07:23 AM,06:26 PM,14,18,18,18,9,2,76,0.0,1018,18,10,99,4
2020-01-04 06:00:00,30,17,0.0,11.0,7,1,59,01:47 PM,01:41 AM,07:23 AM,06:26 PM,17,21,22,21,6,6,78,0.0,1019,21,10,90,4
2020-01-04 09:00:00,30,17,0.0,11.0,7,7,59,01:47 PM,01:41 AM,07:23 AM,06:26 PM,20,29,29,27,5,7,69,0.0,1020,27,10,59,4
2020-01-04 12:00:00,30,17,0.0,11.0,7,7,59,01:47 PM,01:41 AM,07:23 AM,06:26 PM,21,32,32,29,7,7,62,0.0,1019,29,10,217,6
2020-01-04 15:00:00,30,17,0.0,11.0,7,7,59,01:47 PM,01:41 AM,07:23 AM,06:26 PM,22,32,32,29,9,9,65,0.0,1017,29,10,293,8
2020-01-04 18:00:00,30,17,0.0,11.0,7,7,59,01:47 PM,01:41 AM,07:23 AM,06:26 PM,17,30,30,27,8,23,77,0.0,1018,27,10,274,5
2020-01-04 21:00:00,30,17,0.0,11.0,7,1,59,01:47 PM,01:41 AM,07:23 AM,06:26 PM,15,29,29,25,5,27,85,0.0,1019,25,10,281,2
2020-01-05 00:00:00,31,16,0.0,11.0,7,1,66,02:23 PM,02:30 AM,07:23 AM,06:26 PM,15,19,20,19,1,63,89,0.1,1018,19,10,230,1
2020-01-05 03:00:00,31,16,0.0,11.0,7,1,66,02:23 PM,02:30 AM,07:23 AM,06:26 PM,15,16,16,16,3,58,92,0.0,1018,16,10,76,1
2020-01-05 06:00:00,31,16,0.0,11.0,7,1,66,02:23 PM,02:30 AM,07:23 AM,06:26 PM,19,21,22,21,4,21,90,0.0,1019,21,10,40,3
2020-01-05 09:00:00,31,16,0.0,11.0,7,7,66,02:23 PM,02:30 AM,07:23 AM,06:26 PM,22,30,30,27,7,3,75,0.0,1019,27,10,41,6
2020-01-05 12:00:00,31,16,0.0,11.0,7,8,66,02:23 PM,02:30 AM,07:23 AM,06:26 PM,21,33,33,30,8,0,57,0.0,1018,30,10,14,7
2020-01-05 15:00:00,31,16,0.0,11.0,7,7,66,02:23 PM,02:30 AM,07:23 AM,06:26 PM,21,33,33,30,9,0,59,0.0,1015,30,10,198,8
2020-01-05 18:00:00,31,16,0.0,11.0,7,7,66,02:23 PM,02:30 AM,07:23 AM,06:26 PM,17,32,32,28,10,10,80,0.0,1016,28,10,270,6
2020-01-05 21:00:00,31,16,0.0,11.0,7,1,66,02:23 PM,02:30 AM,07:23 AM,06:26 PM,15,28,28,25,7,61,90,0.1,1017,25,10,127,3
2020-01-06 00:00:00,30,15,0.0,11.0,6,1,73,03:04 PM,03:21 AM,07:23 AM,06:27 PM,14,18,19,18,10,84,92,0.1,1017,18,10,75,5
2020-01-06 03:00:00,30,15,0.0,11.0,6,1,73,03:04 PM,03:21 AM,07:23 AM,06:27 PM,14,15,15,15,13,30,92,0.0,1016,15,10,77,6
2020-01-06 06:00:00,30,15,0.0,11.0,6,1,73,03:04 PM,03:21 AM,07:23 AM,06:27 PM,17,20,21,20,10,1,86,0.0,1016,20,10,76,6
2020-01-06 09:00:00,30,15,0.0,11.0,6,7,73,03:04 PM,03:21 AM,07:23 AM,06:27 PM,19,27,27,26,8,0,67,0.0,1017,26,10,54,7
2020-01-06 12:00:00,30,15,0.0,11.0,6,7,73,03:04 PM,03:21 AM,07:23 AM,06:27 PM,18,30,30,29,8,0,50,0.0,1016,29,10,34,7
2020-01-06 15:00:00,30,15,0.0,11.0,6,7,73,03:04 PM,03:21 AM,07:23 AM,06:27 PM,18,31,31,30,5,2,48,0.0,1014,30,10,231,4
2020-01-06 18:00:00,30,15,0.0,11.0,6,7,73,03:04 PM,03:21 AM,07:23 AM,06:27 PM,14,31,31,28,4,5,62,0.0,1015,28,10,265,3
2020-01-06 21:00:00,30,15,0.0,11.0,6,1,73,03:04 PM,03:21 AM,07:23 AM,06:27 PM,12,27,27,25,6,4,71,0.0,1016,25,10,158,3
2020-01-07 00:00:00,30,17,0.0,11.0,7,1,80,03:48 PM,04:15 AM,07:24 AM,06:27 PM,14,20,21,20,6,1,76,0.0,1016,20,10,115,3
2020-01-07 03:00:00,30,17,0.0,11.0,7,1,80,03:48 PM,04:15 AM,07:24 AM,06:27 PM,14,17,17,17,8,0,80,0.0,1016,17,10,95,4
2020-01-07 06:00:00,30,17,0.0,11.0,7,1,80,03:48 PM,04:15 AM,07:24 AM,06:27 PM,17,21,22,21,8,0,80,0.0,1016,21,10,93,5
2020-01-07 09:00:00,30,17,0.0,11.0,7,7,80,03:48 PM,04:15 AM,07:24 AM,06:27 PM,19,28,28,26,8,0,65,0.0,1017,26,10,73,6
