date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,7,4,0.0,1.1,2,1,26,01:30 PM,10:32 PM,11:21 AM,03:41 PM,1,-1,4,-1,31,100,85,0.1,1012,4,10,178,21
2019-12-31 03:00:00,7,4,0.0,1.1,2,1,26,01:30 PM,10:32 PM,11:21 AM,03:41 PM,3,-2,4,-2,39,100,96,3.9,1008,4,7,162,27
2019-12-31 06:00:00,7,4,0.0,1.1,2,1,26,01:30 PM,10:32 PM,11:21 AM,03:41 PM,5,1,5,1,43,100,96,2.4,1001,5,9,166,26
2019-12-31 09:00:00,7,4,0.0,1.1,2,2,26,01:30 PM,10:32 PM,11:21 AM,03:41 PM,5,1,6,1,44,100,97,6.4,996,6,7,174,26
2019-12-31 12:00:00,7,4,0.0,1.1,2,2,26,01:30 PM,10:32 PM,11:21 AM,03:41 PM,6,2,7,2,48,100,97,2.0,992,7,9,186,28
2019-12-31 15:00:00,7,4,0.0,1.1,2,2,26,01:30 PM,10:32 PM,11:21 AM,03:41 PM,5,2,5,2,24,100,98,1.6,990,5,9,231,15
2019-12-31 18:00:00,7,4,0.0,1.1,2,2,26,01:30 PM,10:32 PM,11:21 AM,03:41 PM,5,1,5,1,34,100,97,0.9,989,5,9,224,23
2019-12-31 21:00:00,7,4,0.0,1.1,2,1,26,01:30 PM,10:32 PM,11:21 AM,03:41 PM,3,1,5,1,37,100,90,0.5,989,5,10,207,23
2020-01-01 00:00:00,3,-1,0.9,1.1,1,1,37,01:32 PM,11:56 PM,11:20 AM,03:43 PM,3,1,5,1,35,100,90,0.6,984,5,10,183,23
2020-01-01 03:00:00,3,-1,0.9,1.1,1,1,37,01:32 PM,11:56 PM,11:20 AM,03:43 PM,1,-1,4,-1,42,100,80,1.1,983,4,9,231,30
2020-01-01 06:00:00,3,-1,0.9,1.1,1,1,37,01:32 PM,11:56 PM,11:20 AM,03:43 PM,1,-3,3,-3,48,100,81,1.0,984,3,2,227,35
2020-01-01 09:00:00,3,-1,0.9,1.1,1,1,37,01:32 PM,11:56 PM,11:20 AM,03:43 PM,-0,-3,3,-3,48,100,79,0.6,984,3,0,214,37
2020-01-01 12:00:00,3,-1,0.9,1.1,1,1,37,01:32 PM,11:56 PM,11:20 AM,03:43 PM,1,-3,3,-3,51,100,84,0.3,981,3,0,198,39
2020-01-01 15:00:00,3,-1,0.9,1.1,1,1,37,01:32 PM,11:56 PM,11:20 AM,03:43 PM,1,-5,2,-5,51,100,95,2.7,977,2,0,217,39
2020-01-01 18:00:00,3,-1,0.9,1.1,1,1,37,01:32 PM,11:56 PM,11:20 AM,03:43 PM,-3,-6,1,-6,51,78,71,1.7,974,1,0,230,40
2020-01-01 21:00:00,3,-1,0.9,1.1,1,1,37,01:32 PM,11:56 PM,11:20 AM,03:43 PM,-4,-9,-1,-9,49,100,79,0.4,973,-1,0,224,41
2020-01-02 00:00:00,0,-6,1.1,3.4,1,1,44,01:33 PM,No moonset,11:19 AM,03:45 PM,-4,-8,-1,-8,42,86,81,0.4,970,-1,0,239,34
2020-01-02 03:00:00,0,-6,1.1,3.4,1,1,44,01:33 PM,No moonset,11:19 AM,03:45 PM,-6,-10,-2,-10,53,78,71,0.8,968,-2,0,246,41
2020-01-02 06:00:00,0,-6,1.1,3.4,1,1,44,01:33 PM,No moonset,11:19 AM,03:45 PM,-3,-7,0,-7,55,55,77,0.5,967,0,0,250,45
2020-01-02 09:00:00,0,-6,1.1,3.4,1,1,44,01:33 PM,No moonset,11:19 AM,03:45 PM,-5,-7,-1,-7,33,71,72,1.0,972,-1,7,322,25
2020-01-02 12:00:00,0,-6,1.1,3.4,1,1,44,01:33 PM,No moonset,11:19 AM,03:45 PM,-8,-12,-5,-12,34,79,74,0.0,978,-5,10,345,29
2020-01-02 15:00:00,0,-6,1.1,3.4,1,1,44,01:33 PM,No moonset,11:19 AM,03:45 PM,-10,-12,-6,-12,24,8,69,0.0,983,-6,9,2,19
2020-01-02 18:00:00,0,-6,1.1,3.4,1,1,44,01:33 PM,No moonset,11:19 AM,03:45 PM,-11,-8,-6,-8,5,100,70,0.0,987,-6,10,230,4
2020-01-02 21:00:00,0,-6,1.1,3.4,1,1,44,01:33 PM,No moonset,11:19 AM,03:45 PM,-8,-11,-6,-11,17,98,86,0.3,988,-6,2,160,12
2020-01-03 00:00:00,-4,-10,0.6,3.4,1,1,51,01:34 PM,01:20 AM,11:18 AM,03:47 PM,-8,-11,-2,-11,55,100,66,0.3,989,-2,0,265,48
2020-01-03 03:00:00,-4,-10,0.6,3.4,1,1,51,01:34 PM,01:20 AM,11:18 AM,03:47 PM,-6,-12,-4,-12,42,100,86,2.2,995,-4,0,302,36
2020-01-03 06:00:00,-4,-10,0.6,3.4,1,1,51,01:34 PM,01:20 AM,11:18 AM,03:47 PM,-7,-12,-4,-12,39,100,78,2.2,999,-4,0,309,33
2020-01-03 09:00:00,-4,-10,0.6,3.4,1,1,51,01:34 PM,01:20 AM,11:18 AM,03:47 PM,-7,-12,-5,-12,33,100,85,1.2,1003,-5,0,314,28
2020-01-03 12:00:00,-4,-10,0.6,3.4,1,1,51,01:34 PM,01:20 AM,11:18 AM,03:47 PM,-10,-12,-5,-12,24,81,70,0.7,1009,-5,5,347,18
2020-01-03 15:00:00,-4,-10,0.6,3.4,1,2,51,01:34 PM,01:20 AM,11:18 AM,03:47 PM,-12,-14,-7,-14,26,2,68,0.0,1013,-7,10,14,17
2020-01-03 18:00:00,-4,-10,0.6,3.4,1,2,51,01:34 PM,01:20 AM,11:18 AM,03:47 PM,-13,-15,-9,-15,26,0,71,0.0,1015,-9,10,39,16
2020-01-03 21:00:00,-4,-10,0.6,3.4,1,1,51,01:34 PM,01:20 AM,11:18 AM,03:47 PM,-14,-17,-10,-17,27,42,72,0.0,1017,-10,10,43,17
2020-01-04 00:00:00,6,-10,0.0,1.1,1,1,59,01:35 PM,02:42 AM,11:17 AM,03:49 PM,-14,-16,-10,-16,22,90,70,0.0,1016,-10,10,71,13
2020-01-04 03:00:00,6,-10,0.0,1.1,1,1,59,01:35 PM,02:42 AM,11:17 AM,03:49 PM,-11,-11,-5,-11,34,61,61,0.0,1013,-5,10,94,22
