date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,27,22,0.0,7.5,7,1,26,10:02 AM,10:29 PM,06:02 AM,06:21 PM,21,27,27,24,9,11,84,0.0,1010,24,10,314,5
2019-12-31 03:00:00,27,22,0.0,7.5,7,1,26,10:02 AM,10:29 PM,06:02 AM,06:21 PM,20,25,25,22,12,16,86,0.0,1009,22,10,333,6
2019-12-31 06:00:00,27,22,0.0,7.5,7,1,26,10:02 AM,10:29 PM,06:02 AM,06:21 PM,22,26,26,24,10,33,89,0.0,1010,24,10,335,6
2019-12-31 09:00:00,27,22,0.0,7.5,7,6,26,10:02 AM,10:29 PM,06:02 AM,06:21 PM,22,29,29,27,8,53,77,0.1,1011,27,10,308,6
2019-12-31 12:00:00,27,22,0.0,7.5,7,6,26,10:02 AM,10:29 PM,06:02 AM,06:21 PM,23,30,30,27,15,89,80,2.0,1010,27,10,290,10
2019-12-31 15:00:00,27,22,0.0,7.5,7,6,26,10:02 AM,10:29 PM,06:02 AM,06:21 PM,22,30,30,27,22,81,73,2.5,1008,27,9,280,14
2019-12-31 18:00:00,27,22,0.0,7.5,7,6,26,10:02 AM,10:29 PM,06:02 AM,06:21 PM,23,30,30,27,12,84,82,0.3,1008,27,10,284,9
2019-12-31 21:00:00,27,22,0.0,7.5,7,1,26,10:02 AM,10:29 PM,06:02 AM,06:21 PM,22,28,28,25,11,88,84,0.5,1011,25,10,315,6
2020-01-01 00:00:00,28,23,0.0,6.1,6,1,37,10:46 AM,11:11 PM,06:03 AM,06:22 PM,23,28,28,25,12,83,90,0.2,1010,25,9,325,8
2020-01-01 03:00:00,28,23,0.0,6.1,6,1,37,10:46 AM,11:11 PM,06:03 AM,06:22 PM,21,25,25,23,15,70,91,0.9,1009,23,9,322,8
2020-01-01 06:00:00,28,23,0.0,6.1,6,1,37,10:46 AM,11:11 PM,06:03 AM,06:22 PM,22,26,26,23,12,72,91,0.1,1010,23,10,340,6
2020-01-01 09:00:00,28,23,0.0,6.1,6,6,37,10:46 AM,11:11 PM,06:03 AM,06:22 PM,22,29,29,26,9,87,78,0.1,1012,26,10,313,6
2020-01-01 12:00:00,28,23,0.0,6.1,6,6,37,10:46 AM,11:11 PM,06:03 AM,06:22 PM,22,31,31,28,16,84,71,0.1,1009,28,10,295,12
2020-01-01 15:00:00,28,23,0.0,6.1,6,6,37,10:46 AM,11:11 PM,06:03 AM,06:22 PM,22,30,30,28,23,70,73,0.7,1008,28,10,287,15
2020-01-01 18:00:00,28,23,0.0,6.1,6,6,37,10:46 AM,11:11 PM,06:03 AM,06:22 PM,23,31,31,27,14,75,80,0.2,1008,27,10,275,9
2020-01-01 21:00:00,28,23,0.0,6.1,6,1,37,10:46 AM,11:11 PM,06:03 AM,06:22 PM,23,28,28,26,7,71,83,0.2,1011,26,10,296,4
2020-01-02 00:00:00,27,23,0.0,7.5,6,1,44,11:29 AM,11:51 PM,06:03 AM,06:22 PM,23,28,28,25,6,77,86,0.3,1011,25,9,311,4
2020-01-02 03:00:00,27,23,0.0,7.5,6,1,44,11:29 AM,11:51 PM,06:03 AM,06:22 PM,21,25,25,23,10,82,89,0.4,1010,23,9,321,5
2020-01-02 06:00:00,27,23,0.0,7.5,6,1,44,11:29 AM,11:51 PM,06:03 AM,06:22 PM,21,25,25,23,8,44,90,0.0,1010,23,10,328,4
2020-01-02 09:00:00,27,23,0.0,7.5,6,6,44,11:29 AM,11:51 PM,06:03 AM,06:22 PM,22,29,29,27,2,83,73,0.7,1012,27,9,328,1
2020-01-02 12:00:00,27,23,0.0,7.5,6,7,44,11:29 AM,11:51 PM,06:03 AM,06:22 PM,21,30,30,27,9,30,69,0.0,1010,27,10,251,6
