date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,10,4,0.0,4.9,3,1,26,11:50 AM,10:58 PM,08:14 AM,06:01 PM,-7,5,5,5,4,16,40,0.0,1020,5,10,65,3
2019-12-31 03:00:00,10,4,0.0,4.9,3,1,26,11:50 AM,10:58 PM,08:14 AM,06:01 PM,-8,3,4,3,11,45,41,0.0,1019,4,10,44,6
2019-12-31 06:00:00,10,4,0.0,4.9,3,1,26,11:50 AM,10:58 PM,08:14 AM,06:01 PM,-5,4,4,4,4,74,52,0.1,1019,4,10,131,2
2019-12-31 09:00:00,10,4,0.0,4.9,3,2,26,11:50 AM,10:58 PM,08:14 AM,06:01 PM,-2,6,7,6,6,81,51,0.2,1019,7,5,91,6
2019-12-31 12:00:00,10,4,0.0,4.9,3,2,26,11:50 AM,10:58 PM,08:14 AM,06:01 PM,-1,8,8,8,2,87,53,0.1,1016,8,10,107,1
2019-12-31 15:00:00,10,4,0.0,4.9,3,2,26,11:50 AM,10:58 PM,08:14 AM,06:01 PM,-1,9,10,9,9,87,47,0.2,1015,10,9,252,8
2019-12-31 18:00:00,10,4,0.0,4.9,3,2,26,11:50 AM,10:58 PM,08:14 AM,06:01 PM,-1,7,8,7,8,74,56,0.2,1015,8,9,294,6
2019-12-31 21:00:00,10,4,0.0,4.9,3,1,26,11:50 AM,10:58 PM,08:14 AM,06:01 PM,-0,3,5,3,13,83,69,0.4,1016,5,9,303,9
2020-01-01 00:00:00,10,2,0.0,9.9,3,1,37,12:19 PM,11:54 PM,08:14 AM,06:02 PM,-3,1,4,1,17,9,63,0.0,1016,4,10,317,10
2020-01-01 03:00:00,10,2,0.0,9.9,3,1,37,12:19 PM,11:54 PM,08:14 AM,06:02 PM,-5,2,4,2,14,5,53,0.0,1015,4,10,328,9
