date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,19,14,0.0,8.7,5,1,26,10:45 AM,10:00 PM,07:06 AM,05:05 PM,8,19,19,19,4,0,48,0.0,1017,19,10,165,4
2019-12-31 03:00:00,19,14,0.0,8.7,5,1,26,10:45 AM,10:00 PM,07:06 AM,05:05 PM,5,16,16,16,14,0,46,0.0,1016,16,10,317,9
2019-12-31 06:00:00,19,14,0.0,8.7,5,4,26,10:45 AM,10:00 PM,07:06 AM,05:05 PM,5,12,14,12,31,0,58,0.0,1017,14,10,309,17
2019-12-31 09:00:00,19,14,0.0,8.7,5,4,26,10:45 AM,10:00 PM,07:06 AM,05:05 PM,6,13,15,13,30,0,55,0.0,1019,15,10,311,22
2019-12-31 12:00:00,19,14,0.0,8.7,5,5,26,10:45 AM,10:00 PM,07:06 AM,05:05 PM,3,19,19,19,27,2,36,0.0,1018,19,10,313,23
2019-12-31 15:00:00,19,14,0.0,8.7,5,5,26,10:45 AM,10:00 PM,07:06 AM,05:05 PM,3,19,19,19,28,2,35,0.0,1017,19,10,309,23
2019-12-31 18:00:00,19,14,0.0,8.7,5,5,26,10:45 AM,10:00 PM,07:06 AM,05:05 PM,4,16,16,16,29,0,47,0.0,1017,16,10,314,19
2019-12-31 21:00:00,19,14,0.0,8.7,5,1,26,10:45 AM,10:00 PM,07:06 AM,05:05 PM,5,13,14,13,29,0,53,0.0,1018,14,10,302,18
2020-01-01 00:00:00,18,12,0.0,8.7,4,1,37,11:16 AM,10:55 PM,07:06 AM,05:05 PM,6,12,13,12,26,2,60,0.0,1018,13,10,300,15
2020-01-01 03:00:00,18,12,0.0,8.7,4,1,37,11:16 AM,10:55 PM,07:06 AM,05:05 PM,6,11,12,11,26,4,64,0.0,1017,12,10,300,15
2020-01-01 06:00:00,18,12,0.0,8.7,4,4,37,11:16 AM,10:55 PM,07:06 AM,05:05 PM,6,10,12,10,23,8,67,0.0,1017,12,10,305,13
2020-01-01 09:00:00,18,12,0.0,8.7,4,4,37,11:16 AM,10:55 PM,07:06 AM,05:05 PM,6,12,13,12,19,5,64,0.0,1018,13,10,307,14
2020-01-01 12:00:00,18,12,0.0,8.7,4,5,37,11:16 AM,10:55 PM,07:06 AM,05:05 PM,5,17,17,17,20,7,44,0.0,1017,17,10,316,17
2020-01-01 15:00:00,18,12,0.0,8.7,4,5,37,11:16 AM,10:55 PM,07:06 AM,05:05 PM,4,18,18,18,23,14,40,0.0,1016,18,10,315,19
2020-01-01 18:00:00,18,12,0.0,8.7,4,5,37,11:16 AM,10:55 PM,07:06 AM,05:05 PM,5,15,15,15,21,14,50,0.0,1017,15,10,324,14
2020-01-01 21:00:00,18,12,0.0,8.7,4,1,37,11:16 AM,10:55 PM,07:06 AM,05:05 PM,5,15,15,15,12,14,53,0.0,1018,15,10,331,8
2020-01-02 00:00:00,19,13,0.0,8.7,5,1,44,11:45 AM,11:49 PM,07:06 AM,05:06 PM,5,14,14,14,9,15,55,0.0,1018,14,10,355,5
2020-01-02 03:00:00,19,13,0.0,8.7,5,1,44,11:45 AM,11:49 PM,07:06 AM,05:06 PM,5,13,13,13,12,8,57,0.0,1018,13,10,39,7
2020-01-02 06:00:00,19,13,0.0,8.7,5,4,44,11:45 AM,11:49 PM,07:06 AM,05:06 PM,5,13,13,13,11,10,60,0.0,1019,13,10,75,6
2020-01-02 09:00:00,19,13,0.0,8.7,5,4,44,11:45 AM,11:49 PM,07:06 AM,05:06 PM,5,15,14,15,6,9,51,0.0,1019,14,10,63,5
2020-01-02 12:00:00,19,13,0.0,8.7,5,5,44,11:45 AM,11:49 PM,07:06 AM,05:06 PM,3,17,17,17,8,7,39,0.0,1019,17,10,68,6
2020-01-02 15:00:00,19,13,0.0,8.7,5,5,44,11:45 AM,11:49 PM,07:06 AM,05:06 PM,3,19,19,19,7,4,34,0.0,1018,19,10,54,6
2020-01-02 18:00:00,19,13,0.0,8.7,5,5,44,11:45 AM,11:49 PM,07:06 AM,05:06 PM,2,17,17,17,9,16,38,0.0,1018,17,10,69,6
2020-01-02 21:00:00,19,13,0.0,8.7,5,1,44,11:45 AM,11:49 PM,07:06 AM,05:06 PM,2,16,16,16,8,28,39,0.0,1019,16,10,89,5
2020-01-03 00:00:00,19,13,0.0,8.7,5,1,51,12:12 PM,No moonset,07:07 AM,05:07 PM,2,15,15,15,10,12,39,0.0,1019,15,10,60,6
2020-01-03 03:00:00,19,13,0.0,8.7,5,1,51,12:12 PM,No moonset,07:07 AM,05:07 PM,0,13,14,13,17,11,41,0.0,1019,14,10,49,10
2020-01-03 06:00:00,19,13,0.0,8.7,5,4,51,12:12 PM,No moonset,07:07 AM,05:07 PM,1,12,13,12,17,11,43,0.0,1019,13,10,48,9
