date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,9,3,0.0,3.9,3,1,26,12:48 PM,11:00 PM,09:41 AM,05:16 PM,5,4,7,4,25,50,85,0.0,1030,7,10,60,14
2019-12-31 03:00:00,9,3,0.0,3.9,3,1,26,12:48 PM,11:00 PM,09:41 AM,05:16 PM,4,4,7,4,29,68,80,0.0,1030,7,10,59,17
2019-12-31 06:00:00,9,3,0.0,3.9,3,1,26,12:48 PM,11:00 PM,09:41 AM,05:16 PM,4,4,7,4,30,50,80,0.0,1030,7,10,77,17
2019-12-31 09:00:00,9,3,0.0,3.9,3,3,26,12:48 PM,11:00 PM,09:41 AM,05:16 PM,4,3,6,3,28,11,85,0.0,1030,6,10,83,16
2019-12-31 12:00:00,9,3,0.0,3.9,3,2,26,12:48 PM,11:00 PM,09:41 AM,05:16 PM,7,8,9,8,11,74,87,0.0,1032,9,10,74,9
2019-12-31 15:00:00,9,3,0.0,3.9,3,3,26,12:48 PM,11:00 PM,09:41 AM,05:16 PM,7,6,9,6,21,27,89,0.0,1030,9,10,143,14
2019-12-31 18:00:00,9,3,0.0,3.9,3,3,26,12:48 PM,11:00 PM,09:41 AM,05:16 PM,5,4,7,4,23,34,90,0.0,1030,7,10,156,12
2019-12-31 21:00:00,9,3,0.0,3.9,3,1,26,12:48 PM,11:00 PM,09:41 AM,05:16 PM,5,3,5,3,23,96,88,0.0,1030,3,10,159,13
2020-01-01 00:00:00,7,1,0.0,5.8,3,1,37,01:05 PM,No moonset,09:41 AM,05:17 PM,5,6,7,6,14,62,84,0.0,1030,7,10,179,8
2020-01-01 03:00:00,7,1,0.0,5.8,3,1,37,01:05 PM,No moonset,09:41 AM,05:17 PM,4,6,6,6,6,38,87,0.0,1028,6,10,162,4
2020-01-01 06:00:00,7,1,0.0,5.8,3,1,37,01:05 PM,No moonset,09:41 AM,05:17 PM,3,2,4,2,17,10,91,0.0,1027,4,10,190,9
2020-01-01 09:00:00,7,1,0.0,5.8,3,2,37,01:05 PM,No moonset,09:41 AM,05:17 PM,2,1,3,1,14,16,93,0.0,1027,3,10,255,7
2020-01-01 12:00:00,7,1,0.0,5.8,3,3,37,01:05 PM,No moonset,09:41 AM,05:17 PM,4,6,7,6,7,5,82,0.0,1026,7,10,192,6
2020-01-01 15:00:00,7,1,0.0,5.8,3,3,37,01:05 PM,No moonset,09:41 AM,05:17 PM,4,6,7,6,9,6,84,0.0,1024,7,10,187,6
2020-01-01 18:00:00,7,1,0.0,5.8,3,2,37,01:05 PM,No moonset,09:41 AM,05:17 PM,3,2,5,2,22,14,89,0.0,1023,5,10,170,11
2020-01-01 21:00:00,7,1,0.0,5.8,3,1,37,01:05 PM,No moonset,09:41 AM,05:17 PM,4,1,3,1,20,8,90,0.0,1021,1,10,182,9
2020-01-02 00:00:00,11,6,0.0,1.9,3,1,44,01:20 PM,12:08 AM,09:40 AM,05:18 PM,4,2,6,2,32,4,90,0.0,1019,6,10,169,15
2020-01-02 03:00:00,11,6,0.0,1.9,3,1,44,01:20 PM,12:08 AM,09:40 AM,05:18 PM,5,3,6,3,26,9,92,0.0,1015,6,10,180,13
2020-01-02 06:00:00,11,6,0.0,1.9,3,1,44,01:20 PM,12:08 AM,09:40 AM,05:18 PM,6,4,7,4,26,37,92,0.0,1012,7,10,181,13
2020-01-02 09:00:00,11,6,0.0,1.9,3,2,44,01:20 PM,12:08 AM,09:40 AM,05:18 PM,6,5,7,5,27,70,92,0.0,1009,7,10,189,14
2020-01-02 12:00:00,11,6,0.0,1.9,3,3,44,01:20 PM,12:08 AM,09:40 AM,05:18 PM,8,8,11,8,39,100,84,0.0,1007,11,10,183,23
2020-01-02 15:00:00,11,6,0.0,1.9,3,3,44,01:20 PM,12:08 AM,09:40 AM,05:18 PM,8,8,11,8,39,77,80,0.3,1004,11,9,211,24
2020-01-02 18:00:00,11,6,0.0,1.9,3,2,44,01:20 PM,12:08 AM,09:40 AM,05:18 PM,7,7,10,7,38,69,83,0.0,1004,10,10,210,22
2020-01-02 21:00:00,11,6,0.0,1.9,3,1,44,01:20 PM,12:08 AM,09:40 AM,05:18 PM,7,6,10,6,37,100,82,0.0,1004,6,10,225,24
2020-01-03 00:00:00,6,1,0.0,5.8,1,1,51,01:35 PM,01:16 AM,09:40 AM,05:19 PM,6,4,8,4,49,96,85,1.2,1009,8,9,334,35
2020-01-03 03:00:00,6,1,0.0,5.8,1,1,51,01:35 PM,01:16 AM,09:40 AM,05:19 PM,3,1,5,1,33,11,84,0.0,1014,5,10,314,21
2020-01-03 06:00:00,6,1,0.0,5.8,1,1,51,01:35 PM,01:16 AM,09:40 AM,05:19 PM,2,-0,4,-0,32,49,85,0.0,1019,4,10,301,18
2020-01-03 09:00:00,6,1,0.0,5.8,1,2,51,01:35 PM,01:16 AM,09:40 AM,05:19 PM,1,-1,3,-1,30,8,88,0.0,1023,3,10,281,15
2020-01-03 12:00:00,6,1,0.0,5.8,1,3,51,01:35 PM,01:16 AM,09:40 AM,05:19 PM,3,3,6,3,26,11,79,0.0,1026,6,10,280,19
2020-01-03 15:00:00,6,1,0.0,5.8,1,3,51,01:35 PM,01:16 AM,09:40 AM,05:19 PM,3,3,6,3,28,17,79,0.0,1028,6,10,269,18
2020-01-03 18:00:00,6,1,0.0,5.8,1,3,51,01:35 PM,01:16 AM,09:40 AM,05:19 PM,3,1,5,1,39,20,85,0.0,1030,5,10,259,22
2020-01-03 21:00:00,6,1,0.0,5.8,1,1,51,01:35 PM,01:16 AM,09:40 AM,05:19 PM,3,1,5,1,34,100,86,0.0,1031,1,10,261,20
2020-01-04 00:00:00,8,5,0.0,2.0,3,1,59,01:50 PM,02:24 AM,09:40 AM,05:20 PM,3,1,5,1,38,32,86,0.0,1032,5,10,254,23
2020-01-04 03:00:00,8,5,0.0,2.0,3,1,59,01:50 PM,02:24 AM,09:40 AM,05:20 PM,4,3,6,3,34,97,85,0.0,1031,6,10,253,22
2020-01-04 06:00:00,8,5,0.0,2.0,3,1,59,01:50 PM,02:24 AM,09:40 AM,05:20 PM,4,3,7,3,34,100,85,0.0,1032,7,10,255,21
2020-01-04 09:00:00,8,5,0.0,2.0,3,3,59,01:50 PM,02:24 AM,09:40 AM,05:20 PM,5,3,7,3,30,51,85,0.0,1032,7,10,245,19
2020-01-04 12:00:00,8,5,0.0,2.0,3,2,59,01:50 PM,02:24 AM,09:40 AM,05:20 PM,5,5,8,5,27,67,83,0.0,1032,8,10,242,19
2020-01-04 15:00:00,8,5,0.0,2.0,3,2,59,01:50 PM,02:24 AM,09:40 AM,05:20 PM,6,6,8,6,23,63,84,0.0,1032,8,10,226,15
2020-01-04 18:00:00,8,5,0.0,2.0,3,3,59,01:50 PM,02:24 AM,09:40 AM,05:20 PM,5,5,8,5,24,43,86,0.0,1032,8,10,211,14
2020-01-04 21:00:00,8,5,0.0,2.0,3,1,59,01:50 PM,02:24 AM,09:40 AM,05:20 PM,5,6,10,6,27,43,83,0.0,1031,6,10,212,16
2020-01-05 00:00:00,10,7,0.0,2.0,3,1,66,02:07 PM,03:34 AM,09:40 AM,05:22 PM,5,5,8,5,27,35,83,0.0,1031,8,10,209,16
2020-01-05 03:00:00,10,7,0.0,2.0,3,1,66,02:07 PM,03:34 AM,09:40 AM,05:22 PM,5,4,8,4,35,59,84,0.0,1029,8,10,218,19
2020-01-05 06:00:00,10,7,0.0,2.0,3,1,66,02:07 PM,03:34 AM,09:40 AM,05:22 PM,6,4,7,4,30,20,88,0.0,1028,7,10,213,17
2020-01-05 09:00:00,10,7,0.0,2.0,3,2,66,02:07 PM,03:34 AM,09:40 AM,05:22 PM,6,6,8,6,28,92,84,0.0,1027,8,10,213,17
2020-01-05 12:00:00,10,7,0.0,2.0,3,3,66,02:07 PM,03:34 AM,09:40 AM,05:22 PM,8,8,10,8,33,66,84,0.0,1027,10,10,219,22
2020-01-05 15:00:00,10,7,0.0,2.0,3,3,66,02:07 PM,03:34 AM,09:40 AM,05:22 PM,8,8,10,8,34,87,85,0.1,1025,10,10,219,23
2020-01-05 18:00:00,10,7,0.0,2.0,3,3,66,02:07 PM,03:34 AM,09:40 AM,05:22 PM,7,7,10,7,34,32,82,0.0,1025,10,10,213,22
2020-01-05 21:00:00,10,7,0.0,2.0,3,1,66,02:07 PM,03:34 AM,09:40 AM,05:22 PM,6,5,8,5,28,29,88,0.0,1022,8,10,184,16
2020-01-06 00:00:00,9,5,0.0,3.9,2,1,73,02:27 PM,04:45 AM,09:39 AM,05:23 PM,5,4,7,4,31,67,86,0.0,1020,7,10,188,18
2020-01-06 03:00:00,9,5,0.0,3.9,2,1,73,02:27 PM,04:45 AM,09:39 AM,05:23 PM,5,4,8,4,35,68,82,0.0,1015,8,10,182,22
2020-01-06 06:00:00,9,5,0.0,3.9,2,1,73,02:27 PM,04:45 AM,09:39 AM,05:23 PM,5,5,9,5,37,83,79,0.0,1011,9,10,181,24
2020-01-06 09:00:00,9,5,0.0,3.9,2,2,73,02:27 PM,04:45 AM,09:39 AM,05:23 PM,7,6,9,6,38,100,84,0.3,1007,9,2,194,24
2020-01-06 12:00:00,9,5,0.0,3.9,2,2,73,02:27 PM,04:45 AM,09:39 AM,05:23 PM,6,6,9,6,30,81,84,1.2,1008,9,9,257,19
2020-01-06 15:00:00,9,5,0.0,3.9,2,3,73,02:27 PM,04:45 AM,09:39 AM,05:23 PM,5,5,9,5,41,14,78,0.0,1012,9,10,262,27
2020-01-06 18:00:00,9,5,0.0,3.9,2,3,73,02:27 PM,04:45 AM,09:39 AM,05:23 PM,4,2,6,2,38,5,84,0.0,1016,6,10,254,21
