date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,23,15,0.0,8.7,5,1,26,10:46 AM,10:40 PM,06:37 AM,05:46 PM,15,16,16,16,8,65,93,0.1,1016,16,10,48,6
2019-12-31 03:00:00,23,15,0.0,8.7,5,1,26,10:46 AM,10:40 PM,06:37 AM,05:46 PM,15,16,16,16,7,64,95,0.1,1016,16,5,42,6
2019-12-31 06:00:00,23,15,0.0,8.7,5,1,26,10:46 AM,10:40 PM,06:37 AM,05:46 PM,14,15,15,15,6,68,95,0.1,1016,15,2,52,6
2019-12-31 09:00:00,23,15,0.0,8.7,5,4,26,10:46 AM,10:40 PM,06:37 AM,05:46 PM,15,18,18,18,4,47,84,0.0,1018,18,7,56,4
2019-12-31 12:00:00,23,15,0.0,8.7,5,6,26,10:46 AM,10:40 PM,06:37 AM,05:46 PM,16,22,23,22,2,21,70,0.0,1017,22,10,20,1
2019-12-31 15:00:00,23,15,0.0,8.7,5,6,26,10:46 AM,10:40 PM,06:37 AM,05:46 PM,15,25,25,22,3,20,65,0.0,1014,22,10,227,3
2019-12-31 18:00:00,23,15,0.0,8.7,5,5,26,10:46 AM,10:40 PM,06:37 AM,05:46 PM,16,19,20,19,6,61,85,0.1,1013,19,9,139,5
2019-12-31 21:00:00,23,15,0.0,8.7,5,1,26,10:46 AM,10:40 PM,06:37 AM,05:46 PM,16,17,17,17,8,73,94,0.1,1016,17,10,49,7
2020-01-01 00:00:00,21,13,0.0,7.2,4,1,37,11:23 AM,11:28 PM,06:37 AM,05:47 PM,16,16,16,16,8,67,95,0.2,1017,16,10,53,6
2020-01-01 03:00:00,21,13,0.0,7.2,4,1,37,11:23 AM,11:28 PM,06:37 AM,05:47 PM,15,16,16,16,6,53,95,0.1,1016,16,5,53,5
2020-01-01 06:00:00,21,13,0.0,7.2,4,1,37,11:23 AM,11:28 PM,06:37 AM,05:47 PM,13,14,14,14,8,73,95,0.1,1015,14,2,61,5
2020-01-01 09:00:00,21,13,0.0,7.2,4,4,37,11:23 AM,11:28 PM,06:37 AM,05:47 PM,13,16,16,16,4,36,80,0.0,1016,16,7,103,3
2020-01-01 12:00:00,21,13,0.0,7.2,4,5,37,11:23 AM,11:28 PM,06:37 AM,05:47 PM,13,20,20,20,2,11,63,0.0,1015,20,10,159,2
