date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,10,4,0.0,8.7,3,1,26,12:08 PM,11:02 PM,08:37 AM,05:49 PM,-2,5,6,5,10,2,58,0.0,1032,6,10,36,7
2019-12-31 03:00:00,10,4,0.0,8.7,3,1,26,12:08 PM,11:02 PM,08:37 AM,05:49 PM,-2,3,5,3,13,0,59,0.0,1032,5,10,33,8
2019-12-31 06:00:00,10,4,0.0,8.7,3,1,26,12:08 PM,11:02 PM,08:37 AM,05:49 PM,-3,2,4,2,16,0,58,0.0,1032,4,10,29,9
2019-12-31 09:00:00,10,4,0.0,8.7,3,3,26,12:08 PM,11:02 PM,08:37 AM,05:49 PM,-4,4,6,4,12,2,51,0.0,1032,6,10,22,8
2019-12-31 12:00:00,10,4,0.0,8.7,3,3,26,12:08 PM,11:02 PM,08:37 AM,05:49 PM,-2,8,9,8,9,4,46,0.0,1032,9,10,231,8
2019-12-31 15:00:00,10,4,0.0,8.7,3,3,26,12:08 PM,11:02 PM,08:37 AM,05:49 PM,1,8,9,8,10,8,55,0.0,1031,9,10,315,8
2019-12-31 18:00:00,10,4,0.0,8.7,3,3,26,12:08 PM,11:02 PM,08:37 AM,05:49 PM,1,7,8,7,9,15,63,0.0,1031,8,10,338,6
2019-12-31 21:00:00,10,4,0.0,8.7,3,1,26,12:08 PM,11:02 PM,08:37 AM,05:49 PM,-0,5,7,5,10,8,61,0.0,1031,7,10,127,6
2020-01-01 00:00:00,13,5,0.0,8.7,3,1,37,12:34 PM,No moonset,08:38 AM,05:49 PM,-2,4,6,4,12,4,58,0.0,1031,6,10,10,8
2020-01-01 03:00:00,13,5,0.0,8.7,3,1,37,12:34 PM,No moonset,08:38 AM,05:49 PM,-4,3,5,3,14,7,53,0.0,1030,5,10,17,8
2020-01-01 06:00:00,13,5,0.0,8.7,3,1,37,12:34 PM,No moonset,08:38 AM,05:49 PM,-6,4,5,4,13,5,45,0.0,1029,5,10,31,6
2020-01-01 09:00:00,13,5,0.0,8.7,3,3,37,12:34 PM,No moonset,08:38 AM,05:49 PM,-6,7,8,7,9,1,38,0.0,1030,8,10,25,6
