date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,5,-2,0.0,8.7,1,1,26,12:05 PM,11:18 PM,08:21 AM,05:54 PM,-5,-6,-1,-6,33,35,74,0.0,1013,-1,8,269,22
2019-12-31 03:00:00,5,-2,0.0,8.7,1,1,26,12:05 PM,11:18 PM,08:21 AM,05:54 PM,-5,-7,-1,-7,36,47,74,0.0,1013,-1,10,272,23
2019-12-31 06:00:00,5,-2,0.0,8.7,1,1,26,12:05 PM,11:18 PM,08:21 AM,05:54 PM,-6,-8,-2,-8,37,27,72,0.0,1014,-2,10,272,24
2019-12-31 09:00:00,5,-2,0.0,8.7,1,2,26,12:05 PM,11:18 PM,08:21 AM,05:54 PM,-6,-7,-0,-7,39,19,65,0.0,1015,-0,10,275,27
2019-12-31 12:00:00,5,-2,0.0,8.7,1,2,26,12:05 PM,11:18 PM,08:21 AM,05:54 PM,-5,-3,3,-3,35,13,58,0.0,1016,3,10,275,28
2019-12-31 15:00:00,5,-2,0.0,8.7,1,2,26,12:05 PM,11:18 PM,08:21 AM,05:54 PM,-3,-0,4,-0,32,20,57,0.0,1015,4,10,275,26
2019-12-31 18:00:00,5,-2,0.0,8.7,1,2,26,12:05 PM,11:18 PM,08:21 AM,05:54 PM,-3,-2,2,-2,26,21,69,0.0,1015,2,10,277,16
2019-12-31 21:00:00,5,-2,0.0,8.7,1,1,26,12:05 PM,11:18 PM,08:21 AM,05:54 PM,-3,-4,0,-4,23,18,80,0.0,1016,0,10,266,12
2020-01-01 00:00:00,11,-1,0.0,8.7,3,1,37,12:32 PM,No moonset,08:21 AM,05:55 PM,-3,-4,1,-4,27,22,75,0.0,1016,-1,10,249,14
2020-01-01 03:00:00,11,-1,0.0,8.7,3,1,37,12:32 PM,No moonset,08:21 AM,05:55 PM,-4,-4,-0,-4,24,8,77,0.0,1016,-0,10,240,12
2020-01-01 06:00:00,11,-1,0.0,8.7,3,1,37,12:32 PM,No moonset,08:21 AM,05:55 PM,-4,-5,-1,-5,23,1,78,0.0,1015,-1,10,219,11
2020-01-01 09:00:00,11,-1,0.0,8.7,3,2,37,12:32 PM,No moonset,08:21 AM,05:55 PM,-4,-2,2,-2,27,0,65,0.0,1014,2,10,216,17
2020-01-01 12:00:00,11,-1,0.0,8.7,3,3,37,12:32 PM,No moonset,08:21 AM,05:55 PM,-3,4,8,4,29,0,49,0.0,1012,8,10,217,22
2020-01-01 15:00:00,11,-1,0.0,8.7,3,4,37,12:32 PM,No moonset,08:21 AM,05:55 PM,-1,8,11,8,30,0,44,0.0,1008,11,10,212,23
2020-01-01 18:00:00,11,-1,0.0,8.7,3,3,37,12:32 PM,No moonset,08:21 AM,05:55 PM,-1,5,8,5,33,0,55,0.0,1006,8,10,194,19
2020-01-01 21:00:00,11,-1,0.0,8.7,3,1,37,12:32 PM,No moonset,08:21 AM,05:55 PM,-1,3,6,3,38,0,61,0.0,1006,6,10,192,21
2020-01-02 00:00:00,12,6,0.0,5.2,3,1,44,12:58 PM,12:15 AM,08:21 AM,05:56 PM,-1,2,6,2,40,0,62,0.0,1006,6,10,197,23
2020-01-02 03:00:00,12,6,0.0,5.2,3,1,44,12:58 PM,12:15 AM,08:21 AM,05:56 PM,1,2,6,2,36,66,74,0.0,1004,6,10,202,21
2020-01-02 06:00:00,12,6,0.0,5.2,3,1,44,12:58 PM,12:15 AM,08:21 AM,05:56 PM,3,2,6,2,34,56,83,0.0,1004,6,10,199,21
2020-01-02 09:00:00,12,6,0.0,5.2,3,3,44,12:58 PM,12:15 AM,08:21 AM,05:56 PM,5,4,7,4,29,50,83,0.0,1005,7,10,208,19
2020-01-02 12:00:00,12,6,0.0,5.2,3,4,44,12:58 PM,12:15 AM,08:21 AM,05:56 PM,7,9,11,9,24,86,76,0.0,1004,11,10,212,18
2020-01-02 15:00:00,12,6,0.0,5.2,3,3,44,12:58 PM,12:15 AM,08:21 AM,05:56 PM,9,11,12,11,14,100,81,0.0,1003,12,10,209,10
2020-01-02 18:00:00,12,6,0.0,5.2,3,3,44,12:58 PM,12:15 AM,08:21 AM,05:56 PM,10,11,11,11,4,100,91,0.1,1002,11,5,81,3
2020-01-02 21:00:00,12,6,0.0,5.2,3,1,44,12:58 PM,12:15 AM,08:21 AM,05:56 PM,9,9,10,9,12,93,94,0.1,1004,10,7,151,6
2020-01-03 00:00:00,7,5,0.0,3.5,2,1,51,01:24 PM,01:11 AM,08:21 AM,05:57 PM,8,9,10,9,14,96,93,0.0,1006,10,10,234,8
2020-01-03 03:00:00,7,5,0.0,3.5,2,1,51,01:24 PM,01:11 AM,08:21 AM,05:57 PM,8,8,9,8,10,86,91,0.0,1007,9,10,295,6
2020-01-03 06:00:00,7,5,0.0,3.5,2,1,51,01:24 PM,01:11 AM,08:21 AM,05:57 PM,6,6,7,6,12,93,95,0.0,1008,7,5,108,7
2020-01-03 09:00:00,7,5,0.0,3.5,2,2,51,01:24 PM,01:11 AM,08:21 AM,05:57 PM,4,4,6,4,14,93,91,0.0,1010,6,7,0,9
2020-01-03 12:00:00,7,5,0.0,3.5,2,2,51,01:24 PM,01:11 AM,08:21 AM,05:57 PM,3,4,6,4,14,96,82,0.0,1010,6,10,222,11
2020-01-03 15:00:00,7,5,0.0,3.5,2,2,51,01:24 PM,01:11 AM,08:21 AM,05:57 PM,3,5,7,5,13,93,76,0.0,1010,7,10,315,10
2020-01-03 18:00:00,7,5,0.0,3.5,2,2,51,01:24 PM,01:11 AM,08:21 AM,05:57 PM,3,4,6,4,18,97,77,0.0,1011,6,10,301,13
2020-01-03 21:00:00,7,5,0.0,3.5,2,1,51,01:24 PM,01:11 AM,08:21 AM,05:57 PM,2,2,5,2,22,48,81,0.0,1014,5,10,279,14
2020-01-04 00:00:00,4,-1,0.3,5.2,2,1,59,01:50 PM,02:08 AM,08:21 AM,05:58 PM,0,-0,3,-0,24,16,82,0.0,1015,3,10,281,14
2020-01-04 03:00:00,4,-1,0.3,5.2,2,1,59,01:50 PM,02:08 AM,08:21 AM,05:58 PM,-3,-4,1,-4,27,26,74,0.0,1016,1,10,287,17
2020-01-04 06:00:00,4,-1,0.3,5.2,2,1,59,01:50 PM,02:08 AM,08:21 AM,05:58 PM,-4,-6,-1,-6,27,78,78,0.0,1018,-1,10,286,18
2020-01-04 09:00:00,4,-1,0.3,5.2,2,1,59,01:50 PM,02:08 AM,08:21 AM,05:58 PM,-2,-5,-0,-5,29,100,89,0.1,1021,-0,7,300,21
2020-01-04 12:00:00,4,-1,0.3,5.2,2,1,59,01:50 PM,02:08 AM,08:21 AM,05:58 PM,-2,-3,2,-3,26,79,78,0.2,1022,2,6,305,20
2020-01-04 15:00:00,4,-1,0.3,5.2,2,1,59,01:50 PM,02:08 AM,08:21 AM,05:58 PM,-3,-0,4,-0,22,23,63,0.1,1022,4,9,297,19
2020-01-04 18:00:00,4,-1,0.3,5.2,2,2,59,01:50 PM,02:08 AM,08:21 AM,05:58 PM,-3,-1,2,-1,20,0,71,0.0,1024,2,10,275,13
2020-01-04 21:00:00,4,-1,0.3,5.2,2,1,59,01:50 PM,02:08 AM,08:21 AM,05:58 PM,-3,-3,0,-3,20,4,82,0.0,1024,0,10,243,10
2020-01-05 00:00:00,10,-1,0.0,8.7,3,1,66,02:18 PM,03:07 AM,08:21 AM,05:58 PM,-4,-4,-0,-4,22,4,77,0.0,1024,-0,10,217,11
2020-01-05 03:00:00,10,-1,0.0,8.7,3,1,66,02:18 PM,03:07 AM,08:21 AM,05:58 PM,-5,-4,-0,-4,25,3,70,0.0,1023,-0,10,207,12
2020-01-05 06:00:00,10,-1,0.0,8.7,3,1,66,02:18 PM,03:07 AM,08:21 AM,05:58 PM,-6,-5,-0,-5,30,1,67,0.0,1023,-0,10,207,15
2020-01-05 09:00:00,10,-1,0.0,8.7,3,2,66,02:18 PM,03:07 AM,08:21 AM,05:58 PM,-4,-2,3,-2,36,1,60,0.0,1022,3,10,228,21
2020-01-05 12:00:00,10,-1,0.0,8.7,3,3,66,02:18 PM,03:07 AM,08:21 AM,05:58 PM,-1,3,7,3,32,1,58,0.0,1022,7,10,258,25
2020-01-05 15:00:00,10,-1,0.0,8.7,3,3,66,02:18 PM,03:07 AM,08:21 AM,05:58 PM,0,6,9,6,29,0,54,0.0,1021,9,10,289,24
2020-01-05 18:00:00,10,-1,0.0,8.7,3,3,66,02:18 PM,03:07 AM,08:21 AM,05:58 PM,-1,7,11,7,27,7,60,0.0,1022,8,10,290,16
2020-01-05 21:00:00,10,-1,0.0,8.7,3,1,66,02:18 PM,03:07 AM,08:21 AM,05:58 PM,-1,3,6,3,24,10,72,0.0,1024,5,10,295,12
