date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,21,12,0.0,8.7,5,1,26,11:51 AM,11:15 PM,07:58 AM,05:54 PM,-1,13,13,13,14,28,38,0.0,1017,13,10,27,8
2019-12-31 03:00:00,21,12,0.0,8.7,5,1,26,11:51 AM,11:15 PM,07:58 AM,05:54 PM,-1,12,13,12,16,22,39,0.0,1017,13,10,128,8
2019-12-31 06:00:00,21,12,0.0,8.7,5,1,26,11:51 AM,11:15 PM,07:58 AM,05:54 PM,-1,12,12,12,12,15,40,0.0,1017,12,10,239,6
2019-12-31 09:00:00,21,12,0.0,8.7,5,4,26,11:51 AM,11:15 PM,07:58 AM,05:54 PM,-1,13,14,13,10,6,38,0.0,1018,14,10,8,6
2019-12-31 12:00:00,21,12,0.0,8.7,5,5,26,11:51 AM,11:15 PM,07:58 AM,05:54 PM,-1,18,18,18,5,3,29,0.0,1018,18,10,88,4
2019-12-31 15:00:00,21,12,0.0,8.7,5,6,26,11:51 AM,11:15 PM,07:58 AM,05:54 PM,0,20,20,20,8,1,26,0.0,1017,20,10,233,7
2019-12-31 18:00:00,21,12,0.0,8.7,5,5,26,11:51 AM,11:15 PM,07:58 AM,05:54 PM,1,19,19,19,10,6,30,0.0,1018,19,10,267,8
2019-12-31 21:00:00,21,12,0.0,8.7,5,1,26,11:51 AM,11:15 PM,07:58 AM,05:54 PM,-1,17,17,17,9,28,31,0.0,1019,17,10,221,6
2020-01-01 00:00:00,20,15,0.0,8.7,5,1,37,12:20 PM,No moonset,07:59 AM,05:55 PM,-1,16,16,16,10,9,31,0.0,1019,16,10,119,6
2020-01-01 03:00:00,20,15,0.0,8.7,5,1,37,12:20 PM,No moonset,07:59 AM,05:55 PM,-3,16,16,16,8,14,28,0.0,1019,16,10,257,5
2020-01-01 06:00:00,20,15,0.0,8.7,5,1,37,12:20 PM,No moonset,07:59 AM,05:55 PM,-4,15,15,15,7,25,28,0.0,1018,15,10,47,4
2020-01-01 09:00:00,20,15,0.0,8.7,5,5,37,12:20 PM,No moonset,07:59 AM,05:55 PM,-4,16,15,16,7,9,27,0.0,1019,15,10,42,5
2020-01-01 12:00:00,20,15,0.0,8.7,5,5,37,12:20 PM,No moonset,07:59 AM,05:55 PM,-2,18,18,18,5,9,26,0.0,1018,18,10,133,5
2020-01-01 15:00:00,20,15,0.0,8.7,5,5,37,12:20 PM,No moonset,07:59 AM,05:55 PM,2,20,20,20,8,3,31,0.0,1015,20,10,193,6
2020-01-01 18:00:00,20,15,0.0,8.7,5,4,37,12:20 PM,No moonset,07:59 AM,05:55 PM,5,18,18,18,10,35,42,0.0,1014,18,10,227,9
2020-01-01 21:00:00,20,15,0.0,8.7,5,1,37,12:20 PM,No moonset,07:59 AM,05:55 PM,7,16,16,16,9,77,57,0.0,1014,16,10,223,7
2020-01-02 00:00:00,21,14,0.0,8.7,5,1,44,12:48 PM,12:09 AM,07:59 AM,05:55 PM,8,15,15,15,5,26,63,0.0,1013,15,10,148,4
