date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,5,1,0.0,5.8,2,1,26,12:49 PM,11:16 PM,09:33 AM,05:45 PM,-5,0,2,0,9,12,62,0.0,1033,2,10,220,5
2019-12-31 03:00:00,5,1,0.0,5.8,2,1,26,12:49 PM,11:16 PM,09:33 AM,05:45 PM,-7,-1,1,-1,13,21,58,0.0,1032,1,10,221,6
2019-12-31 06:00:00,5,1,0.0,5.8,2,1,26,12:49 PM,11:16 PM,09:33 AM,05:45 PM,-7,-1,1,-1,13,15,58,0.0,1033,1,10,214,6
2019-12-31 09:00:00,5,1,0.0,5.8,2,2,26,12:49 PM,11:16 PM,09:33 AM,05:45 PM,-6,1,1,1,8,33,57,0.0,1034,1,10,85,4
2019-12-31 12:00:00,5,1,0.0,5.8,2,2,26,12:49 PM,11:16 PM,09:33 AM,05:45 PM,-5,4,4,4,4,23,53,0.0,1034,4,10,75,2
2019-12-31 15:00:00,5,1,0.0,5.8,2,2,26,12:49 PM,11:16 PM,09:33 AM,05:45 PM,-3,3,4,3,9,7,59,0.0,1034,4,10,69,5
2019-12-31 18:00:00,5,1,0.0,5.8,2,2,26,12:49 PM,11:16 PM,09:33 AM,05:45 PM,-1,2,3,2,9,3,73,0.0,1034,3,10,64,5
2019-12-31 21:00:00,5,1,0.0,5.8,2,1,26,12:49 PM,11:16 PM,09:33 AM,05:45 PM,0,1,2,1,10,3,86,0.0,1034,2,10,65,5
2020-01-01 00:00:00,5,-1,0.0,5.8,2,1,37,01:09 PM,No moonset,09:33 AM,05:46 PM,0,-1,1,-1,11,7,91,0.0,1034,1,10,66,6
2020-01-01 03:00:00,5,-1,0.0,5.8,2,1,37,01:09 PM,No moonset,09:33 AM,05:46 PM,-1,-2,0,-2,12,28,95,0.0,1033,0,5,59,6
2020-01-01 06:00:00,5,-1,0.0,5.8,2,1,37,01:09 PM,No moonset,09:33 AM,05:46 PM,-1,-2,-0,-2,11,30,95,0.0,1033,-0,2,73,6
2020-01-01 09:00:00,5,-1,0.0,5.8,2,1,37,01:09 PM,No moonset,09:33 AM,05:46 PM,-1,-1,0,-1,8,20,91,0.0,1033,0,7,75,5
2020-01-01 12:00:00,5,-1,0.0,5.8,2,2,37,01:09 PM,No moonset,09:33 AM,05:46 PM,1,3,4,3,6,6,81,0.0,1033,4,10,91,5
2020-01-01 15:00:00,5,-1,0.0,5.8,2,2,37,01:09 PM,No moonset,09:33 AM,05:46 PM,1,2,4,2,7,2,84,0.0,1032,4,10,116,5
2020-01-01 18:00:00,5,-1,0.0,5.8,2,2,37,01:09 PM,No moonset,09:33 AM,05:46 PM,-0,-0,1,-0,9,11,91,0.0,1032,1,10,127,5
2020-01-01 21:00:00,5,-1,0.0,5.8,2,1,37,01:09 PM,No moonset,09:33 AM,05:46 PM,-1,-2,-0,-2,10,10,93,0.0,1032,-0,10,128,5
