date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,34,23,0.0,10.2,8,1,26,11:17 AM,11:32 PM,07:18 AM,07:14 PM,22,27,27,25,9,11,85,0.0,1012,25,10,64,5
2019-12-31 03:00:00,34,23,0.0,10.2,8,1,26,11:17 AM,11:32 PM,07:18 AM,07:14 PM,21,26,26,24,8,11,86,0.0,1011,24,10,62,5
2019-12-31 06:00:00,34,23,0.0,10.2,8,1,26,11:17 AM,11:32 PM,07:18 AM,07:14 PM,21,26,26,23,9,13,87,0.0,1011,23,10,63,5
2019-12-31 09:00:00,34,23,0.0,10.2,8,6,26,11:17 AM,11:32 PM,07:18 AM,07:14 PM,22,29,29,26,7,32,79,0.1,1013,26,10,56,5
2019-12-31 12:00:00,34,23,0.0,10.2,8,8,26,11:17 AM,11:32 PM,07:18 AM,07:14 PM,22,36,36,32,5,64,58,0.1,1013,32,9,55,4
2019-12-31 15:00:00,34,23,0.0,10.2,8,7,26,11:17 AM,11:32 PM,07:18 AM,07:14 PM,21,38,38,33,5,51,50,0.1,1011,33,10,50,5
2019-12-31 18:00:00,34,23,0.0,10.2,8,8,26,11:17 AM,11:32 PM,07:18 AM,07:14 PM,22,35,35,31,5,59,62,0.1,1010,31,9,44,4
2019-12-31 21:00:00,34,23,0.0,10.2,8,1,26,11:17 AM,11:32 PM,07:18 AM,07:14 PM,21,29,29,27,4,50,78,1.2,1013,27,9,43,2
2020-01-01 00:00:00,34,23,0.0,11.6,7,1,37,11:59 AM,No moonset,07:18 AM,07:15 PM,21,26,26,24,10,64,83,2.4,1014,24,8,63,5
2020-01-01 03:00:00,34,23,0.0,11.6,7,1,37,11:59 AM,No moonset,07:18 AM,07:15 PM,21,25,25,23,13,21,86,0.0,1013,23,10,57,7
2020-01-01 06:00:00,34,23,0.0,11.6,7,1,37,11:59 AM,No moonset,07:18 AM,07:15 PM,20,25,25,23,13,5,84,0.0,1013,23,10,54,8
2020-01-01 09:00:00,34,23,0.0,11.6,7,7,37,11:59 AM,No moonset,07:18 AM,07:15 PM,20,28,28,26,10,4,73,0.0,1014,26,10,42,7
2020-01-01 12:00:00,34,23,0.0,11.6,7,8,37,11:59 AM,No moonset,07:18 AM,07:15 PM,21,35,35,32,8,20,52,0.0,1014,32,10,38,7
2020-01-01 15:00:00,34,23,0.0,11.6,7,8,37,11:59 AM,No moonset,07:18 AM,07:15 PM,21,36,36,33,7,53,48,0.0,1012,33,10,43,6
2020-01-01 18:00:00,34,23,0.0,11.6,7,7,37,11:59 AM,No moonset,07:18 AM,07:15 PM,21,34,34,31,5,53,61,0.1,1011,31,10,43,4
2020-01-01 21:00:00,34,23,0.0,11.6,7,1,37,11:59 AM,No moonset,07:18 AM,07:15 PM,21,32,32,29,7,59,77,0.2,1013,29,10,60,4
2020-01-02 00:00:00,34,23,0.0,8.8,6,1,44,12:39 PM,12:14 AM,07:19 AM,07:15 PM,20,30,30,26,10,74,81,0.1,1015,26,10,56,5
2020-01-02 03:00:00,34,23,0.0,8.8,6,1,44,12:39 PM,12:14 AM,07:19 AM,07:15 PM,20,25,25,23,9,65,84,0.1,1014,23,10,46,5
2020-01-02 06:00:00,34,23,0.0,8.8,6,1,44,12:39 PM,12:14 AM,07:19 AM,07:15 PM,20,25,25,23,9,31,83,0.0,1013,23,10,53,5
2020-01-02 09:00:00,34,23,0.0,8.8,6,7,44,12:39 PM,12:14 AM,07:19 AM,07:15 PM,21,29,29,26,7,29,74,0.0,1015,26,10,52,5
2020-01-02 12:00:00,34,23,0.0,8.8,6,8,44,12:39 PM,12:14 AM,07:19 AM,07:15 PM,22,36,36,32,5,41,56,0.0,1014,32,10,34,5
2020-01-02 15:00:00,34,23,0.0,8.8,6,7,44,12:39 PM,12:14 AM,07:19 AM,07:15 PM,23,38,38,33,3,61,57,1.0,1012,33,9,95,2
2020-01-02 18:00:00,34,23,0.0,8.8,6,6,44,12:39 PM,12:14 AM,07:19 AM,07:15 PM,23,33,33,29,1,78,73,2.7,1011,29,8,233,0
2020-01-02 21:00:00,34,23,0.0,8.8,6,1,44,12:39 PM,12:14 AM,07:19 AM,07:15 PM,22,28,28,25,2,90,82,1.7,1013,25,10,193,1
2020-01-03 00:00:00,34,23,0.0,10.2,7,1,51,01:19 PM,12:57 AM,07:19 AM,07:16 PM,22,27,27,25,5,83,84,0.5,1014,25,10,89,3
2020-01-03 03:00:00,34,23,0.0,10.2,7,1,51,01:19 PM,12:57 AM,07:19 AM,07:16 PM,21,26,26,24,7,65,84,0.1,1013,24,10,57,4
2020-01-03 06:00:00,34,23,0.0,10.2,7,1,51,01:19 PM,12:57 AM,07:19 AM,07:16 PM,21,26,26,24,7,25,85,0.0,1012,24,10,55,4
2020-01-03 09:00:00,34,23,0.0,10.2,7,7,51,01:19 PM,12:57 AM,07:19 AM,07:16 PM,22,29,29,26,6,24,77,0.0,1013,26,10,62,4
2020-01-03 12:00:00,34,23,0.0,10.2,7,8,51,01:19 PM,12:57 AM,07:19 AM,07:16 PM,22,36,36,32,4,35,56,0.0,1014,32,10,159,4
2020-01-03 15:00:00,34,23,0.0,10.2,7,7,51,01:19 PM,12:57 AM,07:19 AM,07:16 PM,22,38,38,33,2,55,53,0.4,1011,33,10,310,2
2020-01-03 18:00:00,34,23,0.0,10.2,7,7,51,01:19 PM,12:57 AM,07:19 AM,07:16 PM,23,36,36,31,2,83,69,1.4,1009,31,9,193,1
2020-01-03 21:00:00,34,23,0.0,10.2,7,1,51,01:19 PM,12:57 AM,07:19 AM,07:16 PM,22,32,32,29,6,86,82,1.2,1011,29,9,89,3
2020-01-04 00:00:00,33,23,0.0,8.8,7,1,59,01:59 PM,01:39 AM,07:20 AM,07:16 PM,21,29,29,26,8,66,84,0.2,1012,26,9,60,4
2020-01-04 03:00:00,33,23,0.0,8.8,7,1,59,01:59 PM,01:39 AM,07:20 AM,07:16 PM,21,26,26,24,7,31,87,0.0,1011,24,10,55,4
