date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,4,-1,0.0,7.0,1,1,26,12:03 PM,11:15 PM,08:19 AM,05:50 PM,-6,-6,0,-6,34,76,64,0.1,1011,0,9,268,24
2019-12-31 03:00:00,4,-1,0.0,7.0,1,1,26,12:03 PM,11:15 PM,08:19 AM,05:50 PM,-5,-6,-0,-6,33,90,69,0.0,1012,-0,10,275,23
2019-12-31 06:00:00,4,-1,0.0,7.0,1,1,26,12:03 PM,11:15 PM,08:19 AM,05:50 PM,-6,-6,-0,-6,33,71,69,0.0,1012,-0,10,272,23
2019-12-31 09:00:00,4,-1,0.0,7.0,1,2,26,12:03 PM,11:15 PM,08:19 AM,05:50 PM,-6,-6,0,-6,33,69,64,0.0,1014,0,10,275,24
2019-12-31 12:00:00,4,-1,0.0,7.0,1,1,26,12:03 PM,11:15 PM,08:19 AM,05:50 PM,-5,-3,2,-3,29,49,58,0.0,1015,2,10,279,24
2019-12-31 15:00:00,4,-1,0.0,7.0,1,2,26,12:03 PM,11:15 PM,08:19 AM,05:50 PM,-4,-1,4,-1,25,25,56,0.0,1014,4,10,280,20
2019-12-31 18:00:00,4,-1,0.0,7.0,1,2,26,12:03 PM,11:15 PM,08:19 AM,05:50 PM,-4,-1,3,-1,24,23,62,0.0,1015,3,10,278,16
2019-12-31 21:00:00,4,-1,0.0,7.0,1,1,26,12:03 PM,11:15 PM,08:19 AM,05:50 PM,-3,-2,2,-2,24,28,68,0.0,1015,2,10,277,15
2020-01-01 00:00:00,11,2,0.0,8.7,2,1,37,12:30 PM,No moonset,08:20 AM,05:51 PM,-1,-0,3,-0,19,33,75,0.0,1015,2,10,265,11
2020-01-01 03:00:00,11,2,0.0,8.7,2,1,37,12:30 PM,No moonset,08:20 AM,05:51 PM,-3,-1,2,-1,17,4,70,0.0,1015,2,10,260,11
2020-01-01 06:00:00,11,2,0.0,8.7,2,1,37,12:30 PM,No moonset,08:20 AM,05:51 PM,-3,-1,2,-1,13,1,69,0.0,1014,2,10,231,9
2020-01-01 09:00:00,11,2,0.0,8.7,2,2,37,12:30 PM,No moonset,08:20 AM,05:51 PM,-4,-1,3,-1,18,0,63,0.0,1014,3,10,214,13
2020-01-01 12:00:00,11,2,0.0,8.7,2,3,37,12:30 PM,No moonset,08:20 AM,05:51 PM,-4,4,7,4,22,0,49,0.0,1012,7,10,208,17
2020-01-01 15:00:00,11,2,0.0,8.7,2,4,37,12:30 PM,No moonset,08:20 AM,05:51 PM,-2,8,10,8,24,2,40,0.0,1008,10,10,205,18
2020-01-01 18:00:00,11,2,0.0,8.7,2,3,37,12:30 PM,No moonset,08:20 AM,05:51 PM,-1,7,10,7,30,1,47,0.0,1006,10,10,189,19
2020-01-01 21:00:00,11,2,0.0,8.7,2,1,37,12:30 PM,No moonset,08:20 AM,05:51 PM,-2,5,8,5,34,0,51,0.0,1006,8,10,190,22
2020-01-02 00:00:00,11,6,0.0,5.2,3,1,44,12:55 PM,12:11 AM,08:20 AM,05:52 PM,-2,4,7,4,36,0,54,0.0,1006,7,10,197,22
2020-01-02 03:00:00,11,6,0.0,5.2,3,1,44,12:55 PM,12:11 AM,08:20 AM,05:52 PM,-0,3,6,3,32,30,63,0.0,1005,6,10,200,19
2020-01-02 06:00:00,11,6,0.0,5.2,3,1,44,12:55 PM,12:11 AM,08:20 AM,05:52 PM,2,3,6,3,30,35,75,0.0,1004,6,10,197,18
2020-01-02 09:00:00,11,6,0.0,5.2,3,3,44,12:55 PM,12:11 AM,08:20 AM,05:52 PM,3,4,7,4,26,28,78,0.0,1005,7,10,195,17
2020-01-02 12:00:00,11,6,0.0,5.2,3,3,44,12:55 PM,12:11 AM,08:20 AM,05:52 PM,6,8,10,8,18,71,74,0.0,1005,10,10,206,13
2020-01-02 15:00:00,11,6,0.0,5.2,3,3,44,12:55 PM,12:11 AM,08:20 AM,05:52 PM,7,10,11,10,13,98,78,0.0,1003,11,10,182,9
2020-01-02 18:00:00,11,6,0.0,5.2,3,3,44,12:55 PM,12:11 AM,08:20 AM,05:52 PM,9,10,11,10,10,100,88,0.1,1003,11,10,156,6
2020-01-02 21:00:00,11,6,0.0,5.2,3,1,44,12:55 PM,12:11 AM,08:20 AM,05:52 PM,9,10,10,10,7,70,90,0.0,1004,10,10,59,4
2020-01-03 00:00:00,8,4,0.0,3.5,3,1,51,01:21 PM,01:08 AM,08:20 AM,05:52 PM,8,9,10,9,9,51,92,0.0,1006,10,10,159,5
2020-01-03 03:00:00,8,4,0.0,3.5,3,1,51,01:21 PM,01:08 AM,08:20 AM,05:52 PM,7,8,9,8,12,36,90,0.0,1007,9,10,302,7
2020-01-03 06:00:00,8,4,0.0,3.5,3,1,51,01:21 PM,01:08 AM,08:20 AM,05:52 PM,6,5,7,5,14,70,92,0.0,1008,7,10,342,8
2020-01-03 09:00:00,8,4,0.0,3.5,3,2,51,01:21 PM,01:08 AM,08:20 AM,05:52 PM,4,4,6,4,14,92,88,0.0,1010,6,10,348,10
2020-01-03 12:00:00,8,4,0.0,3.5,3,2,51,01:21 PM,01:08 AM,08:20 AM,05:52 PM,3,5,7,5,13,98,77,0.0,1010,7,10,336,11
2020-01-03 15:00:00,8,4,0.0,3.5,3,2,51,01:21 PM,01:08 AM,08:20 AM,05:52 PM,3,6,8,6,14,97,70,0.0,1010,8,10,324,12
2020-01-03 18:00:00,8,4,0.0,3.5,3,2,51,01:21 PM,01:08 AM,08:20 AM,05:52 PM,1,4,7,4,18,99,69,0.1,1010,7,10,317,14
2020-01-03 21:00:00,8,4,0.0,3.5,3,1,51,01:21 PM,01:08 AM,08:20 AM,05:52 PM,-0,2,5,2,19,89,71,0.0,1013,5,10,301,13
2020-01-04 00:00:00,4,-0,0.0,5.2,1,1,59,01:47 PM,02:05 AM,08:20 AM,05:53 PM,0,1,4,1,20,34,75,0.0,1015,4,10,288,13
2020-01-04 03:00:00,4,-0,0.0,5.2,1,1,59,01:47 PM,02:05 AM,08:20 AM,05:53 PM,-1,-1,3,-1,25,60,75,0.1,1015,3,10,282,16
2020-01-04 06:00:00,4,-0,0.0,5.2,1,1,59,01:47 PM,02:05 AM,08:20 AM,05:53 PM,-3,-4,1,-4,27,95,78,0.0,1017,1,10,292,19
2020-01-04 09:00:00,4,-0,0.0,5.2,1,1,59,01:47 PM,02:05 AM,08:20 AM,05:53 PM,-3,-4,1,-4,27,100,78,0.0,1019,1,10,301,20
2020-01-04 12:00:00,4,-0,0.0,5.2,1,1,59,01:47 PM,02:05 AM,08:20 AM,05:53 PM,-2,-2,2,-2,27,100,74,0.1,1021,2,10,309,21
2020-01-04 15:00:00,4,-0,0.0,5.2,1,1,59,01:47 PM,02:05 AM,08:20 AM,05:53 PM,-3,-0,4,-0,25,38,61,0.0,1021,4,10,302,19
2020-01-04 18:00:00,4,-0,0.0,5.2,1,2,59,01:47 PM,02:05 AM,08:20 AM,05:53 PM,-4,-0,3,-0,21,4,61,0.0,1023,3,10,288,14
2020-01-04 21:00:00,4,-0,0.0,5.2,1,1,59,01:47 PM,02:05 AM,08:20 AM,05:53 PM,-2,-1,3,-1,12,3,71,0.0,1024,1,10,259,9
2020-01-05 00:00:00,10,1,0.0,8.7,3,1,66,02:15 PM,03:04 AM,08:20 AM,05:54 PM,-2,-1,3,-1,12,5,75,0.0,1024,1,10,221,8
2020-01-05 03:00:00,10,1,0.0,8.7,3,1,66,02:15 PM,03:04 AM,08:20 AM,05:54 PM,-4,-1,2,-1,14,6,69,0.0,1023,2,10,204,9
2020-01-05 06:00:00,10,1,0.0,8.7,3,1,66,02:15 PM,03:04 AM,08:20 AM,05:54 PM,-6,-2,2,-2,21,2,60,0.0,1022,2,10,199,13
2020-01-05 09:00:00,10,1,0.0,8.7,3,2,66,02:15 PM,03:04 AM,08:20 AM,05:54 PM,-5,-1,3,-1,30,1,54,0.0,1021,3,10,221,19
2020-01-05 12:00:00,10,1,0.0,8.7,3,3,66,02:15 PM,03:04 AM,08:20 AM,05:54 PM,-2,3,7,3,31,1,53,0.0,1021,7,10,252,23
2020-01-05 15:00:00,10,1,0.0,8.7,3,3,66,02:15 PM,03:04 AM,08:20 AM,05:54 PM,-1,6,9,6,32,0,50,0.0,1020,9,10,283,23
2020-01-05 18:00:00,10,1,0.0,8.7,3,3,66,02:15 PM,03:04 AM,08:20 AM,05:54 PM,-2,5,8,5,28,6,52,0.0,1021,8,10,292,18
2020-01-05 21:00:00,10,1,0.0,8.7,3,1,66,02:15 PM,03:04 AM,08:20 AM,05:54 PM,-1,3,6,3,25,18,62,0.0,1023,6,10,292,14
2020-01-06 00:00:00,9,1,0.0,5.2,2,1,73,02:46 PM,04:04 AM,08:20 AM,05:55 PM,-2,1,4,1,23,28,66,0.0,1024,4,10,298,14
2020-01-06 03:00:00,9,1,0.0,5.2,2,1,73,02:46 PM,04:04 AM,08:20 AM,05:55 PM,-3,-1,2,-1,19,20,69,0.0,1025,2,10,319,12
2020-01-06 06:00:00,9,1,0.0,5.2,2,1,73,02:46 PM,04:04 AM,08:20 AM,05:55 PM,-4,-1,1,-1,11,71,71,0.0,1025,1,10,336,7
2020-01-06 09:00:00,9,1,0.0,5.2,2,1,73,02:46 PM,04:04 AM,08:20 AM,05:55 PM,-5,-0,1,-0,6,100,64,0.0,1026,1,10,155,5
