date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,27,13,0.0,11.0,6,1,26,11:18 AM,11:08 PM,07:10 AM,06:09 PM,7,16,16,16,3,5,53,0.0,1018,16,10,193,3
2019-12-31 03:00:00,27,13,0.0,11.0,6,1,26,11:18 AM,11:08 PM,07:10 AM,06:09 PM,6,15,15,15,3,4,55,0.0,1018,15,10,174,3
2019-12-31 06:00:00,27,13,0.0,11.0,6,1,26,11:18 AM,11:08 PM,07:10 AM,06:09 PM,3,14,13,14,6,5,51,0.0,1018,13,10,179,4
2019-12-31 09:00:00,27,13,0.0,11.0,6,5,26,11:18 AM,11:08 PM,07:10 AM,06:09 PM,3,16,16,16,5,3,42,0.0,1020,16,10,185,4
2019-12-31 12:00:00,27,13,0.0,11.0,6,6,26,11:18 AM,11:08 PM,07:10 AM,06:09 PM,2,22,22,22,2,3,27,0.0,1018,22,10,153,2
2019-12-31 15:00:00,27,13,0.0,11.0,6,7,26,11:18 AM,11:08 PM,07:10 AM,06:09 PM,1,25,25,26,2,3,20,0.0,1014,26,10,169,2
2019-12-31 18:00:00,27,13,0.0,11.0,6,6,26,11:18 AM,11:08 PM,07:10 AM,06:09 PM,4,24,24,24,9,3,30,0.0,1013,24,10,198,8
2019-12-31 21:00:00,27,13,0.0,11.0,6,1,26,11:18 AM,11:08 PM,07:10 AM,06:09 PM,7,20,20,20,8,4,44,0.0,1016,20,10,185,7
2020-01-01 00:00:00,23,13,0.0,11.0,5,1,37,11:53 AM,11:56 PM,07:11 AM,06:09 PM,8,17,17,17,5,8,53,0.0,1018,17,10,121,5
2020-01-01 03:00:00,23,13,0.0,11.0,5,1,37,11:53 AM,11:56 PM,07:11 AM,06:09 PM,8,16,16,16,8,7,60,0.0,1018,16,10,171,6
2020-01-01 06:00:00,23,13,0.0,11.0,5,1,37,11:53 AM,11:56 PM,07:11 AM,06:09 PM,7,14,14,14,9,7,64,0.0,1017,14,10,182,7
2020-01-01 09:00:00,23,13,0.0,11.0,5,5,37,11:53 AM,11:56 PM,07:11 AM,06:09 PM,7,16,16,16,9,5,57,0.0,1017,16,10,186,7
2020-01-01 12:00:00,23,13,0.0,11.0,5,6,37,11:53 AM,11:56 PM,07:11 AM,06:09 PM,6,20,21,20,14,4,41,0.0,1016,20,10,179,12
2020-01-01 15:00:00,23,13,0.0,11.0,5,6,37,11:53 AM,11:56 PM,07:11 AM,06:09 PM,4,24,24,22,22,1,31,0.0,1012,22,10,182,19
2020-01-01 18:00:00,23,13,0.0,11.0,5,6,37,11:53 AM,11:56 PM,07:11 AM,06:09 PM,6,22,24,22,21,5,42,0.0,1011,22,10,183,18
2020-01-01 21:00:00,23,13,0.0,11.0,5,1,37,11:53 AM,11:56 PM,07:11 AM,06:09 PM,7,19,22,19,19,7,54,0.0,1014,19,10,181,15
2020-01-02 00:00:00,19,12,0.0,11.0,5,1,44,12:27 PM,No moonset,07:11 AM,06:10 PM,8,15,17,15,17,8,63,0.0,1015,16,10,184,14
2020-01-02 03:00:00,19,12,0.0,11.0,5,1,44,12:27 PM,No moonset,07:11 AM,06:10 PM,8,13,14,13,15,10,69,0.0,1015,14,10,187,13
2020-01-02 06:00:00,19,12,0.0,11.0,5,1,44,12:27 PM,No moonset,07:11 AM,06:10 PM,7,11,12,11,17,11,72,0.0,1014,12,10,179,13
2020-01-02 09:00:00,19,12,0.0,11.0,5,4,44,12:27 PM,No moonset,07:11 AM,06:10 PM,7,12,14,12,18,15,66,0.0,1015,14,10,176,15
2020-01-02 12:00:00,19,12,0.0,11.0,5,5,44,12:27 PM,No moonset,07:11 AM,06:10 PM,6,17,17,17,24,9,49,0.0,1013,17,10,183,21
2020-01-02 15:00:00,19,12,0.0,11.0,5,5,44,12:27 PM,No moonset,07:11 AM,06:10 PM,6,19,19,19,29,7,44,0.0,1010,19,10,194,25
2020-01-02 18:00:00,19,12,0.0,11.0,5,5,44,12:27 PM,No moonset,07:11 AM,06:10 PM,5,15,16,15,28,50,50,0.1,1010,16,10,194,22
2020-01-02 21:00:00,19,12,0.0,11.0,5,1,44,12:27 PM,No moonset,07:11 AM,06:10 PM,7,13,14,13,21,76,60,0.1,1013,14,10,189,16
2020-01-03 00:00:00,21,12,0.0,7.0,4,1,51,01:01 PM,12:44 AM,07:11 AM,06:11 PM,8,13,14,13,14,81,67,0.1,1015,14,10,182,12
2020-01-03 03:00:00,21,12,0.0,7.0,4,1,51,01:01 PM,12:44 AM,07:11 AM,06:11 PM,8,12,13,12,13,36,71,0.0,1016,13,10,174,12
2020-01-03 06:00:00,21,12,0.0,7.0,4,1,51,01:01 PM,12:44 AM,07:11 AM,06:11 PM,7,11,12,11,13,13,73,0.0,1016,12,10,182,11
2020-01-03 09:00:00,21,12,0.0,7.0,4,4,51,01:01 PM,12:44 AM,07:11 AM,06:11 PM,6,13,14,13,9,9,60,0.0,1018,14,10,186,8
2020-01-03 12:00:00,21,12,0.0,7.0,4,5,51,01:01 PM,12:44 AM,07:11 AM,06:11 PM,2,17,17,17,10,69,36,0.0,1018,17,10,191,8
