date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,-2,-3,0.0,3.4,1,1,26,11:53 AM,10:56 PM,08:14 AM,05:27 PM,-4,-9,-1,-9,53,100,80,0.0,1002,-1,1,238,43
2019-12-31 03:00:00,-2,-3,0.0,3.4,1,1,26,11:53 AM,10:56 PM,08:14 AM,05:27 PM,-3,-9,-1,-9,50,100,87,0.3,1002,-1,0,247,42
2019-12-31 06:00:00,-2,-3,0.0,3.4,1,1,26,11:53 AM,10:56 PM,08:14 AM,05:27 PM,-3,-10,-2,-10,52,100,90,1.6,1002,-2,0,262,42
2019-12-31 09:00:00,-2,-3,0.0,3.4,1,1,26,11:53 AM,10:56 PM,08:14 AM,05:27 PM,-5,-11,-3,-11,48,100,86,2.3,1004,-3,0,278,39
2019-12-31 12:00:00,-2,-3,0.0,3.4,1,1,26,11:53 AM,10:56 PM,08:14 AM,05:27 PM,-6,-10,-2,-10,42,94,77,0.3,1006,-2,0,277,36
2019-12-31 15:00:00,-2,-3,0.0,3.4,1,1,26,11:53 AM,10:56 PM,08:14 AM,05:27 PM,-5,-9,-2,-9,39,87,77,0.3,1007,-2,1,273,34
2019-12-31 18:00:00,-2,-3,0.0,3.4,1,1,26,11:53 AM,10:56 PM,08:14 AM,05:27 PM,-5,-9,-2,-9,39,87,78,0.1,1008,-2,1,270,32
2019-12-31 21:00:00,-2,-3,0.0,3.4,1,1,26,11:53 AM,10:56 PM,08:14 AM,05:27 PM,-5,-9,-2,-9,38,43,78,0.1,1009,-2,3,275,29
2020-01-01 00:00:00,4,-2,0.0,8.7,2,1,37,12:18 PM,11:55 PM,08:15 AM,05:28 PM,-5,-6,-2,-6,36,23,80,0.0,1011,-4,10,275,26
2020-01-01 03:00:00,4,-2,0.0,8.7,2,1,37,12:18 PM,11:55 PM,08:15 AM,05:28 PM,-4,-8,-2,-8,34,43,83,0.0,1011,-2,10,270,24
2020-01-01 06:00:00,4,-2,0.0,8.7,2,1,37,12:18 PM,11:55 PM,08:15 AM,05:28 PM,-4,-8,-2,-8,31,25,83,0.0,1011,-2,10,257,21
2020-01-01 09:00:00,4,-2,0.0,8.7,2,2,37,12:18 PM,11:55 PM,08:15 AM,05:28 PM,-4,-7,-2,-7,29,15,84,0.0,1010,-2,10,239,21
2020-01-01 12:00:00,4,-2,0.0,8.7,2,2,37,12:18 PM,11:55 PM,08:15 AM,05:28 PM,-3,-5,0,-5,31,15,77,0.0,1010,0,10,214,24
2020-01-01 15:00:00,4,-2,0.0,8.7,2,2,37,12:18 PM,11:55 PM,08:15 AM,05:28 PM,-2,-2,3,-2,39,6,68,0.0,1007,3,10,200,28
2020-01-01 18:00:00,4,-2,0.0,8.7,2,2,37,12:18 PM,11:55 PM,08:15 AM,05:28 PM,-1,-1,4,-1,47,5,67,0.0,1005,4,10,200,30
2020-01-01 21:00:00,4,-2,0.0,8.7,2,1,37,12:18 PM,11:55 PM,08:15 AM,05:28 PM,-1,-1,4,-1,60,33,71,0.0,1005,3,10,202,36
2020-01-02 00:00:00,6,1,0.0,6.9,2,1,44,12:42 PM,No moonset,08:15 AM,05:29 PM,-0,1,4,1,61,52,71,0.0,1004,3,10,199,36
2020-01-02 03:00:00,6,1,0.0,6.9,2,1,44,12:42 PM,No moonset,08:15 AM,05:29 PM,-1,-2,4,-2,59,13,73,0.0,1003,4,10,199,36
2020-01-02 06:00:00,6,1,0.0,6.9,2,1,44,12:42 PM,No moonset,08:15 AM,05:29 PM,-1,-2,3,-2,52,8,76,0.0,1003,3,10,203,32
2020-01-02 09:00:00,6,1,0.0,6.9,2,2,44,12:42 PM,No moonset,08:15 AM,05:29 PM,0,-2,3,-2,46,17,80,0.0,1004,3,10,205,30
2020-01-02 12:00:00,6,1,0.0,6.9,2,1,44,12:42 PM,No moonset,08:15 AM,05:29 PM,2,-1,5,-1,45,51,82,0.0,1004,5,10,207,32
2020-01-02 15:00:00,6,1,0.0,6.9,2,2,44,12:42 PM,No moonset,08:15 AM,05:29 PM,3,2,6,2,37,92,83,0.0,1003,6,10,216,26
2020-01-02 18:00:00,6,1,0.0,6.9,2,2,44,12:42 PM,No moonset,08:15 AM,05:29 PM,4,2,6,2,31,79,87,0.0,1003,6,10,219,18
2020-01-02 21:00:00,6,1,0.0,6.9,2,1,44,12:42 PM,No moonset,08:15 AM,05:29 PM,4,2,5,2,30,76,91,0.0,1005,4,10,218,15
2020-01-03 00:00:00,4,2,0.0,3.4,1,1,51,01:05 PM,12:54 AM,08:15 AM,05:30 PM,4,2,5,2,28,100,91,0.0,1006,3,10,230,14
2020-01-03 03:00:00,4,2,0.0,3.4,1,1,51,01:05 PM,12:54 AM,08:15 AM,05:30 PM,4,2,5,2,22,97,93,0.0,1007,5,7,280,12
2020-01-03 06:00:00,4,2,0.0,3.4,1,1,51,01:05 PM,12:54 AM,08:15 AM,05:30 PM,3,1,4,1,20,91,94,0.0,1008,4,5,345,13
2020-01-03 09:00:00,4,2,0.0,3.4,1,1,51,01:05 PM,12:54 AM,08:15 AM,05:30 PM,2,0,3,0,19,90,91,0.0,1009,3,10,238,12
2020-01-03 12:00:00,4,2,0.0,3.4,1,1,51,01:05 PM,12:54 AM,08:15 AM,05:30 PM,2,1,4,1,15,94,87,0.0,1010,4,10,124,12
2020-01-03 15:00:00,4,2,0.0,3.4,1,1,51,01:05 PM,12:54 AM,08:15 AM,05:30 PM,1,-0,3,-0,18,97,84,0.0,1010,3,10,354,15
2020-01-03 18:00:00,4,2,0.0,3.4,1,1,51,01:05 PM,12:54 AM,08:15 AM,05:30 PM,-0,-1,3,-1,15,91,82,0.0,1010,3,10,244,12
2020-01-03 21:00:00,4,2,0.0,3.4,1,1,51,01:05 PM,12:54 AM,08:15 AM,05:30 PM,-1,-1,2,-1,16,94,82,0.0,1011,2,10,127,12
2020-01-04 00:00:00,1,-1,2.0,3.4,1,1,59,01:30 PM,01:53 AM,08:15 AM,05:30 PM,-1,-2,2,-2,18,100,81,0.0,1012,2,10,347,14
2020-01-04 03:00:00,1,-1,2.0,3.4,1,1,59,01:30 PM,01:53 AM,08:15 AM,05:30 PM,-2,-3,1,-3,19,97,82,0.0,1012,1,10,339,14
2020-01-04 06:00:00,1,-1,2.0,3.4,1,1,59,01:30 PM,01:53 AM,08:15 AM,05:30 PM,-1,-4,1,-4,21,94,89,0.1,1013,1,7,344,15
