date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,2,0,2.0,2.8,1,1,26,11:57 AM,09:50 PM,08:59 AM,04:05 PM,-1,-6,-3,-6,42,100,97,0.8,999,-4,1,254,28
2019-12-31 03:00:00,2,0,2.0,2.8,1,1,26,11:57 AM,09:50 PM,08:59 AM,04:05 PM,-0,-5,1,-5,40,100,94,0.9,997,1,5,256,26
2019-12-31 06:00:00,2,0,2.0,2.8,1,1,26,11:57 AM,09:50 PM,08:59 AM,04:05 PM,0,-4,1,-4,33,100,92,0.1,995,1,10,260,21
2019-12-31 09:00:00,2,0,2.0,2.8,1,1,26,11:57 AM,09:50 PM,08:59 AM,04:05 PM,1,-3,2,-3,27,100,98,0.1,995,2,9,253,16
2019-12-31 12:00:00,2,0,2.0,2.8,1,1,26,11:57 AM,09:50 PM,08:59 AM,04:05 PM,2,-2,2,-2,25,100,98,0.1,993,2,10,254,15
2019-12-31 15:00:00,2,0,2.0,2.8,1,1,26,11:57 AM,09:50 PM,08:59 AM,04:05 PM,2,-2,2,-2,24,100,98,0.3,993,2,8,266,15
2019-12-31 18:00:00,2,0,2.0,2.8,1,1,26,11:57 AM,09:50 PM,08:59 AM,04:05 PM,2,-2,2,-2,21,100,98,0.2,993,2,4,273,13
2019-12-31 21:00:00,2,0,2.0,2.8,1,1,26,11:57 AM,09:50 PM,08:59 AM,04:05 PM,1,-3,1,-3,21,100,97,0.2,994,1,4,282,14
2020-01-01 00:00:00,-2,-10,1.3,6.7,1,1,37,12:12 PM,11:01 PM,08:59 AM,04:06 PM,1,-3,1,-3,22,100,98,0.3,995,1,5,296,14
2020-01-01 03:00:00,-2,-10,1.3,6.7,1,1,37,12:12 PM,11:01 PM,08:59 AM,04:06 PM,0,-4,1,-4,26,100,97,0.5,998,1,2,327,17
2020-01-01 06:00:00,-2,-10,1.3,6.7,1,1,37,12:12 PM,11:01 PM,08:59 AM,04:06 PM,-1,-6,-0,-6,34,100,91,0.4,1002,-0,2,348,23
2020-01-01 09:00:00,-2,-10,1.3,6.7,1,1,37,12:12 PM,11:01 PM,08:59 AM,04:06 PM,-5,-8,-2,-8,30,94,82,0.3,1007,-2,5,347,22
2020-01-01 12:00:00,-2,-10,1.3,6.7,1,2,37,12:12 PM,11:01 PM,08:59 AM,04:06 PM,-6,-9,-3,-9,23,57,77,0.1,1010,-3,10,331,19
2020-01-01 15:00:00,-2,-10,1.3,6.7,1,2,37,12:12 PM,11:01 PM,08:59 AM,04:06 PM,-7,-8,-3,-8,19,20,78,0.0,1012,-3,10,304,15
2020-01-01 18:00:00,-2,-10,1.3,6.7,1,1,37,12:12 PM,11:01 PM,08:59 AM,04:06 PM,-6,-8,-3,-8,22,67,84,0.0,1014,-4,10,288,15
2020-01-01 21:00:00,-2,-10,1.3,6.7,1,1,37,12:12 PM,11:01 PM,08:59 AM,04:06 PM,-4,-7,-3,-7,20,100,87,0.0,1014,-7,10,283,15
2020-01-02 00:00:00,1,-7,2.0,2.8,1,1,44,12:25 PM,No moonset,08:59 AM,04:08 PM,-3,-8,-5,-8,19,100,89,0.1,1013,-7,10,251,13
2020-01-02 03:00:00,1,-7,2.0,2.8,1,1,44,12:25 PM,No moonset,08:59 AM,04:08 PM,-2,-6,-1,-6,23,100,93,0.1,1012,-1,7,234,15
2020-01-02 06:00:00,1,-7,2.0,2.8,1,1,44,12:25 PM,No moonset,08:59 AM,04:08 PM,-2,-6,-1,-6,26,100,94,0.3,1010,-1,2,248,18
2020-01-02 09:00:00,1,-7,2.0,2.8,1,1,44,12:25 PM,No moonset,08:59 AM,04:08 PM,-1,-6,-0,-6,31,100,97,0.6,1009,-0,2,256,21
2020-01-02 12:00:00,1,-7,2.0,2.8,1,1,44,12:25 PM,No moonset,08:59 AM,04:08 PM,-0,-4,1,-4,30,98,94,1.3,1008,1,2,270,20
2020-01-02 15:00:00,1,-7,2.0,2.8,1,1,44,12:25 PM,No moonset,08:59 AM,04:08 PM,-1,-4,1,-4,24,95,90,0.9,1009,1,5,282,15
2020-01-02 18:00:00,1,-7,2.0,2.8,1,1,44,12:25 PM,No moonset,08:59 AM,04:08 PM,-1,-4,1,-4,23,97,92,0.0,1010,-1,10,275,14
2020-01-02 21:00:00,1,-7,2.0,2.8,1,1,44,12:25 PM,No moonset,08:59 AM,04:08 PM,0,-4,-1,-4,23,92,94,0.0,1011,-4,10,269,14
2020-01-03 00:00:00,2,-2,0.0,4.8,1,1,51,12:37 PM,12:11 AM,08:59 AM,04:09 PM,1,-5,-2,-5,21,97,96,0.0,1012,-4,10,260,13
2020-01-03 03:00:00,2,-2,0.0,4.8,1,1,51,12:37 PM,12:11 AM,08:59 AM,04:09 PM,0,-3,1,-3,21,96,95,0.0,1013,1,10,256,13
2020-01-03 06:00:00,2,-2,0.0,4.8,1,1,51,12:37 PM,12:11 AM,08:59 AM,04:09 PM,0,-3,1,-3,23,100,95,0.0,1012,1,10,243,14
2020-01-03 09:00:00,2,-2,0.0,4.8,1,1,51,12:37 PM,12:11 AM,08:59 AM,04:09 PM,1,-3,1,-3,26,99,94,0.0,1012,1,10,238,16
2020-01-03 12:00:00,2,-2,0.0,4.8,1,2,51,12:37 PM,12:11 AM,08:59 AM,04:09 PM,0,-3,2,-3,26,86,92,0.0,1011,2,10,236,17
2020-01-03 15:00:00,2,-2,0.0,4.8,1,2,51,12:37 PM,12:11 AM,08:59 AM,04:09 PM,-0,-4,1,-4,27,54,91,0.0,1010,1,10,235,17
2020-01-03 18:00:00,2,-2,0.0,4.8,1,2,51,12:37 PM,12:11 AM,08:59 AM,04:09 PM,-2,-6,-0,-6,30,39,91,0.0,1009,-0,10,232,18
2020-01-03 21:00:00,2,-2,0.0,4.8,1,1,51,12:37 PM,12:11 AM,08:59 AM,04:09 PM,-3,-6,-1,-6,28,39,91,0.0,1008,-1,10,232,18
2020-01-04 00:00:00,0,-9,0.8,2.8,2,1,59,12:50 PM,01:22 AM,08:58 AM,04:10 PM,-3,-7,-2,-7,28,31,88,0.0,1007,-2,10,229,18
2020-01-04 03:00:00,0,-9,0.8,2.8,2,1,59,12:50 PM,01:22 AM,08:58 AM,04:10 PM,-4,-7,-1,-7,27,45,84,0.0,1006,-1,10,231,18
2020-01-04 06:00:00,0,-9,0.8,2.8,2,1,59,12:50 PM,01:22 AM,08:58 AM,04:10 PM,-4,-6,-1,-6,26,86,82,0.0,1004,-1,10,240,18
2020-01-04 09:00:00,0,-9,0.8,2.8,2,1,59,12:50 PM,01:22 AM,08:58 AM,04:10 PM,-3,-5,-0,-5,23,100,84,0.0,1002,-0,10,239,17
2020-01-04 12:00:00,0,-9,0.8,2.8,2,1,59,12:50 PM,01:22 AM,08:58 AM,04:10 PM,-2,-5,0,-5,23,100,87,0.1,1001,0,8,224,17
2020-01-04 15:00:00,0,-9,0.8,2.8,2,1,59,12:50 PM,01:22 AM,08:58 AM,04:10 PM,-2,-6,-1,-6,24,100,94,0.3,999,-1,4,221,17
2020-01-04 18:00:00,0,-9,0.8,2.8,2,1,59,12:50 PM,01:22 AM,08:58 AM,04:10 PM,-1,-6,-1,-6,27,100,93,0.5,998,-2,2,229,18
2020-01-04 21:00:00,0,-9,0.8,2.8,2,1,59,12:50 PM,01:22 AM,08:58 AM,04:10 PM,-2,-6,-4,-6,25,92,87,0.4,999,-6,5,242,16
2020-01-05 00:00:00,-1,-3,0.0,6.7,1,1,66,01:04 PM,02:34 AM,08:58 AM,04:12 PM,-3,-7,-5,-7,22,83,85,0.0,1000,-6,10,242,14
2020-01-05 03:00:00,-1,-3,0.0,6.7,1,1,66,01:04 PM,02:34 AM,08:58 AM,04:12 PM,-3,-5,-1,-5,20,84,86,0.0,1003,-1,10,250,13
2020-01-05 06:00:00,-1,-3,0.0,6.7,1,1,66,01:04 PM,02:34 AM,08:58 AM,04:12 PM,-4,-7,-2,-7,21,72,90,0.0,1005,-2,10,256,14
2020-01-05 09:00:00,-1,-3,0.0,6.7,1,2,66,01:04 PM,02:34 AM,08:58 AM,04:12 PM,-4,-6,-2,-6,20,74,87,0.0,1008,-2,10,267,14
2020-01-05 12:00:00,-1,-3,0.0,6.7,1,1,66,01:04 PM,02:34 AM,08:58 AM,04:12 PM,-3,-5,-1,-5,19,35,83,0.0,1011,-1,10,271,13
2020-01-05 15:00:00,-1,-3,0.0,6.7,1,2,66,01:04 PM,02:34 AM,08:58 AM,04:12 PM,-3,-5,-1,-5,16,55,86,0.0,1014,-1,10,273,10
2020-01-05 18:00:00,-1,-3,0.0,6.7,1,2,66,01:04 PM,02:34 AM,08:58 AM,04:12 PM,-4,-6,-2,-6,15,34,90,0.0,1016,-2,10,272,9
2020-01-05 21:00:00,-1,-3,0.0,6.7,1,1,66,01:04 PM,02:34 AM,08:58 AM,04:12 PM,-4,-7,-3,-7,17,35,89,0.0,1019,-3,10,279,10
2020-01-06 00:00:00,-2,-6,0.2,2.8,1,1,73,01:21 PM,03:48 AM,08:57 AM,04:13 PM,-5,-8,-3,-8,17,60,91,0.0,1021,-3,7,291,11
2020-01-06 03:00:00,-2,-6,0.2,2.8,1,1,73,01:21 PM,03:48 AM,08:57 AM,04:13 PM,-4,-7,-3,-7,14,82,94,0.0,1023,-3,5,304,9
2020-01-06 06:00:00,-2,-6,0.2,2.8,1,1,73,01:21 PM,03:48 AM,08:57 AM,04:13 PM,-3,-4,-2,-4,10,100,90,0.1,1024,-2,10,328,6
2020-01-06 09:00:00,-2,-6,0.2,2.8,1,1,73,01:21 PM,03:48 AM,08:57 AM,04:13 PM,-4,-4,-2,-4,7,97,86,0.1,1025,-2,10,304,5
2020-01-06 12:00:00,-2,-6,0.2,2.8,1,1,73,01:21 PM,03:48 AM,08:57 AM,04:13 PM,-4,-5,-2,-5,10,91,82,0.0,1025,-2,10,254,7
2020-01-06 15:00:00,-2,-6,0.2,2.8,1,2,73,01:21 PM,03:48 AM,08:57 AM,04:13 PM,-5,-6,-3,-6,13,75,85,0.1,1025,-3,10,229,9
2020-01-06 18:00:00,-2,-6,0.2,2.8,1,1,73,01:21 PM,03:48 AM,08:57 AM,04:13 PM,-5,-8,-4,-8,15,60,90,0.0,1024,-4,10,219,10
2020-01-06 21:00:00,-2,-6,0.2,2.8,1,1,73,01:21 PM,03:48 AM,08:57 AM,04:13 PM,-6,-7,-3,-7,17,93,87,0.0,1024,-5,10,221,11
2020-01-07 00:00:00,-3,-9,0.1,2.8,1,1,80,01:42 PM,05:04 AM,08:57 AM,04:14 PM,-6,-7,-3,-7,17,79,87,0.0,1023,-5,10,223,11
2020-01-07 03:00:00,-3,-9,0.1,2.8,1,1,80,01:42 PM,05:04 AM,08:57 AM,04:14 PM,-6,-9,-4,-9,16,86,89,0.0,1024,-4,10,220,11
2020-01-07 06:00:00,-3,-9,0.1,2.8,1,1,80,01:42 PM,05:04 AM,08:57 AM,04:14 PM,-6,-9,-4,-9,17,94,90,0.0,1024,-4,10,226,11
2020-01-07 09:00:00,-3,-9,0.1,2.8,1,1,80,01:42 PM,05:04 AM,08:57 AM,04:14 PM,-5,-8,-4,-8,15,83,92,0.0,1025,-4,10,230,11
