date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,-1,-11,0.0,5.8,2,1,26,01:00 PM,10:30 PM,10:19 AM,04:21 PM,-2,-2,1,-2,16,2,83,0.0,1005,-1,10,240,8
2019-12-31 03:00:00,-1,-11,0.0,5.8,2,1,26,01:00 PM,10:30 PM,10:19 AM,04:21 PM,-3,-3,-0,-3,17,13,80,0.0,1008,-0,10,286,8
2019-12-31 06:00:00,-1,-11,0.0,5.8,2,1,26,01:00 PM,10:30 PM,10:19 AM,04:21 PM,-4,-3,-1,-3,15,6,80,0.0,1013,-1,10,303,7
2019-12-31 09:00:00,-1,-11,0.0,5.8,2,2,26,01:00 PM,10:30 PM,10:19 AM,04:21 PM,-5,-5,-2,-5,13,5,78,0.0,1018,-2,10,303,6
2019-12-31 12:00:00,-1,-11,0.0,5.8,2,2,26,01:00 PM,10:30 PM,10:19 AM,04:21 PM,-6,-4,-2,-4,11,12,78,0.0,1021,-2,10,290,5
2019-12-31 15:00:00,-1,-11,0.0,5.8,2,2,26,01:00 PM,10:30 PM,10:19 AM,04:21 PM,-6,-6,-3,-6,12,37,79,0.0,1024,-3,10,286,5
2019-12-31 18:00:00,-1,-11,0.0,5.8,2,2,26,01:00 PM,10:30 PM,10:19 AM,04:21 PM,-6,-7,-4,-7,10,83,77,0.0,1024,-6,10,284,5
2019-12-31 21:00:00,-1,-11,0.0,5.8,2,1,26,01:00 PM,10:30 PM,10:19 AM,04:21 PM,-6,-10,-6,-10,12,100,76,0.0,1024,-10,10,274,6
2020-01-01 00:00:00,-1,-8,0.0,5.8,1,1,37,01:09 PM,11:47 PM,10:19 AM,04:22 PM,-5,-5,-2,-5,14,100,72,0.0,1023,-4,10,253,7
2020-01-01 03:00:00,-1,-8,0.0,5.8,1,1,37,01:09 PM,11:47 PM,10:19 AM,04:22 PM,-3,-2,0,-2,13,36,81,0.0,1019,0,10,231,7
2020-01-01 06:00:00,-1,-8,0.0,5.8,1,1,37,01:09 PM,11:47 PM,10:19 AM,04:22 PM,-3,-4,-1,-4,12,4,89,0.0,1017,-1,10,220,6
2020-01-01 09:00:00,-1,-8,0.0,5.8,1,2,37,01:09 PM,11:47 PM,10:19 AM,04:22 PM,-4,-4,-3,-4,10,23,90,0.0,1017,-3,10,239,5
2020-01-01 12:00:00,-1,-8,0.0,5.8,1,2,37,01:09 PM,11:47 PM,10:19 AM,04:22 PM,-3,-3,-2,-3,10,17,87,0.0,1017,-2,10,237,5
2020-01-01 15:00:00,-1,-8,0.0,5.8,1,2,37,01:09 PM,11:47 PM,10:19 AM,04:22 PM,-4,-2,-2,-2,8,46,85,0.0,1016,-2,10,242,4
2020-01-01 18:00:00,-1,-8,0.0,5.8,1,1,37,01:09 PM,11:47 PM,10:19 AM,04:22 PM,-2,-5,-3,-5,7,24,85,0.0,1015,-5,10,226,4
2020-01-01 21:00:00,-1,-8,0.0,5.8,1,1,37,01:09 PM,11:47 PM,10:19 AM,04:22 PM,-2,-7,-5,-7,8,5,86,0.0,1014,-7,10,215,4
2020-01-02 00:00:00,1,-5,0.0,5.8,2,1,44,01:17 PM,No moonset,10:18 AM,04:23 PM,-2,-4,-2,-4,10,55,87,0.0,1013,-3,10,217,5
2020-01-02 03:00:00,1,-5,0.0,5.8,2,1,44,01:17 PM,No moonset,10:18 AM,04:23 PM,-2,-2,-0,-2,13,54,90,0.0,1011,-0,10,214,6
2020-01-02 06:00:00,1,-5,0.0,5.8,2,1,44,01:17 PM,No moonset,10:18 AM,04:23 PM,-2,-3,-1,-3,12,45,91,0.0,1010,-1,10,218,6
2020-01-02 09:00:00,1,-5,0.0,5.8,2,2,44,01:17 PM,No moonset,10:18 AM,04:23 PM,-2,-3,-1,-3,13,28,92,0.0,1009,-1,10,205,6
2020-01-02 12:00:00,1,-5,0.0,5.8,2,2,44,01:17 PM,No moonset,10:18 AM,04:23 PM,-1,-3,0,-3,18,19,92,0.0,1007,0,10,192,9
2020-01-02 15:00:00,1,-5,0.0,5.8,2,2,44,01:17 PM,No moonset,10:18 AM,04:23 PM,-0,-3,1,-3,30,25,90,0.0,1005,1,10,193,15
