date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,9,4,0.0,6.9,2,1,26,11:59 AM,11:04 PM,08:20 AM,05:38 PM,0,-1,4,-1,32,74,77,0.0,1007,4,10,24,22
2019-12-31 03:00:00,9,4,0.0,6.9,2,1,26,11:59 AM,11:04 PM,08:20 AM,05:38 PM,1,0,4,0,24,77,82,0.0,1006,4,10,126,17
2019-12-31 06:00:00,9,4,0.0,6.9,2,1,26,11:59 AM,11:04 PM,08:20 AM,05:38 PM,2,1,4,1,18,96,85,0.0,1005,4,10,326,12
2019-12-31 09:00:00,9,4,0.0,6.9,2,2,26,11:59 AM,11:04 PM,08:20 AM,05:38 PM,2,3,5,3,17,89,81,0.0,1005,5,10,306,12
2019-12-31 12:00:00,9,4,0.0,6.9,2,3,26,11:59 AM,11:04 PM,08:20 AM,05:38 PM,1,5,7,5,19,47,66,0.0,1004,7,10,279,14
2019-12-31 15:00:00,9,4,0.0,6.9,2,2,26,11:59 AM,11:04 PM,08:20 AM,05:38 PM,-1,5,8,5,27,36,54,0.0,1003,8,10,256,21
2019-12-31 18:00:00,9,4,0.0,6.9,2,2,26,11:59 AM,11:04 PM,08:20 AM,05:38 PM,-1,4,8,4,32,84,57,0.0,1002,8,10,255,22
2019-12-31 21:00:00,9,4,0.0,6.9,2,1,26,11:59 AM,11:04 PM,08:20 AM,05:38 PM,-1,2,6,2,32,57,60,0.0,1003,6,10,258,21
2020-01-01 00:00:00,4,-0,0.0,8.7,1,1,37,12:25 PM,No moonset,08:20 AM,05:39 PM,-3,-0,4,-0,28,77,61,0.2,1004,4,9,289,19
2020-01-01 03:00:00,4,-0,0.0,8.7,1,1,37,12:25 PM,No moonset,08:20 AM,05:39 PM,-6,-2,3,-2,29,58,51,0.1,1005,3,9,274,20
2020-01-01 06:00:00,4,-0,0.0,8.7,1,1,37,12:25 PM,No moonset,08:20 AM,05:39 PM,-7,-4,2,-4,33,13,54,0.0,1006,2,10,277,23
2020-01-01 09:00:00,4,-0,0.0,8.7,1,2,37,12:25 PM,No moonset,08:20 AM,05:39 PM,-8,-4,1,-4,31,10,51,0.0,1007,1,10,276,23
2020-01-01 12:00:00,4,-0,0.0,8.7,1,2,37,12:25 PM,No moonset,08:20 AM,05:39 PM,-8,-3,2,-3,30,7,48,0.0,1007,2,10,273,24
2020-01-01 15:00:00,4,-0,0.0,8.7,1,2,37,12:25 PM,No moonset,08:20 AM,05:39 PM,-7,-1,4,-1,29,8,45,0.0,1007,4,10,277,24
2020-01-01 18:00:00,4,-0,0.0,8.7,1,2,37,12:25 PM,No moonset,08:20 AM,05:39 PM,-6,-1,4,-1,29,9,49,0.0,1009,4,10,277,22
2020-01-01 21:00:00,4,-0,0.0,8.7,1,1,37,12:25 PM,No moonset,08:20 AM,05:39 PM,-6,-1,2,-1,26,6,54,0.0,1011,2,10,276,19
2020-01-02 00:00:00,7,2,0.0,8.7,3,1,44,12:49 PM,12:02 AM,08:20 AM,05:40 PM,-5,0,2,0,18,1,56,0.0,1013,1,10,270,14
2020-01-02 03:00:00,7,2,0.0,8.7,3,1,44,12:49 PM,12:02 AM,08:20 AM,05:40 PM,-4,-0,3,-0,16,6,60,0.0,1014,3,10,260,12
2020-01-02 06:00:00,7,2,0.0,8.7,3,1,44,12:49 PM,12:02 AM,08:20 AM,05:40 PM,-4,-2,2,-2,20,12,67,0.0,1014,2,10,251,13
2020-01-02 09:00:00,7,2,0.0,8.7,3,2,44,12:49 PM,12:02 AM,08:20 AM,05:40 PM,-3,-1,2,-1,19,6,68,0.0,1015,2,10,239,13
2020-01-02 12:00:00,7,2,0.0,8.7,3,2,44,12:49 PM,12:02 AM,08:20 AM,05:40 PM,-3,2,5,2,17,17,58,0.0,1015,5,10,229,14
2020-01-02 15:00:00,7,2,0.0,8.7,3,2,44,12:49 PM,12:02 AM,08:20 AM,05:40 PM,-3,5,7,5,20,54,49,0.0,1014,7,10,222,15
2020-01-02 18:00:00,7,2,0.0,8.7,3,3,44,12:49 PM,12:02 AM,08:20 AM,05:40 PM,-1,5,7,5,20,69,58,0.0,1013,7,10,216,14
2020-01-02 21:00:00,7,2,0.0,8.7,3,1,44,12:49 PM,12:02 AM,08:20 AM,05:40 PM,2,4,6,4,21,15,73,0.0,1013,6,10,222,13
2020-01-03 00:00:00,8,6,0.0,3.5,2,1,51,01:13 PM,01:00 AM,08:20 AM,05:41 PM,2,5,6,5,13,51,76,0.0,1012,6,10,232,8
2020-01-03 03:00:00,8,6,0.0,3.5,2,1,51,01:13 PM,01:00 AM,08:20 AM,05:41 PM,2,5,6,5,13,100,74,0.0,1010,6,10,248,7
2020-01-03 06:00:00,8,6,0.0,3.5,2,1,51,01:13 PM,01:00 AM,08:20 AM,05:41 PM,3,5,6,5,13,100,79,0.6,1011,6,10,249,8
2020-01-03 09:00:00,8,6,0.0,3.5,2,2,51,01:13 PM,01:00 AM,08:20 AM,05:41 PM,5,4,6,4,12,100,92,1.9,1011,6,9,242,8
2020-01-03 12:00:00,8,6,0.0,3.5,2,2,51,01:13 PM,01:00 AM,08:20 AM,05:41 PM,6,6,7,6,9,99,93,2.0,1010,7,9,258,6
2020-01-03 15:00:00,8,6,0.0,3.5,2,2,51,01:13 PM,01:00 AM,08:20 AM,05:41 PM,7,7,8,7,8,98,91,1.6,1009,8,9,247,6
2020-01-03 18:00:00,8,6,0.0,3.5,2,2,51,01:13 PM,01:00 AM,08:20 AM,05:41 PM,7,7,8,7,9,99,93,0.0,1009,8,7,221,6
2020-01-03 21:00:00,8,6,0.0,3.5,2,1,51,01:13 PM,01:00 AM,08:20 AM,05:41 PM,7,7,8,7,12,97,95,0.1,1010,8,2,228,8
2020-01-04 00:00:00,13,6,0.0,3.5,3,1,59,01:38 PM,01:58 AM,08:20 AM,05:42 PM,7,7,8,7,10,93,95,0.8,1010,8,4,232,6
2020-01-04 03:00:00,13,6,0.0,3.5,3,1,59,01:38 PM,01:58 AM,08:20 AM,05:42 PM,7,7,8,7,7,100,98,2.4,1008,8,8,136,4
2020-01-04 06:00:00,13,6,0.0,3.5,3,1,59,01:38 PM,01:58 AM,08:20 AM,05:42 PM,7,7,8,7,6,100,99,3.7,1007,8,7,115,4
2020-01-04 09:00:00,13,6,0.0,3.5,3,2,59,01:38 PM,01:58 AM,08:20 AM,05:42 PM,8,8,8,8,10,100,99,3.2,1006,8,5,162,6
2020-01-04 12:00:00,13,6,0.0,3.5,3,3,59,01:38 PM,01:58 AM,08:20 AM,05:42 PM,10,9,10,9,16,98,96,0.1,1004,10,5,218,9
2020-01-04 15:00:00,13,6,0.0,3.5,3,3,59,01:38 PM,01:58 AM,08:20 AM,05:42 PM,10,11,12,11,17,94,88,0.0,1001,12,10,246,10
2020-01-04 18:00:00,13,6,0.0,3.5,3,3,59,01:38 PM,01:58 AM,08:20 AM,05:42 PM,8,11,12,11,19,90,78,0.1,1001,12,10,293,12
2020-01-04 21:00:00,13,6,0.0,3.5,3,1,59,01:38 PM,01:58 AM,08:20 AM,05:42 PM,4,6,9,6,28,90,70,0.3,1001,9,10,333,19
2020-01-05 00:00:00,4,-1,0.0,8.7,1,1,66,02:05 PM,02:58 AM,08:20 AM,05:43 PM,0,1,6,1,33,92,68,1.0,1001,6,9,330,24
2020-01-05 03:00:00,4,-1,0.0,8.7,1,1,66,02:05 PM,02:58 AM,08:20 AM,05:43 PM,-4,-1,4,-1,40,65,59,0.9,1002,4,9,319,30
2020-01-05 06:00:00,4,-1,0.0,8.7,1,1,66,02:05 PM,02:58 AM,08:20 AM,05:43 PM,-6,-4,2,-4,44,32,55,0.0,1005,2,10,316,32
