date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,16,6,0.0,7.0,4,1,26,10:48 AM,10:00 PM,07:12 AM,05:09 PM,-4,7,8,7,16,9,43,0.0,1019,8,10,69,8
2019-12-31 03:00:00,16,6,0.0,7.0,4,1,26,10:48 AM,10:00 PM,07:12 AM,05:09 PM,-4,6,7,6,14,18,46,0.0,1019,7,10,63,6
2019-12-31 06:00:00,16,6,0.0,7.0,4,2,26,10:48 AM,10:00 PM,07:12 AM,05:09 PM,-4,5,6,5,12,45,49,0.0,1019,6,10,75,5
2019-12-31 09:00:00,16,6,0.0,7.0,4,3,26,10:48 AM,10:00 PM,07:12 AM,05:09 PM,-3,9,9,9,9,74,44,0.0,1021,9,10,106,5
2019-12-31 12:00:00,16,6,0.0,7.0,4,4,26,10:48 AM,10:00 PM,07:12 AM,05:09 PM,-3,14,14,14,10,41,31,0.0,1021,14,10,144,8
2019-12-31 15:00:00,16,6,0.0,7.0,4,4,26,10:48 AM,10:00 PM,07:12 AM,05:09 PM,-5,15,15,15,14,8,26,0.0,1020,15,10,150,11
2019-12-31 18:00:00,16,6,0.0,7.0,4,4,26,10:48 AM,10:00 PM,07:12 AM,05:09 PM,-4,11,11,11,9,13,35,0.0,1020,11,10,124,5
2019-12-31 21:00:00,16,6,0.0,7.0,4,1,26,10:48 AM,10:00 PM,07:12 AM,05:09 PM,-5,8,8,8,8,23,40,0.0,1021,8,10,42,4
2020-01-01 00:00:00,17,6,0.0,7.0,4,1,37,11:19 AM,10:55 PM,07:12 AM,05:09 PM,-6,6,7,6,12,37,41,0.0,1021,7,10,41,6
2020-01-01 03:00:00,17,6,0.0,7.0,4,1,37,11:19 AM,10:55 PM,07:12 AM,05:09 PM,-6,5,6,5,15,53,40,0.0,1021,6,10,42,7
2020-01-01 06:00:00,17,6,0.0,7.0,4,2,37,11:19 AM,10:55 PM,07:12 AM,05:09 PM,-6,6,7,6,15,65,39,0.0,1021,7,10,38,7
2020-01-01 09:00:00,17,6,0.0,7.0,4,4,37,11:19 AM,10:55 PM,07:12 AM,05:09 PM,-4,10,11,10,10,65,36,0.0,1022,11,10,111,5
2020-01-01 12:00:00,17,6,0.0,7.0,4,5,37,11:19 AM,10:55 PM,07:12 AM,05:09 PM,-4,16,16,16,4,40,25,0.0,1023,16,10,244,4
2020-01-01 15:00:00,17,6,0.0,7.0,4,4,37,11:19 AM,10:55 PM,07:12 AM,05:09 PM,-5,16,16,16,4,52,25,0.0,1021,16,10,204,4
2020-01-01 18:00:00,17,6,0.0,7.0,4,3,37,11:19 AM,10:55 PM,07:12 AM,05:09 PM,-4,12,12,12,5,99,32,0.0,1022,12,10,149,3
2020-01-01 21:00:00,17,6,0.0,7.0,4,1,37,11:19 AM,10:55 PM,07:12 AM,05:09 PM,-5,10,11,10,11,100,34,0.0,1023,11,10,14,5
2020-01-02 00:00:00,17,10,0.0,3.7,4,1,44,11:47 AM,11:49 PM,07:12 AM,05:10 PM,-6,10,10,10,11,83,32,0.0,1024,10,10,23,5
2020-01-02 03:00:00,17,10,0.0,3.7,4,1,44,11:47 AM,11:49 PM,07:12 AM,05:10 PM,-6,10,10,10,10,65,31,0.0,1023,10,10,31,5
2020-01-02 06:00:00,17,10,0.0,3.7,4,3,44,11:47 AM,11:49 PM,07:12 AM,05:10 PM,-7,10,10,10,12,96,30,0.0,1023,10,10,124,5
