date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,26,24,0.0,7.3,7,1,26,10:48 AM,10:54 PM,06:33 AM,06:09 PM,22,27,27,24,12,45,90,0.0,1011,24,10,337,7
2019-12-31 03:00:00,26,24,0.0,7.3,7,1,26,10:48 AM,10:54 PM,06:33 AM,06:09 PM,22,26,26,24,13,70,91,0.5,1010,24,9,329,8
2019-12-31 06:00:00,26,24,0.0,7.3,7,1,26,10:48 AM,10:54 PM,06:33 AM,06:09 PM,23,26,26,24,14,74,94,2.8,1010,24,8,330,8
2019-12-31 09:00:00,26,24,0.0,7.3,7,6,26,10:48 AM,10:54 PM,06:33 AM,06:09 PM,24,28,28,25,9,90,92,2.3,1012,25,9,331,6
2019-12-31 12:00:00,26,24,0.0,7.3,7,6,26,10:48 AM,10:54 PM,06:33 AM,06:09 PM,24,30,30,26,10,83,88,1.7,1012,26,10,338,7
2019-12-31 15:00:00,26,24,0.0,7.3,7,6,26,10:48 AM,10:54 PM,06:33 AM,06:09 PM,24,30,30,26,12,67,84,0.6,1009,26,10,336,8
2019-12-31 18:00:00,26,24,0.0,7.3,7,6,26,10:48 AM,10:54 PM,06:33 AM,06:09 PM,23,28,28,26,13,35,85,0.0,1009,26,10,323,8
2019-12-31 21:00:00,26,24,0.0,7.3,7,1,26,10:48 AM,10:54 PM,06:33 AM,06:09 PM,22,27,27,24,13,17,89,0.0,1012,24,10,319,8
2020-01-01 00:00:00,29,23,0.0,7.3,7,1,37,11:27 AM,11:39 PM,06:33 AM,06:10 PM,22,26,26,23,17,21,92,0.0,1012,23,10,329,9
2020-01-01 03:00:00,29,23,0.0,7.3,7,1,37,11:27 AM,11:39 PM,06:33 AM,06:10 PM,22,25,25,23,17,16,93,0.0,1011,23,10,329,9
2020-01-01 06:00:00,29,23,0.0,7.3,7,1,37,11:27 AM,11:39 PM,06:33 AM,06:10 PM,22,25,25,23,12,22,93,0.0,1011,23,10,335,7
2020-01-01 09:00:00,29,23,0.0,7.3,7,7,37,11:27 AM,11:39 PM,06:33 AM,06:10 PM,23,30,30,27,10,68,79,0.4,1012,27,9,121,8
2020-01-01 12:00:00,29,23,0.0,7.3,7,6,37,11:27 AM,11:39 PM,06:33 AM,06:10 PM,24,33,33,28,14,78,76,3.1,1011,28,8,243,9
2020-01-01 15:00:00,29,23,0.0,7.3,7,6,37,11:27 AM,11:39 PM,06:33 AM,06:10 PM,25,32,32,28,13,58,82,5.5,1009,28,7,334,7
2020-01-01 18:00:00,29,23,0.0,7.3,7,6,37,11:27 AM,11:39 PM,06:33 AM,06:10 PM,24,29,29,26,12,65,89,8.4,1009,26,4,321,6
2020-01-01 21:00:00,29,23,0.0,7.3,7,1,37,11:27 AM,11:39 PM,06:33 AM,06:10 PM,23,26,26,24,12,40,94,3.2,1011,24,2,334,6
2020-01-02 00:00:00,30,22,0.0,10.2,6,1,44,12:05 PM,No moonset,06:33 AM,06:10 PM,22,25,25,23,10,22,94,0.0,1011,23,2,338,6
2020-01-02 03:00:00,30,22,0.0,10.2,6,1,44,12:05 PM,No moonset,06:33 AM,06:10 PM,22,25,25,23,10,23,94,0.0,1010,23,2,327,5
2020-01-02 06:00:00,30,22,0.0,10.2,6,1,44,12:05 PM,No moonset,06:33 AM,06:10 PM,22,25,25,23,10,24,94,0.0,1011,23,2,326,6
2020-01-02 09:00:00,30,22,0.0,10.2,6,6,44,12:05 PM,No moonset,06:33 AM,06:10 PM,22,29,29,26,6,24,79,0.0,1013,26,7,348,5
2020-01-02 12:00:00,30,22,0.0,10.2,6,7,44,12:05 PM,No moonset,06:33 AM,06:10 PM,23,33,33,29,6,42,69,0.5,1012,29,10,177,5
2020-01-02 15:00:00,30,22,0.0,10.2,6,6,44,12:05 PM,No moonset,06:33 AM,06:10 PM,24,32,32,28,10,64,80,4.3,1010,28,8,251,6
2020-01-02 18:00:00,30,22,0.0,10.2,6,5,44,12:05 PM,No moonset,06:33 AM,06:10 PM,23,28,28,25,14,59,90,8.0,1010,25,4,335,6
2020-01-02 21:00:00,30,22,0.0,10.2,6,1,44,12:05 PM,No moonset,06:33 AM,06:10 PM,22,25,25,23,12,39,93,3.0,1012,23,8,336,6
2020-01-03 00:00:00,31,22,0.0,10.2,7,1,51,12:43 PM,12:23 AM,06:34 AM,06:11 PM,21,25,25,22,10,25,94,0.0,1013,22,5,335,5
2020-01-03 03:00:00,31,22,0.0,10.2,7,1,51,12:43 PM,12:23 AM,06:34 AM,06:11 PM,21,25,25,22,9,22,95,0.0,1012,22,2,329,5
2020-01-03 06:00:00,31,22,0.0,10.2,7,1,51,12:43 PM,12:23 AM,06:34 AM,06:11 PM,21,25,25,22,10,19,95,0.0,1013,22,2,333,5
2020-01-03 09:00:00,31,22,0.0,10.2,7,6,51,12:43 PM,12:23 AM,06:34 AM,06:11 PM,22,30,30,26,6,9,78,0.0,1014,26,7,128,4
2020-01-03 12:00:00,31,22,0.0,10.2,7,7,51,12:43 PM,12:23 AM,06:34 AM,06:11 PM,23,34,34,30,6,4,65,0.0,1014,30,10,113,5
2020-01-03 15:00:00,31,22,0.0,10.2,7,7,51,12:43 PM,12:23 AM,06:34 AM,06:11 PM,23,34,34,29,8,57,70,0.2,1012,29,10,210,6
2020-01-03 18:00:00,31,22,0.0,10.2,7,6,51,12:43 PM,12:23 AM,06:34 AM,06:11 PM,23,29,29,26,16,82,85,0.6,1012,26,9,295,10
2020-01-03 21:00:00,31,22,0.0,10.2,7,1,51,12:43 PM,12:23 AM,06:34 AM,06:11 PM,22,26,26,24,16,31,92,0.2,1014,24,10,335,9
