date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,25,19,0.0,12.9,6,1,26,10:20 AM,10:58 PM,05:47 AM,06:36 PM,18,21,21,21,15,82,84,0.0,1016,21,10,184,12
2019-12-31 03:00:00,25,19,0.0,12.9,6,1,26,10:20 AM,10:58 PM,05:47 AM,06:36 PM,17,20,20,20,16,84,85,0.0,1014,20,10,179,11
2019-12-31 06:00:00,25,19,0.0,12.9,6,1,26,10:20 AM,10:58 PM,05:47 AM,06:36 PM,18,21,23,21,13,84,85,0.0,1014,21,10,170,10
2019-12-31 09:00:00,25,19,0.0,12.9,6,5,26,10:20 AM,10:58 PM,05:47 AM,06:36 PM,18,25,25,23,14,44,77,0.0,1014,23,10,183,12
2019-12-31 12:00:00,25,19,0.0,12.9,6,6,26,10:20 AM,10:58 PM,05:47 AM,06:36 PM,18,26,26,24,18,15,68,0.0,1013,24,10,196,16
2019-12-31 15:00:00,25,19,0.0,12.9,6,6,26,10:20 AM,10:58 PM,05:47 AM,06:36 PM,18,26,26,24,19,16,67,0.0,1013,24,10,199,17
2019-12-31 18:00:00,25,19,0.0,12.9,6,6,26,10:20 AM,10:58 PM,05:47 AM,06:36 PM,17,25,25,22,19,22,73,0.0,1014,22,10,187,14
2019-12-31 21:00:00,25,19,0.0,12.9,6,1,26,10:20 AM,10:58 PM,05:47 AM,06:36 PM,17,21,22,21,16,21,77,0.0,1016,21,10,172,11
2020-01-01 00:00:00,25,20,0.0,12.9,6,1,37,11:06 AM,11:36 PM,05:47 AM,06:36 PM,17,20,20,20,15,34,82,0.0,1016,20,10,175,10
2020-01-01 03:00:00,25,20,0.0,12.9,6,1,37,11:06 AM,11:36 PM,05:47 AM,06:36 PM,18,20,20,20,14,76,86,0.0,1015,20,10,179,10
2020-01-01 06:00:00,25,20,0.0,12.9,6,1,37,11:06 AM,11:36 PM,05:47 AM,06:36 PM,18,21,23,21,12,90,86,0.0,1015,21,10,175,10
2020-01-01 09:00:00,25,20,0.0,12.9,6,5,37,11:06 AM,11:36 PM,05:47 AM,06:36 PM,19,25,25,23,14,60,78,0.0,1016,23,10,196,12
2020-01-01 12:00:00,25,20,0.0,12.9,6,6,37,11:06 AM,11:36 PM,05:47 AM,06:36 PM,18,26,26,24,16,27,70,0.0,1015,24,10,204,14
2020-01-01 15:00:00,25,20,0.0,12.9,6,6,37,11:06 AM,11:36 PM,05:47 AM,06:36 PM,18,26,26,25,19,18,67,0.0,1013,25,10,193,17
2020-01-01 18:00:00,25,20,0.0,12.9,6,6,37,11:06 AM,11:36 PM,05:47 AM,06:36 PM,17,25,25,23,20,27,72,0.0,1014,23,10,177,15
2020-01-01 21:00:00,25,20,0.0,12.9,6,1,37,11:06 AM,11:36 PM,05:47 AM,06:36 PM,17,21,24,21,18,30,75,0.0,1016,21,10,173,12
2020-01-02 00:00:00,24,20,0.0,12.9,6,1,44,11:51 AM,No moonset,05:48 AM,06:36 PM,17,21,22,21,15,47,78,0.0,1017,21,10,171,10
2020-01-02 03:00:00,24,20,0.0,12.9,6,1,44,11:51 AM,No moonset,05:48 AM,06:36 PM,17,20,20,20,13,49,82,0.0,1016,20,10,181,9
2020-01-02 06:00:00,24,20,0.0,12.9,6,1,44,11:51 AM,No moonset,05:48 AM,06:36 PM,18,21,23,21,10,70,85,0.0,1017,21,10,193,8
2020-01-02 09:00:00,24,20,0.0,12.9,6,5,44,11:51 AM,No moonset,05:48 AM,06:36 PM,19,25,25,22,13,57,79,0.0,1017,22,10,203,11
2020-01-02 12:00:00,24,20,0.0,12.9,6,6,44,11:51 AM,No moonset,05:48 AM,06:36 PM,18,26,26,24,18,28,72,0.0,1016,24,10,205,15
2020-01-02 15:00:00,24,20,0.0,12.9,6,6,44,11:51 AM,No moonset,05:48 AM,06:36 PM,18,26,26,24,19,23,69,0.0,1015,24,10,197,17
2020-01-02 18:00:00,24,20,0.0,12.9,6,6,44,11:51 AM,No moonset,05:48 AM,06:36 PM,18,25,25,23,18,30,72,0.0,1016,23,10,177,15
2020-01-02 21:00:00,24,20,0.0,12.9,6,1,44,11:51 AM,No moonset,05:48 AM,06:36 PM,18,22,25,22,16,27,77,0.0,1017,22,10,168,12
2020-01-03 00:00:00,23,20,0.0,10.6,6,1,51,12:36 PM,12:12 AM,05:48 AM,06:37 PM,17,21,22,21,15,27,81,0.0,1017,21,10,172,10
2020-01-03 03:00:00,23,20,0.0,10.6,6,1,51,12:36 PM,12:12 AM,05:48 AM,06:37 PM,17,20,20,20,17,49,84,0.0,1016,20,10,169,12
2020-01-03 06:00:00,23,20,0.0,10.6,6,1,51,12:36 PM,12:12 AM,05:48 AM,06:37 PM,18,21,21,21,15,70,86,0.0,1017,21,10,173,13
2020-01-03 09:00:00,23,20,0.0,10.6,6,5,51,12:36 PM,12:12 AM,05:48 AM,06:37 PM,19,22,23,22,16,87,82,0.0,1018,22,10,186,14
2020-01-03 12:00:00,23,20,0.0,10.6,6,5,51,12:36 PM,12:12 AM,05:48 AM,06:37 PM,18,25,25,23,17,73,77,0.0,1017,23,10,201,14
2020-01-03 15:00:00,23,20,0.0,10.6,6,6,51,12:36 PM,12:12 AM,05:48 AM,06:37 PM,18,25,25,23,18,45,74,0.0,1016,23,10,193,16
2020-01-03 18:00:00,23,20,0.0,10.6,6,6,51,12:36 PM,12:12 AM,05:48 AM,06:37 PM,17,22,22,22,21,33,76,0.0,1016,22,10,173,15
2020-01-03 21:00:00,23,20,0.0,10.6,6,1,51,12:36 PM,12:12 AM,05:48 AM,06:37 PM,17,21,21,21,20,29,80,0.0,1018,21,10,168,13
2020-01-04 00:00:00,24,20,0.0,11.9,6,1,59,01:22 PM,12:49 AM,05:49 AM,06:37 PM,18,20,20,20,18,47,85,0.0,1018,20,10,171,12
2020-01-04 03:00:00,24,20,0.0,11.9,6,1,59,01:22 PM,12:49 AM,05:49 AM,06:37 PM,18,20,20,20,15,76,87,0.0,1018,20,10,183,10
2020-01-04 06:00:00,24,20,0.0,11.9,6,1,59,01:22 PM,12:49 AM,05:49 AM,06:37 PM,19,21,23,21,10,73,87,0.0,1019,21,10,193,8
2020-01-04 09:00:00,24,20,0.0,11.9,6,5,59,01:22 PM,12:49 AM,05:49 AM,06:37 PM,19,25,25,23,12,61,80,0.0,1019,23,10,220,10
2020-01-04 12:00:00,24,20,0.0,11.9,6,6,59,01:22 PM,12:49 AM,05:49 AM,06:37 PM,19,26,26,24,14,48,75,0.0,1018,24,10,221,12
2020-01-04 15:00:00,24,20,0.0,11.9,6,6,59,01:22 PM,12:49 AM,05:49 AM,06:37 PM,19,26,26,24,17,31,73,0.0,1016,24,10,209,14
2020-01-04 18:00:00,24,20,0.0,11.9,6,6,59,01:22 PM,12:49 AM,05:49 AM,06:37 PM,18,25,25,23,18,22,74,0.0,1018,23,10,187,14
