date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,31,26,0.0,8.7,7,1,26,10:09 AM,10:02 PM,06:20 AM,05:37 PM,23,30,30,27,13,5,78,0.0,1016,27,10,72,11
2019-12-31 03:00:00,31,26,0.0,8.7,7,1,26,10:09 AM,10:02 PM,06:20 AM,05:37 PM,23,29,29,26,13,4,80,0.0,1015,26,10,41,11
2019-12-31 06:00:00,31,26,0.0,8.7,7,7,26,10:09 AM,10:02 PM,06:20 AM,05:37 PM,22,29,29,26,12,8,79,0.0,1016,26,10,25,10
2019-12-31 09:00:00,31,26,0.0,8.7,7,7,26,10:09 AM,10:02 PM,06:20 AM,05:37 PM,21,30,30,28,13,19,69,0.0,1017,28,10,43,12
2019-12-31 12:00:00,31,26,0.0,8.7,7,8,26,10:09 AM,10:02 PM,06:20 AM,05:37 PM,21,33,33,30,20,23,57,0.0,1017,30,10,68,17
2019-12-31 15:00:00,31,26,0.0,8.7,7,8,26,10:09 AM,10:02 PM,06:20 AM,05:37 PM,21,33,33,30,22,18,58,0.0,1015,30,10,67,19
2019-12-31 18:00:00,31,26,0.0,8.7,7,7,26,10:09 AM,10:02 PM,06:20 AM,05:37 PM,21,31,31,28,20,13,66,0.0,1015,28,10,61,16
2019-12-31 21:00:00,31,26,0.0,8.7,7,1,26,10:09 AM,10:02 PM,06:20 AM,05:37 PM,21,29,29,27,19,29,72,0.0,1017,27,10,60,13
2020-01-01 00:00:00,29,26,0.0,4.2,7,1,37,10:47 AM,10:49 PM,06:21 AM,05:38 PM,21,29,29,26,19,43,73,0.0,1017,26,10,53,13
2020-01-01 03:00:00,29,26,0.0,4.2,7,1,37,10:47 AM,10:49 PM,06:21 AM,05:38 PM,21,28,28,26,21,58,75,0.0,1016,26,10,53,14
2020-01-01 06:00:00,29,26,0.0,4.2,7,6,37,10:47 AM,10:49 PM,06:21 AM,05:38 PM,21,29,29,26,21,56,73,0.1,1016,26,10,52,15
2020-01-01 09:00:00,29,26,0.0,4.2,7,6,37,10:47 AM,10:49 PM,06:21 AM,05:38 PM,22,30,30,28,22,61,69,0.2,1017,28,10,51,17
