date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,6,3,0.0,3.0,2,1,26,11:55 AM,10:08 PM,08:45 AM,04:32 PM,-6,-2,3,-2,40,0,51,0.0,1019,3,10,255,24
2019-12-31 03:00:00,6,3,0.0,3.0,2,1,26,11:55 AM,10:08 PM,08:45 AM,04:32 PM,-6,-1,4,-1,42,10,50,0.0,1017,4,10,258,25
2019-12-31 06:00:00,6,3,0.0,3.0,2,1,26,11:55 AM,10:08 PM,08:45 AM,04:32 PM,-5,-2,4,-2,41,71,53,0.0,1015,4,10,261,26
2019-12-31 09:00:00,6,3,0.0,3.0,2,1,26,11:55 AM,10:08 PM,08:45 AM,04:32 PM,-1,-1,4,-1,40,100,70,0.1,1015,4,10,270,27
2019-12-31 12:00:00,6,3,0.0,3.0,2,1,26,11:55 AM,10:08 PM,08:45 AM,04:32 PM,1,-0,5,-0,44,100,75,0.1,1016,5,10,284,30
2019-12-31 15:00:00,6,3,0.0,3.0,2,2,26,11:55 AM,10:08 PM,08:45 AM,04:32 PM,1,1,6,1,45,100,71,0.1,1018,6,10,297,30
2019-12-31 18:00:00,6,3,0.0,3.0,2,1,26,11:55 AM,10:08 PM,08:45 AM,04:32 PM,0,0,5,0,41,87,72,0.1,1021,5,10,302,26
2019-12-31 21:00:00,6,3,0.0,3.0,2,1,26,11:55 AM,10:08 PM,08:45 AM,04:32 PM,-1,-1,3,-1,37,47,72,0.0,1023,3,10,305,23
2020-01-01 00:00:00,1,-4,0.0,4.9,2,1,37,12:13 PM,11:16 PM,08:45 AM,04:33 PM,-2,-3,2,-3,35,24,76,0.0,1026,2,10,304,22
2020-01-01 03:00:00,1,-4,0.0,4.9,2,1,37,12:13 PM,11:16 PM,08:45 AM,04:33 PM,-2,-3,2,-3,29,11,78,0.0,1028,2,10,301,18
2020-01-01 06:00:00,1,-4,0.0,4.9,2,1,37,12:13 PM,11:16 PM,08:45 AM,04:33 PM,-2,-3,1,-3,23,20,85,0.0,1029,1,10,289,14
2020-01-01 09:00:00,1,-4,0.0,4.9,2,2,37,12:13 PM,11:16 PM,08:45 AM,04:33 PM,-1,-4,1,-4,22,62,90,0.0,1030,1,10,273,15
2020-01-01 12:00:00,1,-4,0.0,4.9,2,1,37,12:13 PM,11:16 PM,08:45 AM,04:33 PM,-1,-3,1,-3,24,59,88,0.0,1030,1,10,267,18
2020-01-01 15:00:00,1,-4,0.0,4.9,2,2,37,12:13 PM,11:16 PM,08:45 AM,04:33 PM,-1,-4,1,-4,25,83,86,0.0,1029,1,10,271,18
2020-01-01 18:00:00,1,-4,0.0,4.9,2,1,37,12:13 PM,11:16 PM,08:45 AM,04:33 PM,-1,-3,0,-3,26,100,86,0.0,1029,-1,10,283,18
2020-01-01 21:00:00,1,-4,0.0,4.9,2,1,37,12:13 PM,11:16 PM,08:45 AM,04:33 PM,-2,-3,-1,-3,25,100,82,0.0,1029,-3,10,288,17
2020-01-02 00:00:00,5,0,0.0,6.8,1,1,44,12:29 PM,No moonset,08:45 AM,04:34 PM,-2,-4,-1,-4,24,61,87,0.0,1029,-1,10,273,16
2020-01-02 03:00:00,5,0,0.0,6.8,1,1,44,12:29 PM,No moonset,08:45 AM,04:34 PM,-2,-4,0,-4,24,29,87,0.0,1028,0,10,270,16
2020-01-02 06:00:00,5,0,0.0,6.8,1,1,44,12:29 PM,No moonset,08:45 AM,04:34 PM,-2,-5,0,-5,26,16,84,0.0,1027,0,10,269,17
2020-01-02 09:00:00,5,0,0.0,6.8,1,2,44,12:29 PM,No moonset,08:45 AM,04:34 PM,-4,-4,1,-4,30,63,70,0.0,1027,1,10,271,20
2020-01-02 12:00:00,5,0,0.0,6.8,1,1,44,12:29 PM,No moonset,08:45 AM,04:34 PM,-5,-0,4,-0,27,36,52,0.0,1026,4,10,273,18
2020-01-02 15:00:00,5,0,0.0,6.8,1,2,44,12:29 PM,No moonset,08:45 AM,04:34 PM,-6,-1,3,-1,27,6,50,0.0,1026,3,10,269,15
2020-01-02 18:00:00,5,0,0.0,6.8,1,2,44,12:29 PM,No moonset,08:45 AM,04:34 PM,-7,-2,2,-2,25,4,51,0.0,1025,2,10,261,13
2020-01-02 21:00:00,5,0,0.0,6.8,1,1,44,12:29 PM,No moonset,08:45 AM,04:34 PM,-8,-2,1,-2,20,20,52,0.0,1025,1,10,248,10
2020-01-03 00:00:00,5,-1,0.0,7.9,2,1,51,12:45 PM,12:22 AM,08:45 AM,04:35 PM,-9,-1,1,-1,17,17,47,0.0,1025,1,10,239,8
2020-01-03 03:00:00,5,-1,0.0,7.9,2,1,51,12:45 PM,12:22 AM,08:45 AM,04:35 PM,-10,-2,1,-2,22,4,43,0.0,1023,1,10,231,11
2020-01-03 06:00:00,5,-1,0.0,7.9,2,1,51,12:45 PM,12:22 AM,08:45 AM,04:35 PM,-8,-3,1,-3,24,0,53,0.0,1022,1,10,237,13
2020-01-03 09:00:00,5,-1,0.0,7.9,2,2,51,12:45 PM,12:22 AM,08:45 AM,04:35 PM,-5,-3,1,-3,24,0,63,0.0,1022,1,10,243,15
2020-01-03 12:00:00,5,-1,0.0,7.9,2,2,51,12:45 PM,12:22 AM,08:45 AM,04:35 PM,-3,-0,4,-0,25,3,61,0.0,1020,4,10,241,17
2020-01-03 15:00:00,5,-1,0.0,7.9,2,2,51,12:45 PM,12:22 AM,08:45 AM,04:35 PM,-3,-0,4,-0,27,20,63,0.0,1018,4,10,232,17
2020-01-03 18:00:00,5,-1,0.0,7.9,2,2,51,12:45 PM,12:22 AM,08:45 AM,04:35 PM,-2,-1,3,-1,30,43,71,0.0,1017,3,10,231,18
2020-01-03 21:00:00,5,-1,0.0,7.9,2,1,51,12:45 PM,12:22 AM,08:45 AM,04:35 PM,-1,-1,2,-1,32,83,77,0.0,1015,0,10,234,19
