date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,15,9,0.0,9.7,4,1,26,12:31 PM,11:36 PM,08:54 AM,06:24 PM,7,12,12,12,10,0,71,0.0,1032,12,10,42,7
2019-12-31 03:00:00,15,9,0.0,9.7,4,1,26,12:31 PM,11:36 PM,08:54 AM,06:24 PM,6,9,10,9,15,0,75,0.0,1031,10,10,47,9
2019-12-31 06:00:00,15,9,0.0,9.7,4,1,26,12:31 PM,11:36 PM,08:54 AM,06:24 PM,5,8,9,8,15,0,75,0.0,1031,9,10,38,9
2019-12-31 09:00:00,15,9,0.0,9.7,4,3,26,12:31 PM,11:36 PM,08:54 AM,06:24 PM,4,8,9,8,16,0,71,0.0,1032,9,10,38,10
2019-12-31 12:00:00,15,9,0.0,9.7,4,4,26,12:31 PM,11:36 PM,08:54 AM,06:24 PM,5,12,13,12,13,0,57,0.0,1032,13,10,38,10
2019-12-31 15:00:00,15,9,0.0,9.7,4,5,26,12:31 PM,11:36 PM,08:54 AM,06:24 PM,6,15,15,15,11,0,54,0.0,1030,15,10,42,9
2019-12-31 18:00:00,15,9,0.0,9.7,4,4,26,12:31 PM,11:36 PM,08:54 AM,06:24 PM,8,15,15,15,9,0,65,0.0,1031,15,10,23,6
2019-12-31 21:00:00,15,9,0.0,9.7,4,1,26,12:31 PM,11:36 PM,08:54 AM,06:24 PM,8,13,13,13,9,0,70,0.0,1032,13,10,31,6
2020-01-01 00:00:00,16,8,0.0,9.7,4,1,37,12:59 PM,No moonset,08:55 AM,06:25 PM,6,10,11,10,12,8,74,0.0,1032,11,10,55,7
2020-01-01 03:00:00,16,8,0.0,9.7,4,1,37,12:59 PM,No moonset,08:55 AM,06:25 PM,6,8,9,8,14,11,79,0.0,1031,9,10,48,8
2020-01-01 06:00:00,16,8,0.0,9.7,4,1,37,12:59 PM,No moonset,08:55 AM,06:25 PM,5,7,8,7,17,21,82,0.0,1031,8,10,50,9
2020-01-01 09:00:00,16,8,0.0,9.7,4,3,37,12:59 PM,No moonset,08:55 AM,06:25 PM,5,7,8,7,14,19,80,0.0,1032,8,10,58,9
2020-01-01 12:00:00,16,8,0.0,9.7,4,4,37,12:59 PM,No moonset,08:55 AM,06:25 PM,6,12,12,12,9,11,65,0.0,1032,12,10,75,7
2020-01-01 15:00:00,16,8,0.0,9.7,4,5,37,12:59 PM,No moonset,08:55 AM,06:25 PM,8,16,16,16,2,2,59,0.0,1030,16,10,64,2
2020-01-01 18:00:00,16,8,0.0,9.7,4,4,37,12:59 PM,No moonset,08:55 AM,06:25 PM,8,14,14,14,3,3,68,0.0,1031,14,10,324,2
2020-01-01 21:00:00,16,8,0.0,9.7,4,1,37,12:59 PM,No moonset,08:55 AM,06:25 PM,7,13,12,13,5,5,72,0.0,1031,12,10,94,4
2020-01-02 00:00:00,13,9,0.0,8.2,4,1,44,01:25 PM,12:33 AM,08:55 AM,06:26 PM,7,11,11,11,7,5,77,0.0,1032,11,10,97,4
2020-01-02 03:00:00,13,9,0.0,8.2,4,1,44,01:25 PM,12:33 AM,08:55 AM,06:26 PM,8,10,10,10,7,3,83,0.0,1029,10,10,81,5
