date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,5,1,0.0,2.0,2,1,26,12:16 PM,10:40 PM,09:01 AM,05:09 PM,-7,-2,2,-2,24,2,51,0.0,1029,1,10,219,12
2019-12-31 03:00:00,5,1,0.0,2.0,2,1,26,12:16 PM,10:40 PM,09:01 AM,05:09 PM,-9,-2,2,-2,30,0,45,0.0,1028,2,10,238,14
2019-12-31 06:00:00,5,1,0.0,2.0,2,1,26,12:16 PM,10:40 PM,09:01 AM,05:09 PM,-9,-2,2,-2,37,4,44,0.0,1028,2,10,250,18
2019-12-31 09:00:00,5,1,0.0,2.0,2,2,26,12:16 PM,10:40 PM,09:01 AM,05:09 PM,-7,-1,3,-1,35,68,47,0.0,1029,3,10,262,20
2019-12-31 12:00:00,5,1,0.0,2.0,2,1,26,12:16 PM,10:40 PM,09:01 AM,05:09 PM,-2,1,5,1,26,63,64,0.0,1030,5,10,290,17
2019-12-31 15:00:00,5,1,0.0,2.0,2,2,26,12:16 PM,10:40 PM,09:01 AM,05:09 PM,-0,0,4,0,23,65,77,0.0,1032,4,10,295,14
2019-12-31 18:00:00,5,1,0.0,2.0,2,1,26,12:16 PM,10:40 PM,09:01 AM,05:09 PM,-1,-2,2,-2,23,49,83,0.0,1034,2,10,281,12
2019-12-31 21:00:00,5,1,0.0,2.0,2,1,26,12:16 PM,10:40 PM,09:01 AM,05:09 PM,-1,-2,1,-2,17,75,85,0.0,1035,1,10,268,9
2020-01-01 00:00:00,5,0,0.0,5.8,1,1,37,12:36 PM,11:45 PM,09:01 AM,05:10 PM,-1,-1,1,-1,13,69,85,0.0,1036,1,10,262,8
2020-01-01 03:00:00,5,0,0.0,5.8,1,1,37,12:36 PM,11:45 PM,09:01 AM,05:10 PM,-1,-1,2,-1,12,77,83,0.0,1036,2,10,257,7
2020-01-01 06:00:00,5,0,0.0,5.8,1,1,37,12:36 PM,11:45 PM,09:01 AM,05:10 PM,-2,-2,1,-2,13,34,86,0.0,1036,1,10,245,8
2020-01-01 09:00:00,5,0,0.0,5.8,1,2,37,12:36 PM,11:45 PM,09:01 AM,05:10 PM,-1,-1,1,-1,9,7,83,0.0,1036,1,10,253,6
2020-01-01 12:00:00,5,0,0.0,5.8,1,2,37,12:36 PM,11:45 PM,09:01 AM,05:10 PM,-1,3,4,3,6,2,72,0.0,1036,4,10,258,5
2020-01-01 15:00:00,5,0,0.0,5.8,1,2,37,12:36 PM,11:45 PM,09:01 AM,05:10 PM,0,3,4,3,7,0,74,0.0,1035,4,10,230,6
2020-01-01 18:00:00,5,0,0.0,5.8,1,2,37,12:36 PM,11:45 PM,09:01 AM,05:10 PM,0,2,3,2,8,0,79,0.0,1035,3,10,205,6
2020-01-01 21:00:00,5,0,0.0,5.8,1,1,37,12:36 PM,11:45 PM,09:01 AM,05:10 PM,-1,1,2,1,9,0,77,0.0,1034,2,10,181,6
2020-01-02 00:00:00,6,1,0.0,5.8,2,1,44,12:54 PM,No moonset,09:01 AM,05:11 PM,-3,1,3,1,7,0,70,0.0,1034,3,10,166,5
2020-01-02 03:00:00,6,1,0.0,5.8,2,1,44,12:54 PM,No moonset,09:01 AM,05:11 PM,-4,2,2,2,6,0,63,0.0,1033,2,10,132,4
2020-01-02 06:00:00,6,1,0.0,5.8,2,1,44,12:54 PM,No moonset,09:01 AM,05:11 PM,-5,2,2,2,6,0,58,0.0,1032,2,10,114,4
2020-01-02 09:00:00,6,1,0.0,5.8,2,2,44,12:54 PM,No moonset,09:01 AM,05:11 PM,-6,3,3,3,3,0,52,0.0,1031,3,10,219,2
2020-01-02 12:00:00,6,1,0.0,5.8,2,2,44,12:54 PM,No moonset,09:01 AM,05:11 PM,-5,5,5,5,4,0,47,0.0,1030,5,10,120,3
2020-01-02 15:00:00,6,1,0.0,5.8,2,2,44,12:54 PM,No moonset,09:01 AM,05:11 PM,-5,5,5,5,3,0,51,0.0,1029,5,10,142,3
2020-01-02 18:00:00,6,1,0.0,5.8,2,2,44,12:54 PM,No moonset,09:01 AM,05:11 PM,-4,3,4,3,5,0,55,0.0,1029,4,10,212,4
2020-01-02 21:00:00,6,1,0.0,5.8,2,1,44,12:54 PM,No moonset,09:01 AM,05:11 PM,-5,-0,2,-0,12,0,60,0.0,1029,2,10,210,7
2020-01-03 00:00:00,5,-2,0.0,2.0,2,1,51,01:12 PM,12:50 AM,09:01 AM,05:12 PM,-4,-2,1,-2,15,0,74,0.0,1029,1,10,214,9
2020-01-03 03:00:00,5,-2,0.0,2.0,2,1,51,01:12 PM,12:50 AM,09:01 AM,05:12 PM,-3,-3,0,-3,17,3,82,0.0,1028,0,10,220,10
2020-01-03 06:00:00,5,-2,0.0,2.0,2,1,51,01:12 PM,12:50 AM,09:01 AM,05:12 PM,-4,-4,-0,-4,22,12,79,0.0,1027,-0,10,213,12
2020-01-03 09:00:00,5,-2,0.0,2.0,2,2,51,01:12 PM,12:50 AM,09:01 AM,05:12 PM,-4,-3,1,-3,22,47,69,0.0,1026,1,10,204,13
2020-01-03 12:00:00,5,-2,0.0,2.0,2,1,51,01:12 PM,12:50 AM,09:01 AM,05:12 PM,-3,1,4,1,17,87,64,0.0,1024,4,10,206,11
2020-01-03 15:00:00,5,-2,0.0,2.0,2,1,51,01:12 PM,12:50 AM,09:01 AM,05:12 PM,-2,1,4,1,24,100,67,0.0,1022,4,10,216,14
2020-01-03 18:00:00,5,-2,0.0,2.0,2,1,51,01:12 PM,12:50 AM,09:01 AM,05:12 PM,-0,1,3,1,34,100,74,0.0,1022,2,10,227,20
2020-01-03 21:00:00,5,-2,0.0,2.0,2,1,51,01:12 PM,12:50 AM,09:01 AM,05:12 PM,2,-1,2,-1,37,92,83,0.0,1022,-1,10,235,21
2020-01-04 00:00:00,4,-3,0.3,2.0,1,1,59,01:30 PM,01:55 AM,09:01 AM,05:13 PM,3,1,4,1,43,96,85,0.0,1022,3,10,248,25
2020-01-04 03:00:00,4,-3,0.3,2.0,1,1,59,01:30 PM,01:55 AM,09:01 AM,05:13 PM,3,1,5,1,38,100,85,0.1,1023,5,10,280,23
2020-01-04 06:00:00,4,-3,0.3,2.0,1,1,59,01:30 PM,01:55 AM,09:01 AM,05:13 PM,0,-1,3,-1,28,67,82,0.1,1024,3,10,288,16
2020-01-04 09:00:00,4,-3,0.3,2.0,1,1,59,01:30 PM,01:55 AM,09:01 AM,05:13 PM,-1,-2,3,-2,28,52,74,0.0,1025,3,10,274,18
2020-01-04 12:00:00,4,-3,0.3,2.0,1,2,59,01:30 PM,01:55 AM,09:01 AM,05:13 PM,-2,-1,4,-1,35,70,67,0.0,1025,4,10,270,26
2020-01-04 15:00:00,4,-3,0.3,2.0,1,1,59,01:30 PM,01:55 AM,09:01 AM,05:13 PM,-1,-2,3,-2,40,93,76,0.1,1023,3,7,268,30
2020-01-04 18:00:00,4,-3,0.3,2.0,1,1,59,01:30 PM,01:55 AM,09:01 AM,05:13 PM,1,-0,4,-0,44,100,87,0.4,1023,2,8,279,31
2020-01-04 21:00:00,4,-3,0.3,2.0,1,1,59,01:30 PM,01:55 AM,09:01 AM,05:13 PM,0,-2,2,-2,38,81,82,1.0,1025,-2,6,306,26
2020-01-05 00:00:00,3,-0,1.4,5.8,1,1,66,01:50 PM,03:01 AM,09:01 AM,05:14 PM,-2,-3,1,-3,29,74,76,1.3,1028,-0,5,311,19
2020-01-05 03:00:00,3,-0,1.4,5.8,1,1,66,01:50 PM,03:01 AM,09:01 AM,05:14 PM,-3,-4,0,-4,28,45,77,0.4,1030,0,8,305,18
2020-01-05 06:00:00,3,-0,1.4,5.8,1,1,66,01:50 PM,03:01 AM,09:01 AM,05:14 PM,-3,-5,-0,-5,27,17,79,0.0,1033,-0,10,300,17
