date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,25,19,0.0,8.7,6,1,26,10:06 AM,09:39 PM,06:19 AM,04:54 PM,11,20,20,20,12,2,59,0.0,1018,20,10,329,6
2019-12-31 03:00:00,25,19,0.0,8.7,6,1,26,10:06 AM,09:39 PM,06:19 AM,04:54 PM,10,19,19,19,11,0,55,0.0,1017,19,10,279,5
2019-12-31 06:00:00,25,19,0.0,8.7,6,5,26,10:06 AM,09:39 PM,06:19 AM,04:54 PM,9,19,19,19,14,0,52,0.0,1018,19,10,265,7
2019-12-31 09:00:00,25,19,0.0,8.7,6,6,26,10:06 AM,09:39 PM,06:19 AM,04:54 PM,8,22,24,22,14,0,42,0.0,1019,22,10,241,10
2019-12-31 12:00:00,25,19,0.0,8.7,6,6,26,10:06 AM,09:39 PM,06:19 AM,04:54 PM,8,25,25,24,17,5,36,0.0,1017,24,10,225,13
2019-12-31 15:00:00,25,19,0.0,8.7,6,6,26,10:06 AM,09:39 PM,06:19 AM,04:54 PM,9,25,25,25,16,20,38,0.0,1015,25,10,229,12
2019-12-31 18:00:00,25,19,0.0,8.7,6,1,26,10:06 AM,09:39 PM,06:19 AM,04:54 PM,10,24,24,23,13,32,44,0.0,1015,23,10,243,7
2019-12-31 21:00:00,25,19,0.0,8.7,6,1,26,10:06 AM,09:39 PM,06:19 AM,04:54 PM,9,22,24,22,13,7,45,0.0,1015,22,10,204,7
2020-01-01 00:00:00,23,19,0.0,8.7,6,1,37,10:40 AM,10:30 PM,06:19 AM,04:55 PM,9,22,24,22,27,6,45,0.0,1015,22,10,196,14
2020-01-01 03:00:00,23,19,0.0,8.7,6,1,37,10:40 AM,10:30 PM,06:19 AM,04:55 PM,9,20,20,20,30,10,49,0.0,1013,20,10,234,16
