date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,25,16,0.0,8.7,6,1,26,10:25 AM,10:00 PM,06:37 AM,05:15 PM,1,17,17,17,31,0,34,0.0,1019,17,10,160,15
2019-12-31 03:00:00,25,16,0.0,8.7,6,1,26,10:25 AM,10:00 PM,06:37 AM,05:15 PM,1,16,16,16,30,0,37,0.0,1017,16,10,158,14
2019-12-31 06:00:00,25,16,0.0,8.7,6,5,26,10:25 AM,10:00 PM,06:37 AM,05:15 PM,1,16,16,16,22,2,37,0.0,1018,16,10,167,10
2019-12-31 09:00:00,25,16,0.0,8.7,6,5,26,10:25 AM,10:00 PM,06:37 AM,05:15 PM,0,19,19,19,11,4,28,0.0,1019,19,10,197,8
2019-12-31 12:00:00,25,16,0.0,8.7,6,6,26,10:25 AM,10:00 PM,06:37 AM,05:15 PM,1,23,23,24,24,4,23,0.0,1017,24,10,239,21
2019-12-31 15:00:00,25,16,0.0,8.7,6,7,26,10:25 AM,10:00 PM,06:37 AM,05:15 PM,2,24,24,25,20,3,23,0.0,1014,25,10,256,18
2019-12-31 18:00:00,25,16,0.0,8.7,6,6,26,10:25 AM,10:00 PM,06:37 AM,05:15 PM,4,21,23,21,8,4,33,0.0,1015,21,10,234,4
2019-12-31 21:00:00,25,16,0.0,8.7,6,1,26,10:25 AM,10:00 PM,06:37 AM,05:15 PM,4,19,19,19,33,3,37,0.0,1017,19,10,8,19
2020-01-01 00:00:00,20,13,0.0,8.7,5,1,37,10:59 AM,10:50 PM,06:37 AM,05:16 PM,4,16,16,16,26,6,45,0.0,1017,16,10,12,17
2020-01-01 03:00:00,20,13,0.0,8.7,5,1,37,10:59 AM,10:50 PM,06:37 AM,05:16 PM,3,14,15,14,22,4,47,0.0,1016,15,10,18,14
2020-01-01 06:00:00,20,13,0.0,8.7,5,4,37,10:59 AM,10:50 PM,06:37 AM,05:16 PM,2,12,13,12,18,8,47,0.0,1018,13,10,19,12
2020-01-01 09:00:00,20,13,0.0,8.7,5,4,37,10:59 AM,10:50 PM,06:37 AM,05:16 PM,0,14,15,14,13,9,37,0.0,1019,15,10,58,11
2020-01-01 12:00:00,20,13,0.0,8.7,5,5,37,10:59 AM,10:50 PM,06:37 AM,05:16 PM,0,19,19,19,12,9,30,0.0,1017,19,10,94,10
2020-01-01 15:00:00,20,13,0.0,8.7,5,6,37,10:59 AM,10:50 PM,06:37 AM,05:16 PM,2,20,20,20,12,8,29,0.0,1014,20,10,106,10
2020-01-01 18:00:00,20,13,0.0,8.7,5,5,37,10:59 AM,10:50 PM,06:37 AM,05:16 PM,2,19,19,19,21,7,32,0.0,1016,19,10,92,15
2020-01-01 21:00:00,20,13,0.0,8.7,5,1,37,10:59 AM,10:50 PM,06:37 AM,05:16 PM,1,17,17,17,26,17,34,0.0,1017,17,10,76,18
2020-01-02 00:00:00,25,14,0.0,8.7,5,1,44,11:32 AM,11:40 PM,06:37 AM,05:16 PM,1,14,15,14,22,24,38,0.0,1018,15,10,104,15
2020-01-02 03:00:00,25,14,0.0,8.7,5,1,44,11:32 AM,11:40 PM,06:37 AM,05:16 PM,1,13,14,13,20,5,41,0.0,1017,14,10,126,13
2020-01-02 06:00:00,25,14,0.0,8.7,5,4,44,11:32 AM,11:40 PM,06:37 AM,05:16 PM,1,12,14,12,23,7,42,0.0,1018,14,10,136,14
2020-01-02 09:00:00,25,14,0.0,8.7,5,5,44,11:32 AM,11:40 PM,06:37 AM,05:16 PM,2,16,16,16,28,6,40,0.0,1018,16,10,147,24
2020-01-02 12:00:00,25,14,0.0,8.7,5,6,44,11:32 AM,11:40 PM,06:37 AM,05:16 PM,5,21,21,21,32,7,36,0.0,1017,21,10,165,28
2020-01-02 15:00:00,25,14,0.0,8.7,5,6,44,11:32 AM,11:40 PM,06:37 AM,05:16 PM,6,25,25,25,30,6,31,0.0,1014,25,10,176,26
2020-01-02 18:00:00,25,14,0.0,8.7,5,6,44,11:32 AM,11:40 PM,06:37 AM,05:16 PM,6,24,24,22,36,8,36,0.0,1015,22,10,152,19
