date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,4,-1,0.0,8.7,2,1,26,12:17 PM,11:01 PM,08:52 AM,05:45 PM,-4,-2,1,-2,10,0,70,0.0,1032,1,10,225,8
2019-12-31 03:00:00,4,-1,0.0,8.7,2,1,26,12:17 PM,11:01 PM,08:52 AM,05:45 PM,-5,-3,-0,-3,15,2,68,0.0,1031,-0,10,267,9
2019-12-31 06:00:00,4,-1,0.0,8.7,2,1,26,12:17 PM,11:01 PM,08:52 AM,05:45 PM,-7,-5,-1,-5,22,6,67,0.0,1030,-1,10,261,12
2019-12-31 09:00:00,4,-1,0.0,8.7,2,2,26,12:17 PM,11:01 PM,08:52 AM,05:45 PM,-7,-5,-0,-5,25,10,61,0.0,1029,-0,10,250,17
2019-12-31 12:00:00,4,-1,0.0,8.7,2,2,26,12:17 PM,11:01 PM,08:52 AM,05:45 PM,-7,-2,3,-2,27,16,50,0.0,1026,3,10,247,21
2019-12-31 15:00:00,4,-1,0.0,8.7,2,2,26,12:17 PM,11:01 PM,08:52 AM,05:45 PM,-7,-1,4,-1,32,29,46,0.0,1023,4,10,248,23
2019-12-31 18:00:00,4,-1,0.0,8.7,2,1,26,12:17 PM,11:01 PM,08:52 AM,05:45 PM,-7,-2,3,-2,33,69,51,0.0,1022,3,10,252,21
2019-12-31 21:00:00,4,-1,0.0,8.7,2,1,26,12:17 PM,11:01 PM,08:52 AM,05:45 PM,-6,-2,2,-2,25,78,56,0.0,1021,2,10,251,15
2020-01-01 00:00:00,6,-2,0.0,8.7,2,1,37,12:41 PM,No moonset,08:52 AM,05:46 PM,-5,-1,1,-1,13,37,63,0.0,1022,1,10,227,8
2020-01-01 03:00:00,6,-2,0.0,8.7,2,1,37,12:41 PM,No moonset,08:52 AM,05:46 PM,-6,-1,1,-1,10,31,62,0.0,1024,1,10,256,6
2020-01-01 06:00:00,6,-2,0.0,8.7,2,1,37,12:41 PM,No moonset,08:52 AM,05:46 PM,-7,-2,1,-2,15,6,59,0.0,1025,1,10,321,9
2020-01-01 09:00:00,6,-2,0.0,8.7,2,2,37,12:41 PM,No moonset,08:52 AM,05:46 PM,-5,-2,1,-2,15,3,62,0.0,1027,1,10,248,10
2020-01-01 12:00:00,6,-2,0.0,8.7,2,2,37,12:41 PM,No moonset,08:52 AM,05:46 PM,-5,2,4,2,12,3,52,0.0,1028,4,10,233,10
2020-01-01 15:00:00,6,-2,0.0,8.7,2,3,37,12:41 PM,No moonset,08:52 AM,05:46 PM,-4,4,6,4,8,4,49,0.0,1028,6,10,251,6
2020-01-01 18:00:00,6,-2,0.0,8.7,2,2,37,12:41 PM,No moonset,08:52 AM,05:46 PM,-3,3,5,3,7,3,56,0.0,1030,4,10,185,5
2020-01-01 21:00:00,6,-2,0.0,8.7,2,1,37,12:41 PM,No moonset,08:52 AM,05:46 PM,-3,1,4,1,4,0,61,0.0,1032,1,10,132,4
2020-01-02 00:00:00,4,-1,0.0,8.7,2,1,44,01:04 PM,12:02 AM,08:52 AM,05:47 PM,-3,-1,2,-1,4,1,66,0.0,1033,-1,10,278,3
2020-01-02 03:00:00,4,-1,0.0,8.7,2,1,44,01:04 PM,12:02 AM,08:52 AM,05:47 PM,-4,-1,1,-1,11,5,70,0.0,1033,1,10,235,7
2020-01-02 06:00:00,4,-1,0.0,8.7,2,1,44,01:04 PM,12:02 AM,08:52 AM,05:47 PM,-5,-3,-1,-3,12,10,73,0.0,1033,-1,10,212,7
2020-01-02 09:00:00,4,-1,0.0,8.7,2,2,44,01:04 PM,12:02 AM,08:52 AM,05:47 PM,-5,-3,0,-3,14,6,69,0.0,1033,0,10,240,9
2020-01-02 12:00:00,4,-1,0.0,8.7,2,2,44,01:04 PM,12:02 AM,08:52 AM,05:47 PM,-5,0,3,0,13,7,56,0.0,1032,3,10,245,10
2020-01-02 15:00:00,4,-1,0.0,8.7,2,2,44,01:04 PM,12:02 AM,08:52 AM,05:47 PM,-5,1,4,1,18,8,51,0.0,1031,4,10,255,12
2020-01-02 18:00:00,4,-1,0.0,8.7,2,2,44,01:04 PM,12:02 AM,08:52 AM,05:47 PM,-5,-1,2,-1,21,11,62,0.0,1030,2,10,256,12
2020-01-02 21:00:00,4,-1,0.0,8.7,2,1,44,01:04 PM,12:02 AM,08:52 AM,05:47 PM,-4,-3,1,-3,21,7,68,0.0,1030,1,10,258,11
2020-01-03 00:00:00,6,-0,0.0,8.7,2,1,51,01:26 PM,01:03 AM,08:52 AM,05:48 PM,-5,-3,0,-3,20,19,67,0.0,1030,0,10,255,10
2020-01-03 03:00:00,6,-0,0.0,8.7,2,1,51,01:26 PM,01:03 AM,08:52 AM,05:48 PM,-6,-4,0,-4,21,57,65,0.0,1029,0,10,259,11
2020-01-03 06:00:00,6,-0,0.0,8.7,2,1,51,01:26 PM,01:03 AM,08:52 AM,05:48 PM,-6,-4,-0,-4,23,66,65,0.0,1027,-0,10,254,12
2020-01-03 09:00:00,6,-0,0.0,8.7,2,2,51,01:26 PM,01:03 AM,08:52 AM,05:48 PM,-5,-3,1,-3,22,37,62,0.0,1027,1,10,258,13
2020-01-03 12:00:00,6,-0,0.0,8.7,2,2,51,01:26 PM,01:03 AM,08:52 AM,05:48 PM,-5,1,5,1,19,18,51,0.0,1025,5,10,257,14
2020-01-03 15:00:00,6,-0,0.0,8.7,2,3,51,01:26 PM,01:03 AM,08:52 AM,05:48 PM,-4,3,5,3,19,21,53,0.0,1023,5,10,253,13
2020-01-03 18:00:00,6,-0,0.0,8.7,2,2,51,01:26 PM,01:03 AM,08:52 AM,05:48 PM,-3,0,3,0,22,19,64,0.0,1022,3,10,254,12
2020-01-03 21:00:00,6,-0,0.0,8.7,2,1,51,01:26 PM,01:03 AM,08:52 AM,05:48 PM,-3,-1,2,-1,20,27,67,0.0,1022,2,10,251,10
2020-01-04 00:00:00,7,1,0.0,8.7,2,1,59,01:48 PM,02:03 AM,08:52 AM,05:49 PM,-4,-1,1,-1,20,42,67,0.0,1021,1,10,250,9
2020-01-04 03:00:00,7,1,0.0,8.7,2,1,59,01:48 PM,02:03 AM,08:52 AM,05:49 PM,-6,-2,1,-2,18,24,61,0.0,1020,1,10,266,9
2020-01-04 06:00:00,7,1,0.0,8.7,2,1,59,01:48 PM,02:03 AM,08:52 AM,05:49 PM,-7,-0,2,-0,15,3,51,0.0,1019,2,10,259,7
2020-01-04 09:00:00,7,1,0.0,8.7,2,2,59,01:48 PM,02:03 AM,08:52 AM,05:49 PM,-7,2,3,2,9,2,46,0.0,1019,3,10,234,5
2020-01-04 12:00:00,7,1,0.0,8.7,2,3,59,01:48 PM,02:03 AM,08:52 AM,05:49 PM,-8,5,6,5,8,8,37,0.0,1018,6,10,209,6
