date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,-4,-12,0.0,8.7,1,1,26,11:14 AM,10:11 PM,07:47 AM,05:23 PM,-14,-14,-6,-14,33,84,52,0.0,1029,-6,10,302,28
2019-12-31 03:00:00,-4,-12,0.0,8.7,1,1,26,11:14 AM,10:11 PM,07:47 AM,05:23 PM,-20,-16,-7,-16,33,0,34,0.0,1031,-7,10,311,27
2019-12-31 06:00:00,-4,-12,0.0,8.7,1,1,26,11:14 AM,10:11 PM,07:47 AM,05:23 PM,-24,-16,-8,-16,30,0,27,0.0,1032,-8,10,314,24
2019-12-31 09:00:00,-4,-12,0.0,8.7,1,2,26,11:14 AM,10:11 PM,07:47 AM,05:23 PM,-24,-15,-8,-15,22,0,26,0.0,1034,-8,10,315,19
2019-12-31 12:00:00,-4,-12,0.0,8.7,1,2,26,11:14 AM,10:11 PM,07:47 AM,05:23 PM,-24,-12,-6,-12,20,0,22,0.0,1035,-6,10,312,17
2019-12-31 15:00:00,-4,-12,0.0,8.7,1,2,26,11:14 AM,10:11 PM,07:47 AM,05:23 PM,-22,-10,-4,-10,21,0,23,0.0,1033,-4,10,317,18
2019-12-31 18:00:00,-4,-12,0.0,8.7,1,2,26,11:14 AM,10:11 PM,07:47 AM,05:23 PM,-19,-8,-4,-8,18,0,28,0.0,1034,-8,10,315,16
2019-12-31 21:00:00,-4,-12,0.0,8.7,1,1,26,11:14 AM,10:11 PM,07:47 AM,05:23 PM,-13,-12,-9,-12,10,0,40,0.0,1033,-12,10,323,9
2020-01-01 00:00:00,1,-4,0.3,5.3,1,1,37,11:43 AM,11:08 PM,07:47 AM,05:24 PM,-14,-4,-4,-4,2,71,44,0.0,1033,-4,10,129,1
2020-01-01 03:00:00,1,-4,0.3,5.3,1,1,37,11:43 AM,11:08 PM,07:47 AM,05:24 PM,-12,-4,-3,-4,5,14,50,0.0,1032,-3,10,173,4
