date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,2,-4,0.0,6.9,2,1,26,11:41 AM,10:24 PM,08:15 AM,05:07 PM,-6,-6,-3,-6,12,6,79,0.0,1037,-4,10,232,7
2019-12-31 03:00:00,2,-4,0.0,6.9,2,1,26,11:41 AM,10:24 PM,08:15 AM,05:07 PM,-7,-6,-3,-6,10,7,75,0.0,1036,-3,10,210,6
2019-12-31 06:00:00,2,-4,0.0,6.9,2,1,26,11:41 AM,10:24 PM,08:15 AM,05:07 PM,-8,-5,-3,-5,8,9,72,0.0,1034,-3,10,182,5
2019-12-31 09:00:00,2,-4,0.0,6.9,2,2,26,11:41 AM,10:24 PM,08:15 AM,05:07 PM,-8,-3,-1,-3,8,33,62,0.0,1033,-1,10,179,5
2019-12-31 12:00:00,2,-4,0.0,6.9,2,2,26,11:41 AM,10:24 PM,08:15 AM,05:07 PM,-7,-1,1,-1,7,51,53,0.0,1031,1,10,201,6
2019-12-31 15:00:00,2,-4,0.0,6.9,2,2,26,11:41 AM,10:24 PM,08:15 AM,05:07 PM,-6,0,2,0,7,81,58,0.0,1029,2,10,216,5
2019-12-31 18:00:00,2,-4,0.0,6.9,2,1,26,11:41 AM,10:24 PM,08:15 AM,05:07 PM,-6,-2,0,-2,11,38,63,0.0,1029,0,10,236,6
2019-12-31 21:00:00,2,-4,0.0,6.9,2,1,26,11:41 AM,10:24 PM,08:15 AM,05:07 PM,-6,-4,-1,-4,22,5,64,0.0,1030,-3,10,260,13
2020-01-01 00:00:00,3,-2,0.0,5.1,2,1,37,12:05 PM,11:26 PM,08:16 AM,05:07 PM,-5,-5,-1,-5,26,1,74,0.0,1031,-2,10,280,15
2020-01-01 03:00:00,3,-2,0.0,5.1,2,1,37,12:05 PM,11:26 PM,08:16 AM,05:07 PM,-3,-5,-1,-5,21,15,87,0.0,1032,-1,10,286,12
2020-01-01 06:00:00,3,-2,0.0,5.1,2,1,37,12:05 PM,11:26 PM,08:16 AM,05:07 PM,-3,-6,-2,-6,17,36,93,0.0,1034,-2,10,264,9
2020-01-01 09:00:00,3,-2,0.0,5.1,2,2,37,12:05 PM,11:26 PM,08:16 AM,05:07 PM,-2,-4,-0,-4,16,36,88,0.0,1035,-0,10,269,11
2020-01-01 12:00:00,3,-2,0.0,5.1,2,2,37,12:05 PM,11:26 PM,08:16 AM,05:07 PM,-1,-1,3,-1,15,78,80,0.0,1034,3,10,284,12
2020-01-01 15:00:00,3,-2,0.0,5.1,2,1,37,12:05 PM,11:26 PM,08:16 AM,05:07 PM,-0,-0,3,-0,15,84,80,0.0,1034,3,10,288,10
2020-01-01 18:00:00,3,-2,0.0,5.1,2,1,37,12:05 PM,11:26 PM,08:16 AM,05:07 PM,-1,-2,1,-2,16,32,85,0.0,1035,1,10,285,9
2020-01-01 21:00:00,3,-2,0.0,5.1,2,1,37,12:05 PM,11:26 PM,08:16 AM,05:07 PM,-2,-3,-0,-3,14,18,90,0.0,1036,-0,10,281,7
2020-01-02 00:00:00,4,-1,0.0,8.7,2,1,44,12:27 PM,No moonset,08:16 AM,05:08 PM,-2,-3,-1,-3,12,29,93,0.0,1036,-1,10,272,6
2020-01-02 03:00:00,4,-1,0.0,8.7,2,1,44,12:27 PM,No moonset,08:16 AM,05:08 PM,-2,-4,-1,-4,13,43,94,0.0,1036,-1,10,266,7
2020-01-02 06:00:00,4,-1,0.0,8.7,2,1,44,12:27 PM,No moonset,08:16 AM,05:08 PM,-2,-4,-1,-4,14,38,93,0.0,1036,-1,10,261,8
2020-01-02 09:00:00,4,-1,0.0,8.7,2,2,44,12:27 PM,No moonset,08:16 AM,05:08 PM,-2,-2,1,-2,10,16,84,0.0,1036,1,10,262,7
2020-01-02 12:00:00,4,-1,0.0,8.7,2,2,44,12:27 PM,No moonset,08:16 AM,05:08 PM,-1,1,3,1,9,5,74,0.0,1035,3,10,255,7
2020-01-02 15:00:00,4,-1,0.0,8.7,2,2,44,12:27 PM,No moonset,08:16 AM,05:08 PM,-1,2,3,2,8,7,77,0.0,1033,3,10,222,5
2020-01-02 18:00:00,4,-1,0.0,8.7,2,2,44,12:27 PM,No moonset,08:16 AM,05:08 PM,-1,1,2,1,8,5,81,0.0,1033,2,10,212,4
2020-01-02 21:00:00,4,-1,0.0,8.7,2,1,44,12:27 PM,No moonset,08:16 AM,05:08 PM,-2,0,1,0,7,5,80,0.0,1032,1,10,207,4
2020-01-03 00:00:00,6,-3,0.0,8.7,2,1,51,12:48 PM,12:26 AM,08:16 AM,05:09 PM,-2,1,1,1,5,4,79,0.0,1032,1,10,152,3
2020-01-03 03:00:00,6,-3,0.0,8.7,2,1,51,12:48 PM,12:26 AM,08:16 AM,05:09 PM,-2,-0,1,-0,7,7,82,0.0,1031,1,10,122,4
2020-01-03 06:00:00,6,-3,0.0,8.7,2,1,51,12:48 PM,12:26 AM,08:16 AM,05:09 PM,-2,-1,0,-1,8,7,83,0.0,1031,0,10,122,4
2020-01-03 09:00:00,6,-3,0.0,8.7,2,2,51,12:48 PM,12:26 AM,08:16 AM,05:09 PM,-3,1,2,1,6,6,71,0.0,1030,2,10,131,5
2020-01-03 12:00:00,6,-3,0.0,8.7,2,3,51,12:48 PM,12:26 AM,08:16 AM,05:09 PM,-3,4,5,4,6,4,57,0.0,1028,5,10,74,5
2020-01-03 15:00:00,6,-3,0.0,8.7,2,2,51,12:48 PM,12:26 AM,08:16 AM,05:09 PM,-2,3,4,3,8,2,63,0.0,1026,4,10,93,6
2020-01-03 18:00:00,6,-3,0.0,8.7,2,2,51,12:48 PM,12:26 AM,08:16 AM,05:09 PM,-1,1,4,1,5,1,70,0.0,1026,2,10,152,3
