date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,29,26,0.0,8.8,7,1,26,11:06 AM,11:24 PM,07:06 AM,07:09 PM,23,29,29,26,29,45,84,0.0,1012,26,10,14,20
2019-12-31 03:00:00,29,26,0.0,8.8,7,1,26,11:06 AM,11:24 PM,07:06 AM,07:09 PM,23,28,28,26,27,43,84,0.0,1011,26,10,11,18
2019-12-31 06:00:00,29,26,0.0,8.8,7,1,26,11:06 AM,11:24 PM,07:06 AM,07:09 PM,23,28,28,26,27,35,84,0.0,1010,26,10,5,17
2019-12-31 09:00:00,29,26,0.0,8.8,7,6,26,11:06 AM,11:24 PM,07:06 AM,07:09 PM,23,30,30,27,26,42,80,0.1,1012,27,10,4,18
2019-12-31 12:00:00,29,26,0.0,8.8,7,6,26,11:06 AM,11:24 PM,07:06 AM,07:09 PM,24,33,33,29,30,63,73,0.4,1013,29,10,12,23
2019-12-31 15:00:00,29,26,0.0,8.8,7,7,26,11:06 AM,11:24 PM,07:06 AM,07:09 PM,23,33,33,29,32,64,71,0.5,1011,29,9,23,24
2019-12-31 18:00:00,29,26,0.0,8.8,7,7,26,11:06 AM,11:24 PM,07:06 AM,07:09 PM,23,31,31,28,33,29,74,0.0,1010,28,10,29,23
2019-12-31 21:00:00,29,26,0.0,8.8,7,1,26,11:06 AM,11:24 PM,07:06 AM,07:09 PM,23,30,30,27,33,47,81,0.0,1013,27,10,30,23
2020-01-01 00:00:00,29,26,0.0,8.8,7,1,37,11:49 AM,No moonset,07:06 AM,07:09 PM,23,29,29,26,32,33,80,0.0,1013,26,10,34,22
2020-01-01 03:00:00,29,26,0.0,8.8,7,1,37,11:49 AM,No moonset,07:06 AM,07:09 PM,23,29,29,26,32,30,82,0.0,1012,26,10,21,21
2020-01-01 06:00:00,29,26,0.0,8.8,7,1,37,11:49 AM,No moonset,07:06 AM,07:09 PM,23,28,28,26,31,44,84,0.0,1011,26,10,8,21
2020-01-01 09:00:00,29,26,0.0,8.8,7,6,37,11:49 AM,No moonset,07:06 AM,07:09 PM,23,30,30,27,28,60,81,0.1,1013,27,10,7,21
2020-01-01 12:00:00,29,26,0.0,8.8,7,6,37,11:49 AM,No moonset,07:06 AM,07:09 PM,23,32,32,29,27,80,72,0.4,1013,29,9,23,20
2020-01-01 15:00:00,29,26,0.0,8.8,7,7,37,11:49 AM,No moonset,07:06 AM,07:09 PM,23,33,33,29,31,50,68,0.4,1011,29,10,31,23
2020-01-01 18:00:00,29,26,0.0,8.8,7,6,37,11:49 AM,No moonset,07:06 AM,07:09 PM,23,32,32,28,34,30,73,0.0,1010,28,10,22,24
2020-01-01 21:00:00,29,26,0.0,8.8,7,1,37,11:49 AM,No moonset,07:06 AM,07:09 PM,23,30,30,27,33,58,82,0.1,1013,27,10,15,23
2020-01-02 00:00:00,29,26,0.0,6.0,6,1,44,12:29 PM,12:07 AM,07:07 AM,07:10 PM,23,29,29,26,31,70,84,0.0,1014,26,10,12,21
2020-01-02 03:00:00,29,26,0.0,6.0,6,1,44,12:29 PM,12:07 AM,07:07 AM,07:10 PM,23,29,29,26,29,75,85,0.0,1013,26,10,6,19
2020-01-02 06:00:00,29,26,0.0,6.0,6,1,44,12:29 PM,12:07 AM,07:07 AM,07:10 PM,23,28,28,26,28,77,86,0.1,1012,26,10,6,19
2020-01-02 09:00:00,29,26,0.0,6.0,6,6,44,12:29 PM,12:07 AM,07:07 AM,07:10 PM,23,29,29,26,25,73,83,0.3,1014,26,10,11,18
2020-01-02 12:00:00,29,26,0.0,6.0,6,6,44,12:29 PM,12:07 AM,07:07 AM,07:10 PM,24,32,32,28,23,73,77,0.6,1014,28,10,28,18
2020-01-02 15:00:00,29,26,0.0,6.0,6,6,44,12:29 PM,12:07 AM,07:07 AM,07:10 PM,24,32,32,28,27,76,76,0.7,1012,28,10,32,21
2020-01-02 18:00:00,29,26,0.0,6.0,6,6,44,12:29 PM,12:07 AM,07:07 AM,07:10 PM,24,31,31,28,30,62,79,0.2,1010,28,10,26,22
2020-01-02 21:00:00,29,26,0.0,6.0,6,1,44,12:29 PM,12:07 AM,07:07 AM,07:10 PM,24,30,30,27,28,72,82,0.2,1012,27,9,17,19
2020-01-03 00:00:00,29,26,0.0,6.0,6,1,51,01:10 PM,12:48 AM,07:07 AM,07:10 PM,24,30,30,26,27,68,85,0.0,1013,26,10,12,18
2020-01-03 03:00:00,29,26,0.0,6.0,6,1,51,01:10 PM,12:48 AM,07:07 AM,07:10 PM,23,29,29,26,28,70,86,0.1,1012,26,10,11,19
2020-01-03 06:00:00,29,26,0.0,6.0,6,1,51,01:10 PM,12:48 AM,07:07 AM,07:10 PM,23,29,29,26,27,73,86,0.6,1011,26,10,8,18
2020-01-03 09:00:00,29,26,0.0,6.0,6,6,51,01:10 PM,12:48 AM,07:07 AM,07:10 PM,23,30,30,27,26,79,83,1.4,1012,27,9,12,18
2020-01-03 12:00:00,29,26,0.0,6.0,6,6,51,01:10 PM,12:48 AM,07:07 AM,07:10 PM,24,32,32,28,22,71,78,1.9,1013,28,9,20,15
2020-01-03 15:00:00,29,26,0.0,6.0,6,6,51,01:10 PM,12:48 AM,07:07 AM,07:10 PM,24,33,33,28,28,81,76,2.5,1011,28,8,21,18
2020-01-03 18:00:00,29,26,0.0,6.0,6,6,51,01:10 PM,12:48 AM,07:07 AM,07:10 PM,24,31,31,28,27,71,79,0.8,1009,28,10,20,20
2020-01-03 21:00:00,29,26,0.0,6.0,6,1,51,01:10 PM,12:48 AM,07:07 AM,07:10 PM,24,30,30,26,27,86,85,0.6,1011,26,10,21,18
2020-01-04 00:00:00,29,25,0.0,7.4,6,1,59,01:51 PM,01:30 AM,07:08 AM,07:11 PM,24,29,29,26,30,72,86,0.1,1011,26,10,18,19
