date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,7,-1,0.0,8.7,2,1,26,12:07 PM,10:47 PM,08:44 AM,05:26 PM,-9,-1,-1,-1,4,18,54,0.0,1033,-1,10,242,2
2019-12-31 03:00:00,7,-1,0.0,8.7,2,1,26,12:07 PM,10:47 PM,08:44 AM,05:26 PM,-11,-1,-1,-1,3,16,49,0.0,1032,-1,10,240,2
2019-12-31 06:00:00,7,-1,0.0,8.7,2,1,26,12:07 PM,10:47 PM,08:44 AM,05:26 PM,-11,-1,-1,-1,4,18,45,0.0,1031,-1,10,263,2
2019-12-31 09:00:00,7,-1,0.0,8.7,2,2,26,12:07 PM,10:47 PM,08:44 AM,05:26 PM,-10,2,2,2,4,14,41,0.0,1031,2,10,272,2
2019-12-31 12:00:00,7,-1,0.0,8.7,2,3,26,12:07 PM,10:47 PM,08:44 AM,05:26 PM,-6,6,6,6,3,7,41,0.0,1029,6,10,291,2
2019-12-31 15:00:00,7,-1,0.0,8.7,2,2,26,12:07 PM,10:47 PM,08:44 AM,05:26 PM,-5,4,4,4,3,9,53,0.0,1028,4,10,283,2
2019-12-31 18:00:00,7,-1,0.0,8.7,2,2,26,12:07 PM,10:47 PM,08:44 AM,05:26 PM,-5,1,1,1,2,8,64,0.0,1030,1,10,225,1
2019-12-31 21:00:00,7,-1,0.0,8.7,2,1,26,12:07 PM,10:47 PM,08:44 AM,05:26 PM,-4,0,1,0,5,3,72,0.0,1031,1,10,128,3
2020-01-01 00:00:00,3,-2,0.0,8.7,2,1,37,12:30 PM,11:49 PM,08:44 AM,05:27 PM,-3,-1,-0,-1,6,2,79,0.0,1033,-0,10,95,3
2020-01-01 03:00:00,3,-2,0.0,8.7,2,1,37,12:30 PM,11:49 PM,08:44 AM,05:27 PM,-3,-2,-1,-2,6,3,84,0.0,1034,-1,10,101,3
2020-01-01 06:00:00,3,-2,0.0,8.7,2,1,37,12:30 PM,11:49 PM,08:44 AM,05:27 PM,-3,-2,-1,-2,5,30,88,0.0,1034,-1,10,92,3
2020-01-01 09:00:00,3,-2,0.0,8.7,2,2,37,12:30 PM,11:49 PM,08:44 AM,05:27 PM,-2,1,1,1,3,36,82,0.0,1034,1,10,77,2
2020-01-01 12:00:00,3,-2,0.0,8.7,2,2,37,12:30 PM,11:49 PM,08:44 AM,05:27 PM,-2,2,3,2,4,16,72,0.0,1034,3,10,75,3
2020-01-01 15:00:00,3,-2,0.0,8.7,2,2,37,12:30 PM,11:49 PM,08:44 AM,05:27 PM,-1,2,2,2,5,3,83,0.0,1034,2,10,73,3
2020-01-01 18:00:00,3,-2,0.0,8.7,2,2,37,12:30 PM,11:49 PM,08:44 AM,05:27 PM,-2,-0,-0,-0,3,2,91,0.0,1035,-0,10,81,1
2020-01-01 21:00:00,3,-2,0.0,8.7,2,1,37,12:30 PM,11:49 PM,08:44 AM,05:27 PM,-2,-1,-1,-1,2,6,93,0.0,1035,-1,10,185,1
2020-01-02 00:00:00,8,0,0.0,8.7,2,1,44,12:52 PM,No moonset,08:44 AM,05:28 PM,-1,-0,-0,-0,2,2,93,0.0,1035,-0,10,255,1
2020-01-02 03:00:00,8,0,0.0,8.7,2,1,44,12:52 PM,No moonset,08:44 AM,05:28 PM,-1,0,0,0,2,1,93,0.0,1034,0,10,269,1
2020-01-02 06:00:00,8,0,0.0,8.7,2,1,44,12:52 PM,No moonset,08:44 AM,05:28 PM,-1,0,0,0,2,1,91,0.0,1034,0,10,251,1
2020-01-02 09:00:00,8,0,0.0,8.7,2,2,44,12:52 PM,No moonset,08:44 AM,05:28 PM,-1,3,3,3,2,0,78,0.0,1033,3,10,282,1
2020-01-02 12:00:00,8,0,0.0,8.7,2,3,44,12:52 PM,No moonset,08:44 AM,05:28 PM,-1,6,6,6,2,0,61,0.0,1032,6,10,297,1
2020-01-02 15:00:00,8,0,0.0,8.7,2,3,44,12:52 PM,No moonset,08:44 AM,05:28 PM,-1,5,5,5,4,0,65,0.0,1030,5,10,176,2
2020-01-02 18:00:00,8,0,0.0,8.7,2,2,44,12:52 PM,No moonset,08:44 AM,05:28 PM,-2,3,3,3,5,0,72,0.0,1030,3,10,212,2
