date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,18,9,0.0,8.7,4,1,26,01:12 PM,No moonset,09:38 AM,06:58 PM,4,11,12,11,1,0,57,0.0,1032,11,10,126,1
2019-12-31 03:00:00,18,9,0.0,8.7,4,1,26,01:12 PM,No moonset,09:38 AM,06:58 PM,3,11,11,11,2,1,58,0.0,1032,11,10,97,2
2019-12-31 06:00:00,18,9,0.0,8.7,4,1,26,01:12 PM,No moonset,09:38 AM,06:58 PM,2,10,10,10,3,2,58,0.0,1032,10,10,62,3
2019-12-31 09:00:00,18,9,0.0,8.7,4,3,26,01:12 PM,No moonset,09:38 AM,06:58 PM,1,10,9,10,4,2,54,0.0,1032,9,10,54,3
2019-12-31 12:00:00,18,9,0.0,8.7,4,4,26,01:12 PM,No moonset,09:38 AM,06:58 PM,0,14,13,14,5,1,42,0.0,1032,13,10,85,4
2019-12-31 15:00:00,18,9,0.0,8.7,4,5,26,01:12 PM,No moonset,09:38 AM,06:58 PM,1,17,17,17,4,0,34,0.0,1030,17,10,124,3
2019-12-31 18:00:00,18,9,0.0,8.7,4,4,26,01:12 PM,No moonset,09:38 AM,06:58 PM,0,15,16,15,2,4,42,0.0,1030,15,10,161,1
2019-12-31 21:00:00,18,9,0.0,8.7,4,1,26,01:12 PM,No moonset,09:38 AM,06:58 PM,1,13,14,13,2,2,47,0.0,1031,13,10,73,1
2020-01-01 00:00:00,13,8,0.0,5.2,4,1,37,01:39 PM,12:11 AM,09:38 AM,06:59 PM,2,12,12,12,2,0,48,0.0,1032,12,10,38,2
2020-01-01 03:00:00,13,8,0.0,5.2,4,1,37,01:39 PM,12:11 AM,09:38 AM,06:59 PM,1,10,10,10,4,2,54,0.0,1032,10,10,50,3
2020-01-01 06:00:00,13,8,0.0,5.2,4,1,37,01:39 PM,12:11 AM,09:38 AM,06:59 PM,1,9,9,9,6,2,58,0.0,1032,9,10,47,4
2020-01-01 09:00:00,13,8,0.0,5.2,4,3,37,01:39 PM,12:11 AM,09:38 AM,06:59 PM,-1,8,8,8,7,6,55,0.0,1032,8,10,50,4
2020-01-01 12:00:00,13,8,0.0,5.2,4,4,37,01:39 PM,12:11 AM,09:38 AM,06:59 PM,-2,10,10,10,5,17,42,0.0,1032,10,10,67,4
2020-01-01 15:00:00,13,8,0.0,5.2,4,4,37,01:39 PM,12:11 AM,09:38 AM,06:59 PM,-3,12,12,12,3,64,34,0.0,1030,12,10,165,2
2020-01-01 18:00:00,13,8,0.0,5.2,4,3,37,01:39 PM,12:11 AM,09:38 AM,06:59 PM,-2,10,10,10,4,94,43,0.0,1030,10,10,208,2
2020-01-01 21:00:00,13,8,0.0,5.2,4,1,37,01:39 PM,12:11 AM,09:38 AM,06:59 PM,-2,8,8,8,3,55,50,0.0,1031,8,10,135,1
2020-01-02 00:00:00,14,7,0.0,8.7,3,1,44,02:03 PM,01:10 AM,09:38 AM,06:59 PM,-2,8,8,8,3,17,51,0.0,1032,8,10,67,2
2020-01-02 03:00:00,14,7,0.0,8.7,3,1,44,02:03 PM,01:10 AM,09:38 AM,06:59 PM,0,8,8,8,6,4,57,0.0,1031,8,10,51,4
2020-01-02 06:00:00,14,7,0.0,8.7,3,1,44,02:03 PM,01:10 AM,09:38 AM,06:59 PM,-0,7,7,7,7,3,58,0.0,1031,7,10,46,4
2020-01-02 09:00:00,14,7,0.0,8.7,3,3,44,02:03 PM,01:10 AM,09:38 AM,06:59 PM,-1,7,7,7,9,4,54,0.0,1031,7,10,46,5
2020-01-02 12:00:00,14,7,0.0,8.7,3,4,44,02:03 PM,01:10 AM,09:38 AM,06:59 PM,-1,10,10,10,5,5,45,0.0,1031,10,10,77,4
2020-01-02 15:00:00,14,7,0.0,8.7,3,4,44,02:03 PM,01:10 AM,09:38 AM,06:59 PM,0,13,13,13,3,6,41,0.0,1029,13,10,162,3
2020-01-02 18:00:00,14,7,0.0,8.7,3,4,44,02:03 PM,01:10 AM,09:38 AM,06:59 PM,2,12,12,12,3,6,52,0.0,1029,12,10,205,2
2020-01-02 21:00:00,14,7,0.0,8.7,3,1,44,02:03 PM,01:10 AM,09:38 AM,06:59 PM,1,9,9,9,1,68,59,0.0,1030,9,10,277,1
2020-01-03 00:00:00,12,5,0.0,8.7,2,1,51,02:27 PM,02:07 AM,09:38 AM,07:00 PM,0,7,7,7,1,100,61,0.0,1031,7,10,308,1
2020-01-03 03:00:00,12,5,0.0,8.7,2,1,51,02:27 PM,02:07 AM,09:38 AM,07:00 PM,1,6,6,6,3,80,69,0.0,1032,6,10,253,1
2020-01-03 06:00:00,12,5,0.0,8.7,2,1,51,02:27 PM,02:07 AM,09:38 AM,07:00 PM,1,5,5,5,5,65,75,0.0,1032,5,10,242,3
2020-01-03 09:00:00,12,5,0.0,8.7,2,2,51,02:27 PM,02:07 AM,09:38 AM,07:00 PM,2,6,6,6,3,26,75,0.0,1033,6,10,248,2
2020-01-03 12:00:00,12,5,0.0,8.7,2,3,51,02:27 PM,02:07 AM,09:38 AM,07:00 PM,3,9,9,9,2,10,66,0.0,1033,9,10,250,1
