date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,4,-3,0.0,5.8,2,1,26,12:28 PM,10:02 PM,09:45 AM,03:57 PM,-1,2,6,2,38,3,65,0.0,1000,6,10,279,22
2019-12-31 03:00:00,4,-3,0.0,5.8,2,1,26,12:28 PM,10:02 PM,09:45 AM,03:57 PM,-1,0,5,0,41,7,69,0.0,1000,5,10,285,24
2019-12-31 06:00:00,4,-3,0.0,5.8,2,1,26,12:28 PM,10:02 PM,09:45 AM,03:57 PM,-2,-0,4,-0,40,25,67,0.0,1002,4,10,302,23
2019-12-31 09:00:00,4,-3,0.0,5.8,2,2,26,12:28 PM,10:02 PM,09:45 AM,03:57 PM,-3,-1,4,-1,40,14,63,0.0,1006,4,10,321,23
2019-12-31 12:00:00,4,-3,0.0,5.8,2,2,26,12:28 PM,10:02 PM,09:45 AM,03:57 PM,-4,-1,4,-1,38,3,59,0.0,1011,4,10,329,23
2019-12-31 15:00:00,4,-3,0.0,5.8,2,2,26,12:28 PM,10:02 PM,09:45 AM,03:57 PM,-4,-2,3,-2,37,9,62,0.0,1016,3,10,323,22
2019-12-31 18:00:00,4,-3,0.0,5.8,2,2,26,12:28 PM,10:02 PM,09:45 AM,03:57 PM,-4,-3,2,-3,34,9,63,0.0,1019,2,10,308,20
2019-12-31 21:00:00,4,-3,0.0,5.8,2,1,26,12:28 PM,10:02 PM,09:45 AM,03:57 PM,-5,-3,0,-3,31,12,59,0.0,1020,-1,10,292,17
2020-01-01 00:00:00,4,-4,0.0,3.7,2,1,37,12:38 PM,11:18 PM,09:45 AM,03:58 PM,-5,-3,1,-3,29,26,61,0.0,1019,0,10,269,16
2020-01-01 03:00:00,4,-4,0.0,3.7,2,1,37,12:38 PM,11:18 PM,09:45 AM,03:58 PM,-4,-3,1,-3,28,44,66,0.0,1017,1,10,262,17
2020-01-01 06:00:00,4,-4,0.0,3.7,2,1,37,12:38 PM,11:18 PM,09:45 AM,03:58 PM,-3,-3,2,-3,27,42,72,0.0,1016,2,10,261,16
2020-01-01 09:00:00,4,-4,0.0,3.7,2,2,37,12:38 PM,11:18 PM,09:45 AM,03:58 PM,-1,-2,2,-2,26,26,81,0.0,1014,2,10,254,15
2020-01-01 12:00:00,4,-4,0.0,3.7,2,2,37,12:38 PM,11:18 PM,09:45 AM,03:58 PM,0,-0,3,-0,26,10,79,0.0,1014,3,10,263,15
2020-01-01 15:00:00,4,-4,0.0,3.7,2,2,37,12:38 PM,11:18 PM,09:45 AM,03:58 PM,-0,-1,3,-1,28,61,77,0.0,1013,3,10,262,15
2020-01-01 18:00:00,4,-4,0.0,3.7,2,1,37,12:38 PM,11:18 PM,09:45 AM,03:58 PM,-1,-0,2,-0,30,51,76,0.0,1013,1,10,254,17
2020-01-01 21:00:00,4,-4,0.0,3.7,2,1,37,12:38 PM,11:18 PM,09:45 AM,03:58 PM,0,-3,1,-3,37,26,75,0.0,1011,-3,10,258,21
2020-01-02 00:00:00,7,4,0.0,5.8,3,1,44,12:47 PM,No moonset,09:44 AM,04:00 PM,2,-0,4,-0,40,23,78,0.0,1010,2,10,270,23
2020-01-02 03:00:00,7,4,0.0,5.8,3,1,44,12:47 PM,No moonset,09:44 AM,04:00 PM,2,1,5,1,33,28,84,0.0,1010,5,10,264,19
2020-01-02 06:00:00,7,4,0.0,5.8,3,1,44,12:47 PM,No moonset,09:44 AM,04:00 PM,2,1,5,1,37,29,80,0.0,1009,5,10,260,21
2020-01-02 09:00:00,7,4,0.0,5.8,3,3,44,12:47 PM,No moonset,09:44 AM,04:00 PM,1,1,6,1,46,22,73,0.0,1008,6,10,263,27
2020-01-02 12:00:00,7,4,0.0,5.8,3,3,44,12:47 PM,No moonset,09:44 AM,04:00 PM,1,2,7,2,47,16,69,0.0,1008,7,10,262,28
2020-01-02 15:00:00,7,4,0.0,5.8,3,3,44,12:47 PM,No moonset,09:44 AM,04:00 PM,2,2,6,2,42,6,74,0.0,1007,6,10,258,26
2020-01-02 18:00:00,7,4,0.0,5.8,3,2,44,12:47 PM,No moonset,09:44 AM,04:00 PM,2,0,5,0,42,15,80,0.0,1006,5,10,250,25
2020-01-02 21:00:00,7,4,0.0,5.8,3,1,44,12:47 PM,No moonset,09:44 AM,04:00 PM,2,-1,4,-1,41,60,83,0.0,1005,4,10,240,25
2020-01-03 00:00:00,9,3,0.0,3.7,2,1,51,12:55 PM,12:32 AM,09:44 AM,04:01 PM,2,0,5,0,41,81,80,0.0,1004,5,10,237,26
2020-01-03 03:00:00,9,3,0.0,3.7,2,1,51,12:55 PM,12:32 AM,09:44 AM,04:01 PM,2,1,5,1,43,84,77,0.0,1001,5,10,235,27
2020-01-03 06:00:00,9,3,0.0,3.7,2,1,51,12:55 PM,12:32 AM,09:44 AM,04:01 PM,2,1,6,1,46,95,75,0.0,998,6,10,226,30
2020-01-03 09:00:00,9,3,0.0,3.7,2,2,51,12:55 PM,12:32 AM,09:44 AM,04:01 PM,3,3,7,3,48,100,76,0.0,995,7,10,225,30
2020-01-03 12:00:00,9,3,0.0,3.7,2,2,51,12:55 PM,12:32 AM,09:44 AM,04:01 PM,4,5,8,5,47,91,74,0.1,994,8,10,248,30
2020-01-03 15:00:00,9,3,0.0,3.7,2,2,51,12:55 PM,12:32 AM,09:44 AM,04:01 PM,-1,2,6,2,39,30,63,0.1,995,6,10,264,24
2020-01-03 18:00:00,9,3,0.0,3.7,2,2,51,12:55 PM,12:32 AM,09:44 AM,04:01 PM,-6,-1,4,-1,36,3,50,0.0,997,4,10,267,22
2020-01-03 21:00:00,9,3,0.0,3.7,2,1,51,12:55 PM,12:32 AM,09:44 AM,04:01 PM,-5,-3,3,-3,42,41,57,0.0,996,3,10,253,26
2020-01-04 00:00:00,2,-0,0.0,5.8,2,1,59,01:04 PM,01:48 AM,09:43 AM,04:02 PM,-5,-3,3,-3,44,72,57,0.1,995,3,9,257,28
2020-01-04 03:00:00,2,-0,0.0,5.8,2,1,59,01:04 PM,01:48 AM,09:43 AM,04:02 PM,-5,-4,2,-4,41,30,60,0.1,992,2,10,265,26
2020-01-04 06:00:00,2,-0,0.0,5.8,2,1,59,01:04 PM,01:48 AM,09:43 AM,04:02 PM,-6,-5,1,-5,42,17,57,0.0,992,1,10,275,27
2020-01-04 09:00:00,2,-0,0.0,5.8,2,2,59,01:04 PM,01:48 AM,09:43 AM,04:02 PM,-7,-4,1,-4,42,10,53,0.0,993,1,10,283,27
2020-01-04 12:00:00,2,-0,0.0,5.8,2,2,59,01:04 PM,01:48 AM,09:43 AM,04:02 PM,-7,-3,2,-3,41,8,52,0.0,996,2,10,301,26
2020-01-04 15:00:00,2,-0,0.0,5.8,2,2,59,01:04 PM,01:48 AM,09:43 AM,04:02 PM,-8,-4,2,-4,42,16,50,0.0,999,2,10,313,26
2020-01-04 18:00:00,2,-0,0.0,5.8,2,2,59,01:04 PM,01:48 AM,09:43 AM,04:02 PM,-9,-6,0,-6,40,14,49,0.0,1004,0,10,324,25
2020-01-04 21:00:00,2,-0,0.0,5.8,2,1,59,01:04 PM,01:48 AM,09:43 AM,04:02 PM,-10,-6,-0,-6,39,5,48,0.0,1009,-0,10,333,24
2020-01-05 00:00:00,2,-6,0.0,3.7,2,1,66,01:14 PM,03:04 AM,09:42 AM,04:04 PM,-9,-6,-1,-6,36,0,52,0.0,1015,-1,10,330,22
2020-01-05 03:00:00,2,-6,0.0,3.7,2,1,66,01:14 PM,03:04 AM,09:42 AM,04:04 PM,-7,-5,-0,-5,29,2,59,0.0,1018,-0,10,322,18
2020-01-05 06:00:00,2,-6,0.0,3.7,2,1,66,01:14 PM,03:04 AM,09:42 AM,04:04 PM,-6,-5,-1,-5,22,4,65,0.0,1021,-1,10,305,13
2020-01-05 09:00:00,2,-6,0.0,3.7,2,2,66,01:14 PM,03:04 AM,09:42 AM,04:04 PM,-6,-4,-1,-4,16,24,68,0.0,1023,-1,10,278,10
2020-01-05 12:00:00,2,-6,0.0,3.7,2,2,66,01:14 PM,03:04 AM,09:42 AM,04:04 PM,-6,-4,-0,-4,17,42,65,0.0,1022,-0,10,223,10
2020-01-05 15:00:00,2,-6,0.0,3.7,2,2,66,01:14 PM,03:04 AM,09:42 AM,04:04 PM,-7,-3,1,-3,27,74,57,0.1,1020,1,10,207,17
2020-01-05 18:00:00,2,-6,0.0,3.7,2,1,66,01:14 PM,03:04 AM,09:42 AM,04:04 PM,-2,-3,1,-3,39,96,80,1.6,1016,-1,9,210,24
2020-01-05 21:00:00,2,-6,0.0,3.7,2,1,66,01:14 PM,03:04 AM,09:42 AM,04:04 PM,3,-5,-3,-5,36,100,90,1.2,1012,-5,4,237,22
2020-01-06 00:00:00,5,-3,0.0,1.7,1,1,73,01:26 PM,04:23 AM,09:42 AM,04:06 PM,4,-1,2,-1,32,99,89,0.2,1012,2,7,263,19
2020-01-06 03:00:00,5,-3,0.0,1.7,1,1,73,01:26 PM,04:23 AM,09:42 AM,04:06 PM,3,1,4,1,28,61,91,0.0,1014,4,10,268,15
2020-01-06 06:00:00,5,-3,0.0,1.7,1,1,73,01:26 PM,04:23 AM,09:42 AM,04:06 PM,2,-0,3,-0,22,49,94,0.0,1015,3,5,265,12
2020-01-06 09:00:00,5,-3,0.0,1.7,1,1,73,01:26 PM,04:23 AM,09:42 AM,04:06 PM,2,-0,3,-0,19,71,96,0.0,1015,3,2,251,10
2020-01-06 12:00:00,5,-3,0.0,1.7,1,1,73,01:26 PM,04:23 AM,09:42 AM,04:06 PM,3,1,4,1,18,93,95,0.0,1015,4,2,233,10
2020-01-06 15:00:00,5,-3,0.0,1.7,1,1,73,01:26 PM,04:23 AM,09:42 AM,04:06 PM,4,2,5,2,22,100,95,0.0,1014,5,7,222,13
2020-01-06 18:00:00,5,-3,0.0,1.7,1,1,73,01:26 PM,04:23 AM,09:42 AM,04:06 PM,5,1,4,1,24,90,94,0.1,1013,2,10,225,15
2020-01-06 21:00:00,5,-3,0.0,1.7,1,1,73,01:26 PM,04:23 AM,09:42 AM,04:06 PM,5,-2,1,-2,28,92,92,0.0,1012,-2,10,230,17
2020-01-07 00:00:00,6,5,0.0,1.7,2,1,80,01:43 PM,05:45 AM,09:41 AM,04:07 PM,4,1,4,1,27,88,86,0.0,1012,3,10,230,17
2020-01-07 03:00:00,6,5,0.0,1.7,2,1,80,01:43 PM,05:45 AM,09:41 AM,04:07 PM,4,3,6,3,27,94,85,0.0,1012,6,10,223,17
2020-01-07 06:00:00,6,5,0.0,1.7,2,1,80,01:43 PM,05:45 AM,09:41 AM,04:07 PM,3,3,6,3,27,72,82,0.1,1012,6,10,219,17
2020-01-07 09:00:00,6,5,0.0,1.7,2,2,80,01:43 PM,05:45 AM,09:41 AM,04:07 PM,2,2,5,2,28,84,82,0.0,1012,5,10,227,18
2020-01-07 12:00:00,6,5,0.0,1.7,2,1,80,01:43 PM,05:45 AM,09:41 AM,04:07 PM,2,1,5,1,30,66,80,0.0,1013,5,10,227,19
2020-01-07 15:00:00,6,5,0.0,1.7,2,2,80,01:43 PM,05:45 AM,09:41 AM,04:07 PM,2,1,5,1,28,78,82,0.0,1013,5,10,224,18
2020-01-07 18:00:00,6,5,0.0,1.7,2,2,80,01:43 PM,05:45 AM,09:41 AM,04:07 PM,3,1,5,1,31,84,84,0.0,1013,5,10,217,19
2020-01-07 21:00:00,6,5,0.0,1.7,2,1,80,01:43 PM,05:45 AM,09:41 AM,04:07 PM,2,1,5,1,34,56,85,0.0,1011,5,10,213,21
2020-01-08 00:00:00,10,4,0.0,5.8,3,1,88,02:07 PM,07:07 AM,09:40 AM,04:09 PM,2,0,5,0,40,68,81,0.0,1009,5,10,211,24
2020-01-08 03:00:00,10,4,0.0,5.8,3,1,88,02:07 PM,07:07 AM,09:40 AM,04:09 PM,1,1,6,1,45,94,71,0.0,1004,6,10,209,28
