date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,12,10,0.0,10.2,4,1,26,12:10 PM,11:42 PM,08:14 AM,06:31 PM,1,10,12,10,27,0,49,0.0,1023,12,10,234,17
2019-12-31 03:00:00,12,10,0.0,10.2,4,1,26,12:10 PM,11:42 PM,08:14 AM,06:31 PM,1,9,11,9,29,0,50,0.0,1023,11,10,120,18
2019-12-31 06:00:00,12,10,0.0,10.2,4,1,26,12:10 PM,11:42 PM,08:14 AM,06:31 PM,1,7,10,7,27,1,53,0.0,1023,10,10,17,18
2019-12-31 09:00:00,12,10,0.0,10.2,4,3,26,12:10 PM,11:42 PM,08:14 AM,06:31 PM,1,8,10,8,22,1,54,0.0,1025,10,10,30,15
2019-12-31 12:00:00,12,10,0.0,10.2,4,4,26,12:10 PM,11:42 PM,08:14 AM,06:31 PM,1,9,11,9,16,2,50,0.0,1025,11,10,42,12
2019-12-31 15:00:00,12,10,0.0,10.2,4,4,26,12:10 PM,11:42 PM,08:14 AM,06:31 PM,1,12,12,12,9,6,46,0.0,1022,12,10,72,7
2019-12-31 18:00:00,12,10,0.0,10.2,4,4,26,12:10 PM,11:42 PM,08:14 AM,06:31 PM,1,11,12,11,10,10,48,0.0,1021,12,10,100,7
2019-12-31 21:00:00,12,10,0.0,10.2,4,1,26,12:10 PM,11:42 PM,08:14 AM,06:31 PM,3,10,13,10,13,35,53,0.0,1022,10,10,115,8
2020-01-01 00:00:00,15,9,0.0,5.1,4,1,37,12:41 PM,No moonset,08:14 AM,06:32 PM,1,11,12,11,7,57,44,0.0,1021,11,10,296,4
2020-01-01 03:00:00,15,9,0.0,5.1,4,1,37,12:41 PM,No moonset,08:14 AM,06:32 PM,1,12,12,12,11,65,46,0.0,1020,12,10,168,7
2020-01-01 06:00:00,15,9,0.0,5.1,4,1,37,12:41 PM,No moonset,08:14 AM,06:32 PM,2,11,12,11,14,89,50,0.0,1019,12,10,69,10
2020-01-01 09:00:00,15,9,0.0,5.1,4,3,37,12:41 PM,No moonset,08:14 AM,06:32 PM,4,11,13,11,23,74,57,0.0,1019,13,10,84,16
2020-01-01 12:00:00,15,9,0.0,5.1,4,4,37,12:41 PM,No moonset,08:14 AM,06:32 PM,7,12,14,12,24,87,64,0.0,1018,14,10,98,17
2020-01-01 15:00:00,15,9,0.0,5.1,4,3,37,12:41 PM,No moonset,08:14 AM,06:32 PM,10,13,15,13,28,93,71,0.1,1014,15,10,108,19
2020-01-01 18:00:00,15,9,0.0,5.1,4,3,37,12:41 PM,No moonset,08:14 AM,06:32 PM,12,13,16,13,31,97,82,0.9,1012,14,9,110,19
2020-01-01 21:00:00,15,9,0.0,5.1,4,1,37,12:41 PM,No moonset,08:14 AM,06:32 PM,15,10,14,10,31,94,94,1.2,1011,10,9,128,17
2020-01-02 00:00:00,16,9,0.0,5.1,4,1,44,01:12 PM,12:34 AM,08:14 AM,06:33 PM,16,14,15,14,37,97,98,2.1,1009,14,8,122,20
2020-01-02 03:00:00,16,9,0.0,5.1,4,1,44,01:12 PM,12:34 AM,08:14 AM,06:33 PM,16,16,16,16,15,100,99,3.4,1007,16,7,228,8
2020-01-02 06:00:00,16,9,0.0,5.1,4,1,44,01:12 PM,12:34 AM,08:14 AM,06:33 PM,15,16,16,16,13,82,98,3.8,1006,16,8,282,7
2020-01-02 09:00:00,16,9,0.0,5.1,4,4,44,01:12 PM,12:34 AM,08:14 AM,06:33 PM,15,16,16,16,20,91,92,1.7,1006,16,9,232,11
2020-01-02 12:00:00,16,9,0.0,5.1,4,4,44,01:12 PM,12:34 AM,08:14 AM,06:33 PM,15,16,16,16,25,100,91,1.5,1007,16,10,245,15
2020-01-02 15:00:00,16,9,0.0,5.1,4,4,44,01:12 PM,12:34 AM,08:14 AM,06:33 PM,14,16,16,16,24,99,89,1.6,1006,16,9,245,15
2020-01-02 18:00:00,16,9,0.0,5.1,4,3,44,01:12 PM,12:34 AM,08:14 AM,06:33 PM,13,14,17,14,28,82,84,1.6,1006,14,9,219,16
2020-01-02 21:00:00,16,9,0.0,5.1,4,1,44,01:12 PM,12:34 AM,08:14 AM,06:33 PM,14,10,14,10,31,80,85,1.0,1006,10,10,190,16
2020-01-03 00:00:00,19,15,0.0,10.2,4,1,51,01:42 PM,01:27 AM,08:14 AM,06:33 PM,15,14,15,14,30,80,85,0.8,1007,14,9,169,15
2020-01-03 03:00:00,19,15,0.0,10.2,4,1,51,01:42 PM,01:27 AM,08:14 AM,06:33 PM,14,16,16,16,22,34,89,0.3,1008,16,10,178,12
2020-01-03 06:00:00,19,15,0.0,10.2,4,1,51,01:42 PM,01:27 AM,08:14 AM,06:33 PM,14,16,16,16,18,42,93,0.0,1009,16,5,235,10
2020-01-03 09:00:00,19,15,0.0,10.2,4,4,51,01:42 PM,01:27 AM,08:14 AM,06:33 PM,14,15,15,15,15,34,91,0.0,1011,15,7,269,9
2020-01-03 12:00:00,19,15,0.0,10.2,4,5,51,01:42 PM,01:27 AM,08:14 AM,06:33 PM,12,17,17,17,24,14,72,0.0,1013,17,10,283,15
2020-01-03 15:00:00,19,15,0.0,10.2,4,5,51,01:42 PM,01:27 AM,08:14 AM,06:33 PM,10,18,18,18,36,5,60,0.0,1013,18,10,280,22
2020-01-03 18:00:00,19,15,0.0,10.2,4,5,51,01:42 PM,01:27 AM,08:14 AM,06:33 PM,10,17,17,17,41,3,63,0.0,1015,17,10,284,24
