date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,35,28,0.0,11.6,8,1,26,10:32 AM,10:27 PM,06:41 AM,06:01 PM,16,32,32,31,11,9,40,0.0,1014,31,10,98,9
2019-12-31 03:00:00,35,28,0.0,11.6,8,1,26,10:32 AM,10:27 PM,06:41 AM,06:01 PM,16,30,30,30,8,11,42,0.0,1014,30,10,73,7
2019-12-31 06:00:00,35,28,0.0,11.6,8,1,26,10:32 AM,10:27 PM,06:41 AM,06:01 PM,15,29,29,28,8,18,44,0.0,1015,28,10,35,7
2019-12-31 09:00:00,35,28,0.0,11.6,8,7,26,10:32 AM,10:27 PM,06:41 AM,06:01 PM,15,30,30,30,14,38,42,0.0,1017,30,10,61,12
2019-12-31 12:00:00,35,28,0.0,11.6,8,8,26,10:32 AM,10:27 PM,06:41 AM,06:01 PM,16,33,33,32,21,28,38,0.0,1015,32,10,79,18
2019-12-31 15:00:00,35,28,0.0,11.6,8,8,26,10:32 AM,10:27 PM,06:41 AM,06:01 PM,16,35,35,34,20,33,34,0.0,1013,34,10,67,17
2019-12-31 18:00:00,35,28,0.0,11.6,8,8,26,10:32 AM,10:27 PM,06:41 AM,06:01 PM,16,34,34,33,21,44,37,0.0,1013,33,10,73,16
2019-12-31 21:00:00,35,28,0.0,11.6,8,1,26,10:32 AM,10:27 PM,06:41 AM,06:01 PM,17,33,33,32,22,44,40,0.0,1015,32,10,64,16
2020-01-01 00:00:00,34,27,0.0,11.6,8,1,37,11:11 AM,11:14 PM,06:41 AM,06:01 PM,18,33,33,31,19,48,44,0.0,1015,31,10,47,14
2020-01-01 03:00:00,34,27,0.0,11.6,8,1,37,11:11 AM,11:14 PM,06:41 AM,06:01 PM,18,31,31,30,19,69,47,0.1,1015,30,10,55,15
2020-01-01 06:00:00,34,27,0.0,11.6,8,1,37,11:11 AM,11:14 PM,06:41 AM,06:01 PM,17,29,29,28,26,85,53,0.1,1016,28,10,76,19
2020-01-01 09:00:00,34,27,0.0,11.6,8,6,37,11:11 AM,11:14 PM,06:41 AM,06:01 PM,16,30,30,29,29,36,44,0.0,1018,29,10,84,24
2020-01-01 12:00:00,34,27,0.0,11.6,8,8,37,11:11 AM,11:14 PM,06:41 AM,06:01 PM,15,32,32,32,28,11,34,0.0,1016,32,10,85,24
2020-01-01 15:00:00,34,27,0.0,11.6,8,8,37,11:11 AM,11:14 PM,06:41 AM,06:01 PM,14,34,34,34,24,13,31,0.0,1014,34,10,81,21
2020-01-01 18:00:00,34,27,0.0,11.6,8,8,37,11:11 AM,11:14 PM,06:41 AM,06:01 PM,15,33,33,33,19,23,33,0.0,1014,33,10,87,15
2020-01-01 21:00:00,34,27,0.0,11.6,8,1,37,11:11 AM,11:14 PM,06:41 AM,06:01 PM,17,33,33,32,17,16,41,0.0,1016,32,10,74,13
2020-01-02 00:00:00,34,28,0.0,11.6,8,1,44,11:48 AM,12:00 AM,06:41 AM,06:02 PM,18,32,32,31,13,12,46,0.0,1017,31,10,50,11
2020-01-02 03:00:00,34,28,0.0,11.6,8,1,44,11:48 AM,12:00 AM,06:41 AM,06:02 PM,18,31,31,29,13,18,50,0.0,1016,29,10,38,10
2020-01-02 06:00:00,34,28,0.0,11.6,8,1,44,11:48 AM,12:00 AM,06:41 AM,06:02 PM,18,29,29,28,18,20,54,0.0,1017,28,10,74,14
2020-01-02 09:00:00,34,28,0.0,11.6,8,7,44,11:48 AM,12:00 AM,06:41 AM,06:02 PM,18,30,30,29,21,11,51,0.0,1019,29,10,89,17
2020-01-02 12:00:00,34,28,0.0,11.6,8,8,44,11:48 AM,12:00 AM,06:41 AM,06:02 PM,18,34,34,32,19,4,43,0.0,1017,32,10,79,17
2020-01-02 15:00:00,34,28,0.0,11.6,8,8,44,11:48 AM,12:00 AM,06:41 AM,06:02 PM,17,35,35,34,18,32,36,0.0,1014,34,10,71,15
2020-01-02 18:00:00,34,28,0.0,11.6,8,8,44,11:48 AM,12:00 AM,06:41 AM,06:02 PM,17,34,34,33,16,47,37,0.0,1014,33,10,80,13
2020-01-02 21:00:00,34,28,0.0,11.6,8,1,44,11:48 AM,12:00 AM,06:41 AM,06:02 PM,17,33,33,32,16,34,40,0.0,1015,32,10,82,13
2020-01-03 00:00:00,35,28,0.0,11.6,8,1,51,12:23 PM,No moonset,06:42 AM,06:02 PM,17,32,32,31,12,15,44,0.0,1016,31,10,73,10
2020-01-03 03:00:00,35,28,0.0,11.6,8,1,51,12:23 PM,No moonset,06:42 AM,06:02 PM,17,31,31,30,7,14,47,0.0,1015,30,10,45,6
2020-01-03 06:00:00,35,28,0.0,11.6,8,1,51,12:23 PM,No moonset,06:42 AM,06:02 PM,17,30,30,29,7,14,50,0.0,1015,29,10,247,6
2020-01-03 09:00:00,35,28,0.0,11.6,8,7,51,12:23 PM,No moonset,06:42 AM,06:02 PM,17,31,31,30,14,24,46,0.0,1017,30,10,176,13
2020-01-03 12:00:00,35,28,0.0,11.6,8,8,51,12:23 PM,No moonset,06:42 AM,06:02 PM,16,34,34,33,19,24,37,0.0,1015,33,10,85,17
2020-01-03 15:00:00,35,28,0.0,11.6,8,8,51,12:23 PM,No moonset,06:42 AM,06:02 PM,15,35,35,35,18,20,31,0.0,1012,35,10,77,15
2020-01-03 18:00:00,35,28,0.0,11.6,8,8,51,12:23 PM,No moonset,06:42 AM,06:02 PM,16,35,35,34,20,13,33,0.0,1012,34,10,91,16
2020-01-03 21:00:00,35,28,0.0,11.6,8,1,51,12:23 PM,No moonset,06:42 AM,06:02 PM,16,33,33,32,18,24,38,0.0,1013,32,10,109,14
2020-01-04 00:00:00,36,29,0.0,11.6,8,1,59,01:00 PM,12:45 AM,06:42 AM,06:03 PM,18,33,33,31,11,16,44,0.0,1014,31,10,123,9
2020-01-04 03:00:00,36,29,0.0,11.6,8,1,59,01:00 PM,12:45 AM,06:42 AM,06:03 PM,19,32,32,30,7,10,51,0.0,1013,30,10,146,6
2020-01-04 06:00:00,36,29,0.0,11.6,8,1,59,01:00 PM,12:45 AM,06:42 AM,06:03 PM,20,32,32,30,5,7,56,0.0,1013,30,10,117,4
2020-01-04 09:00:00,36,29,0.0,11.6,8,8,59,01:00 PM,12:45 AM,06:42 AM,06:03 PM,18,32,32,31,12,4,46,0.0,1014,31,10,89,10
2020-01-04 12:00:00,36,29,0.0,11.6,8,8,59,01:00 PM,12:45 AM,06:42 AM,06:03 PM,16,34,34,33,14,6,37,0.0,1013,33,10,73,12
2020-01-04 15:00:00,36,29,0.0,11.6,8,9,59,01:00 PM,12:45 AM,06:42 AM,06:03 PM,15,36,36,35,13,14,31,0.0,1010,35,10,68,11
2020-01-04 18:00:00,36,29,0.0,11.6,8,8,59,01:00 PM,12:45 AM,06:42 AM,06:03 PM,15,35,35,35,12,13,31,0.0,1010,35,10,92,10
2020-01-04 21:00:00,36,29,0.0,11.6,8,1,59,01:00 PM,12:45 AM,06:42 AM,06:03 PM,15,33,33,33,10,21,35,0.0,1012,33,10,102,8
2020-01-05 00:00:00,35,28,0.0,11.6,8,1,66,01:38 PM,01:32 AM,06:42 AM,06:03 PM,15,31,31,31,10,27,39,0.0,1012,31,10,113,9
2020-01-05 03:00:00,35,28,0.0,11.6,8,1,66,01:38 PM,01:32 AM,06:42 AM,06:03 PM,16,30,30,30,8,22,43,0.0,1012,30,10,126,7
2020-01-05 06:00:00,35,28,0.0,11.6,8,1,66,01:38 PM,01:32 AM,06:42 AM,06:03 PM,16,29,29,29,12,22,46,0.0,1013,29,10,106,9
2020-01-05 09:00:00,35,28,0.0,11.6,8,7,66,01:38 PM,01:32 AM,06:42 AM,06:03 PM,16,30,30,30,17,18,44,0.0,1014,30,10,91,14
2020-01-05 12:00:00,35,28,0.0,11.6,8,8,66,01:38 PM,01:32 AM,06:42 AM,06:03 PM,16,34,34,33,17,19,36,0.0,1013,33,10,80,15
2020-01-05 15:00:00,35,28,0.0,11.6,8,8,66,01:38 PM,01:32 AM,06:42 AM,06:03 PM,15,35,35,35,14,21,31,0.0,1010,35,10,81,13
2020-01-05 18:00:00,35,28,0.0,11.6,8,8,66,01:38 PM,01:32 AM,06:42 AM,06:03 PM,16,35,35,34,12,14,35,0.0,1011,34,10,123,11
2020-01-05 21:00:00,35,28,0.0,11.6,8,1,66,01:38 PM,01:32 AM,06:42 AM,06:03 PM,19,34,34,32,10,13,47,0.0,1012,32,10,181,9
2020-01-06 00:00:00,36,29,0.0,11.6,8,1,73,02:18 PM,02:20 AM,06:43 AM,06:04 PM,20,33,33,30,9,11,55,0.0,1013,30,10,187,8
2020-01-06 03:00:00,36,29,0.0,11.6,8,1,73,02:18 PM,02:20 AM,06:43 AM,06:04 PM,21,32,32,30,9,9,59,0.0,1012,30,10,175,8
2020-01-06 06:00:00,36,29,0.0,11.6,8,1,73,02:18 PM,02:20 AM,06:43 AM,06:04 PM,21,31,31,29,5,11,62,0.0,1013,29,10,231,5
2020-01-06 09:00:00,36,29,0.0,11.6,8,8,73,02:18 PM,02:20 AM,06:43 AM,06:04 PM,19,33,33,31,6,6,49,0.0,1015,31,10,132,6
2020-01-06 12:00:00,36,29,0.0,11.6,8,8,73,02:18 PM,02:20 AM,06:43 AM,06:04 PM,16,35,35,34,11,5,35,0.0,1014,34,10,69,10
2020-01-06 15:00:00,36,29,0.0,11.6,8,9,73,02:18 PM,02:20 AM,06:43 AM,06:04 PM,14,36,36,36,11,7,28,0.0,1010,36,10,69,10
2020-01-06 18:00:00,36,29,0.0,11.6,8,9,73,02:18 PM,02:20 AM,06:43 AM,06:04 PM,15,36,36,36,7,8,29,0.0,1011,36,10,123,6
2020-01-06 21:00:00,36,29,0.0,11.6,8,1,73,02:18 PM,02:20 AM,06:43 AM,06:04 PM,16,34,34,33,5,11,35,0.0,1012,33,10,189,5
2020-01-07 00:00:00,37,30,0.0,11.6,8,1,80,03:02 PM,03:11 AM,06:43 AM,06:04 PM,19,34,34,32,8,6,47,0.0,1012,32,10,181,7
2020-01-07 03:00:00,37,30,0.0,11.6,8,1,80,03:02 PM,03:11 AM,06:43 AM,06:04 PM,22,36,36,32,5,1,54,0.0,1012,32,10,163,4
2020-01-07 06:00:00,37,30,0.0,11.6,8,1,80,03:02 PM,03:11 AM,06:43 AM,06:04 PM,20,33,33,31,3,2,53,0.0,1012,31,10,62,3
2020-01-07 09:00:00,37,30,0.0,11.6,8,8,80,03:02 PM,03:11 AM,06:43 AM,06:04 PM,19,33,33,32,5,4,46,0.0,1014,32,10,58,5
2020-01-07 12:00:00,37,30,0.0,11.6,8,8,80,03:02 PM,03:11 AM,06:43 AM,06:04 PM,15,35,35,34,11,7,32,0.0,1012,34,10,77,10
2020-01-07 15:00:00,37,30,0.0,11.6,8,9,80,03:02 PM,03:11 AM,06:43 AM,06:04 PM,12,36,36,36,12,6,23,0.0,1010,36,10,72,11
2020-01-07 18:00:00,37,30,0.0,11.6,8,9,80,03:02 PM,03:11 AM,06:43 AM,06:04 PM,13,35,35,36,11,5,26,0.0,1010,36,10,133,9
