date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,6,1,0.0,3.5,1,1,26,11:42 AM,10:40 PM,08:10 AM,05:33 PM,2,0,3,0,14,100,93,1.1,1018,3,9,63,8
2019-12-31 03:00:00,6,1,0.0,3.5,1,1,26,11:42 AM,10:40 PM,08:10 AM,05:33 PM,1,1,2,1,12,100,92,0.9,1018,2,9,56,7
2019-12-31 06:00:00,6,1,0.0,3.5,1,1,26,11:42 AM,10:40 PM,08:10 AM,05:33 PM,1,0,3,0,13,90,92,0.0,1020,3,10,43,8
2019-12-31 09:00:00,6,1,0.0,3.5,1,1,26,11:42 AM,10:40 PM,08:10 AM,05:33 PM,3,4,5,4,7,79,89,0.1,1021,5,7,94,6
2019-12-31 12:00:00,6,1,0.0,3.5,1,2,26,11:42 AM,10:40 PM,08:10 AM,05:33 PM,3,6,6,6,4,97,80,0.3,1021,6,2,225,3
2019-12-31 15:00:00,6,1,0.0,3.5,1,2,26,11:42 AM,10:40 PM,08:10 AM,05:33 PM,2,4,5,4,8,85,82,0.3,1020,5,4,259,5
2019-12-31 18:00:00,6,1,0.0,3.5,1,1,26,11:42 AM,10:40 PM,08:10 AM,05:33 PM,1,2,3,2,9,81,89,0.3,1020,3,9,284,5
2019-12-31 21:00:00,6,1,0.0,3.5,1,1,26,11:42 AM,10:40 PM,08:10 AM,05:33 PM,1,1,2,1,8,85,90,0.3,1021,2,10,315,5
2020-01-01 00:00:00,4,-1,0.6,3.5,1,1,37,12:09 PM,11:38 PM,08:10 AM,05:34 PM,-0,1,1,1,6,77,93,0.1,1021,1,10,274,3
2020-01-01 03:00:00,4,-1,0.6,3.5,1,1,37,12:09 PM,11:38 PM,08:10 AM,05:34 PM,-1,-1,0,-1,9,79,92,0.1,1020,0,10,308,4
2020-01-01 06:00:00,4,-1,0.6,3.5,1,1,37,12:09 PM,11:38 PM,08:10 AM,05:34 PM,-1,-1,1,-1,8,73,91,0.0,1020,1,10,257,5
2020-01-01 09:00:00,4,-1,0.6,3.5,1,1,37,12:09 PM,11:38 PM,08:10 AM,05:34 PM,0,1,3,1,8,86,86,0.0,1020,3,10,252,6
2020-01-01 12:00:00,4,-1,0.6,3.5,1,1,37,12:09 PM,11:38 PM,08:10 AM,05:34 PM,0,1,4,1,11,95,80,0.2,1020,4,9,284,9
2020-01-01 15:00:00,4,-1,0.6,3.5,1,1,37,12:09 PM,11:38 PM,08:10 AM,05:34 PM,-0,-1,3,-1,15,100,82,0.3,1020,3,7,318,12
2020-01-01 18:00:00,4,-1,0.6,3.5,1,1,37,12:09 PM,11:38 PM,08:10 AM,05:34 PM,-3,-3,1,-3,19,100,72,0.2,1021,1,7,323,14
2020-01-01 21:00:00,4,-1,0.6,3.5,1,1,37,12:09 PM,11:38 PM,08:10 AM,05:34 PM,-5,-4,0,-4,18,100,66,0.1,1022,0,8,340,12
2020-01-02 00:00:00,5,-2,0.0,8.7,1,1,44,12:34 PM,No moonset,08:10 AM,05:35 PM,-6,-4,-1,-4,14,96,69,0.0,1023,-1,10,344,9
2020-01-02 03:00:00,5,-2,0.0,8.7,1,1,44,12:34 PM,No moonset,08:10 AM,05:35 PM,-7,-5,-2,-5,17,92,69,0.0,1023,-2,10,239,9
