date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-12-31 00:00:00,9,6,0.0,2.0,3,1,26,12:18 PM,10:38 PM,09:06 AM,05:01 PM,6,7,8,7,7,20,92,0.0,1030,8,10,266,4
2019-12-31 03:00:00,9,6,0.0,2.0,3,1,26,12:18 PM,10:38 PM,09:06 AM,05:01 PM,6,8,8,8,4,4,87,0.0,1030,8,10,44,3
2019-12-31 06:00:00,9,6,0.0,2.0,3,1,26,12:18 PM,10:38 PM,09:06 AM,05:01 PM,5,4,6,4,13,21,93,0.0,1031,6,10,70,8
2019-12-31 09:00:00,9,6,0.0,2.0,3,2,26,12:18 PM,10:38 PM,09:06 AM,05:01 PM,5,3,6,3,18,69,96,0.0,1032,6,2,78,11
2019-12-31 12:00:00,9,6,0.0,2.0,3,2,26,12:18 PM,10:38 PM,09:06 AM,05:01 PM,7,7,8,7,16,100,93,0.0,1033,8,10,100,10
2019-12-31 15:00:00,9,6,0.0,2.0,3,2,26,12:18 PM,10:38 PM,09:06 AM,05:01 PM,7,7,9,7,16,100,90,0.0,1031,9,10,85,11
2019-12-31 18:00:00,9,6,0.0,2.0,3,3,26,12:18 PM,10:38 PM,09:06 AM,05:01 PM,6,5,8,5,21,31,89,0.0,1032,8,10,103,14
2019-12-31 21:00:00,9,6,0.0,2.0,3,1,26,12:18 PM,10:38 PM,09:06 AM,05:01 PM,1,5,7,5,14,6,69,0.0,1031,7,10,119,12
2020-01-01 00:00:00,7,3,0.0,5.8,3,1,37,12:37 PM,11:45 PM,09:06 AM,05:02 PM,4,8,9,8,9,2,72,0.0,1031,9,10,101,8
2020-01-01 03:00:00,7,3,0.0,5.8,3,1,37,12:37 PM,11:45 PM,09:06 AM,05:02 PM,1,3,5,3,12,14,78,0.0,1029,5,10,111,9
2020-01-01 06:00:00,7,3,0.0,5.8,3,1,37,12:37 PM,11:45 PM,09:06 AM,05:02 PM,2,4,5,4,9,5,83,0.0,1029,5,10,139,6
2020-01-01 09:00:00,7,3,0.0,5.8,3,3,37,12:37 PM,11:45 PM,09:06 AM,05:02 PM,3,5,5,5,4,4,84,0.0,1029,5,10,220,3
2020-01-01 12:00:00,7,3,0.0,5.8,3,3,37,12:37 PM,11:45 PM,09:06 AM,05:02 PM,3,7,7,7,3,13,75,0.0,1029,7,10,110,3
2020-01-01 15:00:00,7,3,0.0,5.8,3,3,37,12:37 PM,11:45 PM,09:06 AM,05:02 PM,4,7,7,7,5,50,79,0.0,1028,7,10,149,4
2020-01-01 18:00:00,7,3,0.0,5.8,3,2,37,12:37 PM,11:45 PM,09:06 AM,05:02 PM,5,5,6,5,11,60,95,0.0,1028,6,2,180,6
2020-01-01 21:00:00,7,3,0.0,5.8,3,1,37,12:37 PM,11:45 PM,09:06 AM,05:02 PM,6,3,6,3,10,94,96,0.0,1027,3,2,193,6
2020-01-02 00:00:00,10,4,0.0,2.0,2,1,44,12:54 PM,No moonset,09:06 AM,05:03 PM,6,6,7,6,10,80,95,0.0,1027,7,2,184,6
2020-01-02 03:00:00,10,4,0.0,2.0,2,1,44,12:54 PM,No moonset,09:06 AM,05:03 PM,4,3,4,3,10,89,97,0.0,1025,4,2,189,6
2020-01-02 06:00:00,10,4,0.0,2.0,2,1,44,12:54 PM,No moonset,09:06 AM,05:03 PM,5,4,6,4,14,85,96,0.0,1023,6,2,194,8
2020-01-02 09:00:00,10,4,0.0,2.0,2,2,44,12:54 PM,No moonset,09:06 AM,05:03 PM,6,5,7,5,21,98,91,0.0,1022,7,10,191,13
2020-01-02 12:00:00,10,4,0.0,2.0,2,2,44,12:54 PM,No moonset,09:06 AM,05:03 PM,6,7,10,7,23,78,80,0.0,1020,10,10,205,15
2020-01-02 15:00:00,10,4,0.0,2.0,2,2,44,12:54 PM,No moonset,09:06 AM,05:03 PM,6,7,10,7,32,100,81,0.0,1017,10,10,212,21
2020-01-02 18:00:00,10,4,0.0,2.0,2,2,44,12:54 PM,No moonset,09:06 AM,05:03 PM,7,7,11,7,34,100,83,0.0,1016,7,10,222,22
2020-01-02 21:00:00,10,4,0.0,2.0,2,1,44,12:54 PM,No moonset,09:06 AM,05:03 PM,8,4,7,4,37,95,83,0.0,1014,4,10,211,23
2020-01-03 00:00:00,10,7,0.0,3.9,2,1,51,01:11 PM,12:51 AM,09:06 AM,05:04 PM,9,8,11,8,37,100,90,0.4,1014,11,2,214,24
