Country	mean_delta	start_val	end_val	start_date	end_date	data_size	Total_cases
New York	235.291666666667	1	5648	2020/03/03	2020/03/27	25	44634
Spain	143.649122807018	1	8189	01/02/2020	29/03/2020	58	72248
Turkey	113.533333333333	1	1704	12/03/2020	29/03/2020	16	7402
Italy	102.948275862069	3	5974	31/01/2020	29/03/2020	59	92472
Iran	80.8947368421053	2	3076	20/02/2020	29/03/2020	39	35408
France	72	3	4611	25/01/2020	29/03/2020	65	37575
Germany	64.983606557377	1	3965	28/01/2020	29/03/2020	62	52547
Michigan	51.2666666666667	10	779	2020/03/12	2020/03/27	16	3655
United_Kingdom	43.8620689655172	2	2546	31/01/2020	29/03/2020	59	17089
Netherlands	38.6	1	1159	28/02/2020	29/03/2020	31	9762
Portugal	34.6153846153846	2	902	03/03/2020	29/03/2020	27	5170
Belgium	34.2407407407407	1	1850	04/02/2020	29/03/2020	55	9134
Switzerland	32.71875	1	1048	26/02/2020	29/03/2020	33	13152
Florida	30	1	721	2020/03/03	2020/03/27	25	3196
Austria	18.5	2	594	26/02/2020	29/03/2020	33	8291
Israel	17.6666666666667	1	584	22/02/2020	29/03/2020	34	3619
Brazil	16.7586206896552	1	487	26/02/2020	29/03/2020	30	3904
Czech_Republic	14.1111111111111	3	384	02/03/2020	29/03/2020	28	2663
Chile	12.4166666666667	1	299	04/03/2020	29/03/2020	25	1909
Ireland	11.2692307692308	1	294	01/03/2020	29/03/2020	27	2415
Canada	11.047619047619	1	697	26/01/2020	29/03/2020	64	5386
Poland	10.7826086956522	1	249	04/03/2020	29/03/2020	24	1638
Luxembourg	10.7142857142857	1	226	01/03/2020	29/03/2020	22	1831
Serbia	10.5789473684211	1	202	07/03/2020	29/03/2020	20	659
Los Angeles	10.5652173913043	6	249	2020/03/04	2020/03/27	24	1464
Maryland	10.1052631578947	2	194	2020/03/08	2020/03/27	20	772
Texas	9.04545454545454	1	399	2020/02/12	2020/03/27	45	1942
Ecuador	9	1	208	01/03/2020	29/03/2020	24	1835
Norway	8.48387096774194	1	264	27/02/2020	29/03/2020	32	3845
Pakistan	8.03846153846154	2	211	27/02/2020	29/03/2020	27	1408
Dominican_Republic	7.61111111111111	1	138	02/03/2020	29/03/2020	19	719
Sweden	7.01754385964912	1	401	01/02/2020	29/03/2020	58	3447
Australia	6.71875	1	431	25/01/2020	29/03/2020	65	3809
Mexico	6.14285714285714	2	131	29/02/2020	29/03/2020	22	848
Panama	6	1	115	10/03/2020	29/03/2020	20	901
Romania	5.48275862068965	1	160	27/02/2020	29/03/2020	30	1452
Indonesia	5.35	2	109	02/03/2020	29/03/2020	21	1155
Denmark	4.96774193548387	1	155	27/02/2020	29/03/2020	32	2201
Philippines	4.92727272727273	1	272	30/01/2020	29/03/2020	56	1075
Russia	4.34615384615385	2	228	01/02/2020	29/03/2020	53	1264
Saudi_Arabia	4.26086956521739	1	99	03/03/2020	29/03/2020	24	1203
Colombia	3.77777777777778	1	69	07/03/2020	29/03/2020	19	608
Finland	3.55555555555556	1	193	30/01/2020	29/03/2020	55	1218
Greece	3.24137931034483	1	95	27/02/2020	29/03/2020	30	1061
Japan	2.60810810810811	1	194	15/01/2020	29/03/2020	75	1693
Estonia	2.56	1	65	28/02/2020	29/03/2020	26	640
Slovenia	2.52173913043478	1	59	05/03/2020	29/03/2020	24	691
Iceland	2.48275862068966	1	73	29/02/2020	29/03/2020	30	963
Malaysia	2.47619047619048	3	159	25/01/2020	29/03/2020	64	2320
Argentina	2.45454545454545	1	55	04/03/2020	29/03/2020	23	745
Croatia	2.41379310344828	1	71	26/02/2020	29/03/2020	30	657
India	1.81034482758621	1	106	30/01/2020	29/03/2020	59	979
Peru	1.66666666666667	1	36	07/03/2020	29/03/2020	22	671
Thailand	1.56521739130435	1	109	13/01/2020	29/03/2020	70	1245
Iraq	1.51612903225806	1	48	25/02/2020	29/03/2020	32	506
South_Korea	1.50724637681159	1	105	20/01/2020	29/03/2020	70	9583
China	1.14606741573034	27	129	31/12/2019	29/03/2020	90	82342
Qatar	1.125	1	28	01/03/2020	29/03/2020	25	590
Singapore	1.04615384615385	3	71	24/01/2020	29/03/2020	66	803
Egypt	1.02564102564103	1	41	15/02/2020	29/03/2020	40	536
South_Africa	0.761904761904762	1	17	06/03/2020	29/03/2020	22	1187
Cases_on_an_international_conveyance_Japan	-0.703703703703704	10	-9	05/02/2020	10/03/2020	28	696
