date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12-11,15,7,0.0,8.7,1,1,21,11:15 AM,09:44 PM,07:50 AM,05:41 PM,-1,9,10,9,17,8,48,0.0,1020,15,10,107,10
2018-12-12,14,6,0.0,8.7,1,1,29,11:52 AM,10:38 PM,07:51 AM,05:41 PM,0,8,10,8,20,8,54,0.0,1021,14,10,242,11
2018-12-13,13,6,0.0,8.7,1,1,36,12:26 PM,11:34 PM,07:52 AM,05:41 PM,-5,8,9,8,17,3,39,0.0,1026,13,10,82,10
2018-12-14,12,8,0.0,3.7,1,1,43,12:58 PM,No moonset,07:52 AM,05:41 PM,-11,8,9,8,15,45,23,0.0,1022,12,10,47,8
2018-12-15,14,6,0.0,8.7,1,1,51,01:28 PM,12:29 AM,07:53 AM,05:42 PM,-9,9,10,9,10,1,27,0.0,1020,14,10,53,6
2018-12-16,15,7,0.0,8.7,1,1,58,01:58 PM,01:26 AM,07:54 AM,05:42 PM,-7,11,11,11,13,17,27,0.0,1020,15,10,100,7
2018-12-17,16,8,0.0,8.7,1,1,65,02:29 PM,02:23 AM,07:54 AM,05:42 PM,2,10,11,10,23,33,55,0.2,1020,16,10,265,15
2018-12-18,14,6,0.0,8.7,1,1,72,03:02 PM,03:23 AM,07:55 AM,05:43 PM,4,9,10,9,10,10,68,0.0,1023,14,10,273,6
2018-12-19,15,6,0.0,8.7,1,1,80,03:39 PM,04:25 AM,07:56 AM,05:43 PM,1,10,10,10,11,18,52,0.0,1023,15,10,117,6
2018-12-20,18,7,0.0,8.7,1,1,87,04:20 PM,05:31 AM,07:56 AM,05:44 PM,-5,12,12,12,11,22,32,0.0,1020,18,10,108,6
2018-12-21,19,7,0.0,8.7,1,1,94,05:09 PM,06:37 AM,07:57 AM,05:44 PM,-3,12,13,12,23,22,37,0.0,1016,19,10,269,13
2018-12-22,15,7,0.0,8.7,1,1,100,06:05 PM,07:45 AM,07:57 AM,05:45 PM,-1,11,11,11,15,7,46,0.0,1019,15,10,157,9
2018-12-23,16,7,0.0,8.7,1,1,100,07:08 PM,08:49 AM,07:57 AM,05:45 PM,-2,11,11,11,14,19,40,0.0,1021,16,10,202,8
2018-12-24,15,6,0.0,8.7,1,1,84,08:16 PM,09:48 AM,07:58 AM,05:46 PM,1,9,10,9,17,5,53,0.0,1017,15,10,271,11
2018-12-25,11,6,0.0,8.7,1,1,77,09:27 PM,10:40 AM,07:58 AM,05:46 PM,1,4,8,4,29,7,66,0.1,1011,11,10,281,20
2018-12-26,11,3,0.0,7.0,1,1,69,10:36 PM,11:25 AM,07:59 AM,05:47 PM,-1,5,7,5,15,17,59,0.0,1017,11,10,262,9
2018-12-27,10,3,0.0,8.7,1,1,62,11:43 PM,12:05 PM,07:59 AM,05:48 PM,-3,3,6,3,19,13,55,0.0,1016,10,10,299,12
2018-12-28,8,-0,0.0,8.7,1,1,55,No moonrise,12:41 PM,07:59 AM,05:48 PM,-11,2,4,2,13,3,36,0.0,1022,8,10,183,8
2018-12-29,6,-0,0.0,8.7,1,1,48,12:48 AM,01:15 PM,08:00 AM,05:49 PM,-13,2,3,2,10,2,32,0.0,1027,6,10,167,6
2018-12-30,14,3,0.0,8.7,1,1,40,01:52 AM,01:48 PM,08:00 AM,05:50 PM,-6,5,7,5,22,4,41,0.0,1017,14,10,245,13
2018-12-31,7,2,0.0,7.0,1,1,36,02:53 AM,02:21 PM,08:00 AM,05:50 PM,-9,1,5,1,30,16,40,0.4,1015,7,10,135,20
2019-01-01,10,1,0.0,8.7,1,1,26,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-15,2,5,2,13,10,27,0.0,1025,10,10,58,14
2019-01-02,10,2,0.0,8.7,1,1,19,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-15,4,5,4,6,1,26,0.0,1026,10,10,118,6
2019-01-03,13,-2,0.0,8.7,1,1,11,05:52 AM,04:16 PM,08:01 AM,05:53 PM,-11,5,6,5,6,2,33,0.0,1023,13,10,90,6
2019-01-04,15,-1,0.0,8.7,1,1,4,06:48 AM,05:02 PM,08:01 AM,05:53 PM,-9,6,7,6,6,5,38,0.0,1018,15,10,75,6
2019-01-05,11,1,0.0,3.6,1,1,0,07:41 AM,05:51 PM,08:01 AM,05:54 PM,-5,6,7,6,9,63,45,2.1,1014,11,9,212,11
2019-01-06,11,5,0.0,8.7,1,1,0,08:28 AM,06:42 PM,08:01 AM,05:55 PM,1,6,7,6,24,33,69,0.4,1016,11,9,245,13
