date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12-11,24,16,0.0,8.7,1,1,21,10:08 AM,08:57 PM,07:04 AM,05:25 PM,6,21,21,21,8,22,37,0.0,1015,24,10,102,6
2018-12-12,20,16,0.0,7.1,1,1,29,10:49 AM,09:50 PM,07:04 AM,05:26 PM,10,18,18,18,13,42,57,3.9,1017,20,9,103,9
2018-12-13,21,14,0.0,8.7,1,1,36,11:27 AM,10:42 PM,07:05 AM,05:26 PM,7,19,19,19,8,16,48,0.1,1020,21,10,296,7
2018-12-14,21,14,0.0,8.7,1,1,43,12:03 PM,11:35 PM,07:06 AM,05:26 PM,9,21,21,21,10,0,48,0.0,1022,21,10,314,9
2018-12-15,22,13,0.0,8.7,1,1,51,12:36 PM,No moonset,07:06 AM,05:27 PM,6,21,22,21,11,0,38,0.0,1021,22,10,315,9
2018-12-16,22,13,0.0,8.7,1,1,58,01:09 PM,12:27 AM,07:07 AM,05:27 PM,4,22,22,22,9,0,31,0.0,1022,22,10,323,8
2018-12-17,22,13,0.0,8.7,1,1,65,01:43 PM,01:22 AM,07:07 AM,05:27 PM,1,20,20,20,8,7,30,0.0,1020,22,10,328,7
2018-12-18,22,12,0.0,8.7,1,1,72,02:17 PM,02:17 AM,07:08 AM,05:28 PM,2,21,21,21,8,0,27,0.0,1018,22,10,301,7
2018-12-19,22,12,0.0,8.7,1,1,80,02:55 PM,03:15 AM,07:09 AM,05:28 PM,-1,22,22,22,6,0,23,0.0,1018,22,10,301,5
2018-12-20,22,13,0.0,8.7,1,1,87,03:37 PM,04:15 AM,07:09 AM,05:29 PM,2,22,22,22,6,0,27,0.0,1017,22,10,255,5
2018-12-21,24,12,0.0,8.7,1,1,94,04:24 PM,05:18 AM,07:10 AM,05:29 PM,1,21,21,21,8,0,27,0.0,1017,24,10,292,7
2018-12-22,21,11,0.0,8.7,1,1,100,05:18 PM,06:23 AM,07:10 AM,05:30 PM,1,21,21,21,6,0,27,0.0,1017,21,10,172,5
2018-12-23,21,12,0.0,8.7,1,1,100,06:18 PM,07:29 AM,07:11 AM,05:30 PM,6,22,22,22,6,0,37,0.0,1018,21,10,108,5
2018-12-24,21,13,0.0,8.7,1,1,84,07:23 PM,08:31 AM,07:11 AM,05:31 PM,7,22,22,22,6,0,37,0.0,1017,21,10,257,5
2018-12-25,20,12,0.0,8.7,1,1,77,08:30 PM,09:28 AM,07:12 AM,05:31 PM,1,20,20,20,11,0,30,0.0,1016,20,10,304,9
2018-12-26,20,11,0.0,8.7,1,1,69,09:38 PM,10:19 AM,07:12 AM,05:32 PM,-1,20,20,20,7,0,25,0.0,1015,20,10,243,6
2018-12-27,20,12,0.0,8.7,1,1,62,10:43 PM,11:05 AM,07:12 AM,05:32 PM,3,20,20,20,7,0,32,0.0,1016,20,10,212,6
2018-12-28,19,10,0.0,8.7,1,1,55,11:46 PM,11:47 AM,07:13 AM,05:33 PM,0,18,18,18,11,0,31,0.0,1017,19,10,300,10
2018-12-29,20,10,0.0,8.7,1,1,48,No moonrise,12:24 PM,07:13 AM,05:34 PM,-1,19,19,19,8,0,25,0.0,1020,20,10,264,7
2018-12-30,21,11,0.0,8.7,1,1,40,12:46 AM,01:01 PM,07:13 AM,05:34 PM,0,20,20,20,3,2,28,0.0,1021,21,10,169,3
2018-12-31,22,12,0.0,8.7,1,1,36,01:46 AM,01:38 PM,07:14 AM,05:35 PM,3,21,21,21,8,0,32,0.0,1020,22,10,268,7
2019-01-01,23,18,0.0,8.7,1,1,26,02:43 AM,02:15 PM,07:14 AM,05:36 PM,1,19,20,19,6,7,28,0.0,1020,23,10,305,5
