date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12-11,31,26,0.0,10.2,1,1,21,10:02 AM,10:20 PM,06:56 AM,06:59 PM,24,33,33,29,10,44,77,3.8,1009,31,10,291,7
2018-12-12,29,26,0.0,10.3,1,1,29,10:49 AM,11:07 PM,06:57 AM,07:00 PM,24,32,32,28,10,61,79,4.0,1010,29,10,330,7
2018-12-13,29,26,0.0,11.6,1,1,36,11:34 AM,11:52 PM,06:57 AM,07:00 PM,24,31,31,27,11,60,81,3.7,1011,29,10,218,7
2018-12-14,28,25,0.0,8.9,1,1,43,12:17 PM,No moonset,06:58 AM,07:01 PM,24,30,30,26,13,75,86,8.3,1011,28,9,260,9
2018-12-15,29,25,0.0,10.3,1,1,51,01:00 PM,12:36 AM,06:58 AM,07:01 PM,24,31,31,27,6,62,84,3.1,1011,29,10,297,4
2018-12-16,31,25,0.0,7.6,1,1,58,01:43 PM,01:20 AM,06:59 AM,07:02 PM,24,32,32,28,7,65,79,4.8,1011,31,10,245,5
2018-12-17,32,25,0.0,10.3,1,1,65,02:26 PM,02:03 AM,06:59 AM,07:02 PM,23,32,32,28,7,48,75,0.1,1011,32,10,155,5
2018-12-18,32,26,0.0,11.6,1,1,72,03:11 PM,02:48 AM,07:00 AM,07:03 PM,24,32,32,28,10,49,78,1.2,1011,32,10,56,7
2018-12-19,33,26,0.0,11.6,1,1,80,03:59 PM,03:35 AM,07:00 AM,07:03 PM,24,33,33,29,7,27,73,1.7,1012,33,10,145,5
2018-12-20,33,26,0.0,11.6,1,1,87,04:50 PM,04:25 AM,07:01 AM,07:04 PM,24,33,33,29,11,21,75,1.0,1011,33,10,133,8
2018-12-21,31,26,0.0,11.6,1,1,94,05:45 PM,05:19 AM,07:01 AM,07:04 PM,24,33,33,28,16,32,78,13.7,1010,31,9,96,11
2018-12-22,30,25,0.0,11.6,1,1,100,06:44 PM,06:17 AM,07:02 AM,07:05 PM,24,32,32,28,13,20,78,1.4,1010,30,10,142,9
2018-12-23,31,25,0.0,11.6,1,1,100,07:46 PM,07:18 AM,07:02 AM,07:05 PM,24,32,32,28,8,22,76,2.6,1010,31,10,254,6
2018-12-24,32,25,0.0,11.6,1,1,84,08:49 PM,08:20 AM,07:03 AM,07:06 PM,23,33,33,29,7,21,73,0.7,1009,32,10,292,5
2018-12-25,31,26,0.0,11.6,1,1,77,09:51 PM,09:23 AM,07:03 AM,07:06 PM,24,32,32,28,13,21,77,3.9,1009,31,10,308,9
2018-12-26,31,26,0.0,11.6,1,1,69,10:49 PM,10:22 AM,07:04 AM,07:07 PM,24,32,32,28,18,24,76,4.7,1009,31,10,301,12
2018-12-27,30,26,0.0,10.2,1,1,62,11:44 PM,11:18 AM,07:04 AM,07:07 PM,23,31,31,28,15,48,77,0.5,1009,30,10,299,10
2018-12-28,32,26,0.0,11.6,1,1,55,No moonrise,12:10 PM,07:05 AM,07:08 PM,23,32,32,29,14,24,74,2.5,1009,32,10,302,10
2018-12-29,31,25,0.0,11.6,1,1,48,12:35 AM,01:00 PM,07:05 AM,07:08 PM,23,32,32,28,11,32,75,0.0,1010,31,10,265,8
2018-12-30,32,26,0.0,11.6,1,1,40,01:25 AM,01:48 PM,07:05 AM,07:09 PM,24,33,33,29,14,39,77,3.3,1011,32,10,250,10
2018-12-31,31,25,0.0,11.6,1,1,36,02:13 AM,02:34 PM,07:06 AM,07:09 PM,24,32,32,28,16,24,81,7.5,1012,31,9,298,11
2019-01-01,32,26,0.0,11.6,1,1,26,03:01 AM,03:22 PM,07:06 AM,07:10 PM,23,32,32,28,22,44,75,2.9,1011,32,10,294,15
2019-01-02,31,27,0.0,10.2,1,1,19,03:49 AM,04:09 PM,07:07 AM,07:10 PM,24,32,32,28,29,56,76,6.3,1010,31,9,288,19
2019-01-03,31,27,0.0,11.6,1,1,11,04:38 AM,04:58 PM,07:07 AM,07:11 PM,24,33,33,29,36,34,77,0.8,1010,31,10,278,25
2019-01-04,31,27,0.0,10.2,1,1,4,05:28 AM,05:47 PM,07:08 AM,07:11 PM,23,33,33,29,28,37,73,0.6,1011,31,10,276,19
2019-01-05,32,27,0.0,10.2,1,1,0,06:17 AM,06:37 PM,07:08 AM,07:11 PM,23,33,33,29,11,55,74,4.6,1011,32,10,146,8
2019-01-06,30,27,0.0,6.0,1,1,0,07:08 AM,07:27 PM,07:09 AM,07:12 PM,24,33,33,28,20,72,81,12.1,1011,30,8,44,14
2019-01-07,31,26,0.0,8.8,1,1,3,07:57 AM,08:15 PM,07:09 AM,07:12 PM,24,32,32,28,23,57,79,3.9,1011,31,10,53,16
2019-01-08,30,26,0.0,6.0,1,1,10,08:44 AM,09:03 PM,07:10 AM,07:13 PM,24,32,32,28,27,71,81,46.1,1011,30,7,46,15
2019-01-09,30,26,0.0,6.0,1,1,18,09:30 AM,09:48 PM,07:10 AM,07:13 PM,24,32,32,28,27,74,82,41.6,1010,30,8,41,15
2019-01-10,31,26,0.0,6.0,1,1,25,10:14 AM,10:32 PM,07:10 AM,07:14 PM,24,32,32,28,27,72,78,9.9,1010,31,10,42,18
2019-01-11,31,26,0.0,6.0,1,1,32,10:57 AM,11:16 PM,07:11 AM,07:14 PM,23,32,32,28,23,67,76,0.9,1010,31,10,42,17
2019-01-12,31,25,0.0,8.8,1,1,39,11:39 AM,11:58 PM,07:11 AM,07:14 PM,23,31,31,28,18,37,75,0.5,1010,31,10,24,13
2019-01-13,31,26,0.0,7.4,1,1,47,12:21 PM,No moonset,07:12 AM,07:15 PM,23,32,32,28,19,52,77,11.3,1010,31,9,22,13
2019-01-14,30,26,0.0,6.0,1,1,54,01:04 PM,12:41 AM,07:12 AM,07:15 PM,24,31,31,28,23,67,80,23.4,1009,30,8,124,14
2019-01-15,31,26,0.0,10.2,1,1,61,01:49 PM,01:26 AM,07:12 AM,07:16 PM,23,32,32,28,15,40,76,0.3,1009,31,10,227,11
2019-01-16,32,26,0.0,8.8,1,1,69,02:36 PM,02:13 AM,07:13 AM,07:16 PM,23,32,32,28,22,49,76,13.6,1009,32,9,342,14
2019-01-17,29,26,0.0,6.0,1,1,76,03:28 PM,03:03 AM,07:13 AM,07:16 PM,23,30,30,27,29,76,82,43.0,1009,29,5,120,16
