dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId
2020/03/27,27,NA,2020,721,46,Florida,US
2020/03/26,26,NA,2020,512,29,Florida,US
2020/03/25,25,NA,2020,498,23,Florida,US
2020/03/24,24,NA,2020,245,19,Florida,US
2020/03/23,23,NA,2020,222,18,Florida,US
2020/03/22,22,NA,2020,236,13,Florida,US
2020/03/21,21,NA,2020,200,11,Florida,US
2020/03/20,20,NA,2020,130,9,Florida,US
2020/03/19,19,NA,2020,108,8,Florida,US
2020/03/18,18,NA,2020,116,7,Florida,US
2020/03/17,17,NA,2020,69,6,Florida,US
2020/03/16,16,NA,2020,32,4,Florida,US
2020/03/15,15,NA,2020,39,3,Florida,US
2020/03/14,14,NA,2020,0,3,Florida,US
2020/03/13,13,NA,2020,24,2,Florida,US
2020/03/12,12,NA,2020,20,2,Florida,US
2020/03/11,11,NA,2020,3,2,Florida,US
2020/03/10,10,NA,2020,9,2,Florida,US
2020/03/09,9,NA,2020,1,2,Florida,US
2020/03/08,8,NA,2020,1,2,Florida,US
2020/03/07,7,NA,2020,5,2,Florida,US
2020/03/06,6,NA,2020,3,2,Florida,US
2020/03/05,5,NA,2020,1,0,Florida,US
2020/03/04,4,NA,2020,0,0,Florida,US
2020/03/03,3,NA,2020,1,0,Florida,US
2020/03/02,2,NA,2020,0,0,Florida,US
2020/03/01,1,NA,2020,0,0,Florida,US
2020/03/27,62,NA,2020,249,27,Los Angeles,US
2020/03/26,61,NA,2020,417,21,Los Angeles,US
2020/03/25,60,NA,2020,137,13,Los Angeles,US
2020/03/24,59,NA,2020,126,11,Los Angeles,US
2020/03/23,58,NA,2020,115,7,Los Angeles,US
2020/03/22,57,NA,2020,70,5,Los Angeles,US
2020/03/21,56,NA,2020,59,4,Los Angeles,US
2020/03/20,55,NA,2020,61,2,Los Angeles,US
2020/03/19,54,NA,2020,41,2,Los Angeles,US
2020/03/18,53,NA,2020,46,1,Los Angeles,US
2020/03/17,52,NA,2020,50,1,Los Angeles,US
2020/03/16,51,NA,2020,25,1,Los Angeles,US
2020/03/15,50,NA,2020,16,1,Los Angeles,US
2020/03/14,49,NA,2020,13,1,Los Angeles,US
2020/03/13,48,NA,2020,8,1,Los Angeles,US
2020/03/12,47,NA,2020,4,1,Los Angeles,US
2020/03/11,46,NA,2020,8,1,Los Angeles,US
2020/03/10,45,NA,2020,1,0,Los Angeles,US
2020/03/09,44,NA,2020,5,0,Los Angeles,US
2020/03/08,43,NA,2020,0,0,Los Angeles,US
2020/03/07,42,NA,2020,1,0,Los Angeles,US
